year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,124,Canadá,270740,Naftaleno,842,EUA,2554454,99.886,1,0,2557377
2003,124,Canadá,270740,Naftaleno,156,China,1477,0.058,2,0,2557377
2003,124,Canadá,270740,Naftaleno,704,Vietname,1079,0.042,3,0,2557377
2003,124,Canadá,270740,Naftaleno,484,México,210,0.008,4,0,2557377
2003,124,Canadá,270740,Naftaleno,579,Noruega,137,0.005,5,0,2557377
2003,124,Canadá,270900,Petróleo bruto,579,Noruega,2772038190,28.065,1,0,9877194452
2003,124,Canadá,270900,Petróleo bruto,826,Reino Unido,1900125321,19.238,2,0,9877194452
2003,124,Canadá,270900,Petróleo bruto,12,Argélia,1680173461,17.011,3,0,9877194452
2003,124,Canadá,270900,Petróleo bruto,368,Iraque,805429136,8.154,4,0,9877194452
2003,124,Canadá,270900,Petróleo bruto,682,Arábia Saudita,574808092,5.82,5,0,9877194452
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,842,EUA,839541725,62.985,1,0,1332918499
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,862,Venezuela,117157950,8.79,2,0,1332918499
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,780,Trinidad and Tobago,46269130,3.471,3,0,1332918499
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,528,Países Baixos,38365676,2.878,4,0,1332918499
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,414,Kuwait,35587269,2.67,5,0,1332918499
2003,124,Canadá,271019,Gasóleo e combustíveis médios e pesados,24,Angola,104,0.0,48,1,1332918499
2003,124,Canadá,271111,Gás natural liquefeito (GNL),842,EUA,712313,99.36,1,0,716898
2003,124,Canadá,271111,Gás natural liquefeito (GNL),826,Reino Unido,4461,0.622,2,0,716898
2003,124,Canadá,271111,Gás natural liquefeito (GNL),490,Taiwan (Prov. China),79,0.011,3,0,716898
2003,124,Canadá,271111,Gás natural liquefeito (GNL),484,México,45,0.006,4,0,716898
2003,124,Canadá,710221,Diamantes industriais em bruto,288,Gana,398942,34.447,1,0,1158144
2003,124,Canadá,710221,Diamantes industriais em bruto,842,EUA,200193,17.286,2,0,1158144
2003,124,Canadá,710221,Diamantes industriais em bruto,826,Reino Unido,141523,12.22,3,0,1158144
2003,124,Canadá,710221,Diamantes industriais em bruto,56,Bélgica,122657,10.591,4,0,1158144
2003,124,Canadá,710221,Diamantes industriais em bruto,72,Botsuana,67526,5.831,5,0,1158144
2003,124,Canadá,710221,Diamantes industriais em bruto,24,Angola,2349,0.203,16,1,1158144
2003,124,Canadá,890190,Navios de carga,246,Finlândia,10726296,47.901,1,0,22392763
2003,124,Canadá,890190,Navios de carga,842,EUA,5160504,23.045,2,0,22392763
2003,124,Canadá,890190,Navios de carga,156,China,2876959,12.848,3,0,22392763
2003,124,Canadá,890190,Navios de carga,579,Noruega,2453645,10.957,4,0,22392763
2003,124,Canadá,890190,Navios de carga,591,Panamá,730649,3.263,5,0,22392763
2003,124,Canadá,890520,Plataformas de perfuração ou produção,842,EUA,707,100.0,1,0,707
