year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,76,Brasil,020714,Carne de aves,392,Japão,231090976,21.174,1,0,1091410204
2003,76,Brasil,020714,Carne de aves,528,Países Baixos,153567056,14.071,2,0,1091410204
2003,76,Brasil,020714,Carne de aves,276,Alemanha,150454425,13.785,3,0,1091410204
2003,76,Brasil,020714,Carne de aves,344,Hong Kong (RAEHK),113082848,10.361,4,0,1091410204
2003,76,Brasil,020714,Carne de aves,643,Rússia,69312786,6.351,5,0,1091410204
2003,76,Brasil,020714,Carne de aves,24,Angola,3429976,0.314,24,1,1091410204
2003,76,Brasil,110100,Farinha de trigo,600,Paraguai,402494,51.06,1,0,788276
2003,76,Brasil,110100,Farinha de trigo,32,Argentina,197774,25.089,2,0,788276
2003,76,Brasil,110100,Farinha de trigo,24,Angola,99439,12.615,3,1,788276
2003,76,Brasil,110100,Farinha de trigo,68,Bolívia,56711,7.194,4,0,788276
2003,76,Brasil,110100,Farinha de trigo,842,EUA,18733,2.376,5,0,788276
2003,76,Brasil,110100,Farinha de trigo,862,Venezuela,7674,0.974,6,0,788276
2003,76,Brasil,271011,Combustíveis refinados,842,EUA,397756767,72.431,1,0,549152800
2003,76,Brasil,271011,Combustíveis refinados,566,Nigéria,84622339,15.41,2,0,549152800
2003,76,Brasil,271011,Combustíveis refinados,862,Venezuela,20620886,3.755,3,0,549152800
2003,76,Brasil,271011,Combustíveis refinados,288,Gana,15920290,2.899,4,0,549152800
2003,76,Brasil,271011,Combustíveis refinados,188,Costa Rica,14520454,2.644,5,0,549152800
2003,76,Brasil,271011,Combustíveis refinados,24,Angola,181,0.0,26,1,549152800
2003,76,Brasil,271019,Combustíveis refinados,842,EUA,846590102,80.582,1,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,702,Singapura,101067768,9.62,2,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,566,Nigéria,18166522,1.729,3,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,32,Argentina,16567133,1.577,4,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,376,Israel,16510302,1.572,5,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,24,Angola,31449,0.003,24,1,1050592017
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,842,EUA,517578,28.389,1,0,1823173
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,826,Reino Unido,270607,14.843,2,0,1823173
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,32,Argentina,226882,12.444,3,0,1823173
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,124,Canadá,222138,12.184,4,0,1823173
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,780,Trinidad and Tobago,103229,5.662,5,0,1823173
2003,76,Brasil,843143,Partes de máquinas de terraplanagem,24,Angola,9424,0.517,16,1,1823173
2003,76,Brasil,890520,Plataformas e dragas,600,Paraguai,351,100.0,1,0,351
2003,76,Brasil,999999,Mercadorias não especificadas,837,Bunkers,1122844747,91.148,1,0,1231888465
2003,76,Brasil,999999,Mercadorias não especificadas,842,EUA,23964152,1.945,2,0,1231888465
2003,76,Brasil,999999,Mercadorias não especificadas,136,Cayman Isds,22446325,1.822,3,0,1231888465
2003,76,Brasil,999999,Mercadorias não especificadas,251,França,5027728,0.408,4,0,1231888465
2003,76,Brasil,999999,Mercadorias não especificadas,826,Reino Unido,4818971,0.391,5,0,1231888465
2003,76,Brasil,999999,Mercadorias não especificadas,24,Angola,421066,0.034,33,1,1231888465
2003,156,China,020714,Carne de aves,392,Japão,104048689,41.674,1,0,249673846
2003,156,China,020714,Carne de aves,682,Arábia Saudita,47345278,18.963,2,0,249673846
2003,156,China,020714,Carne de aves,643,Rússia,23663822,9.478,3,0,249673846
2003,156,China,020714,Carne de aves,344,Hong Kong (RAEHK),16327030,6.539,4,0,249673846
2003,156,China,020714,Carne de aves,710,África do Sul,10524432,4.215,5,0,249673846
2003,156,China,020714,Carne de aves,24,Angola,23736,0.01,56,1,249673846
2003,156,China,110100,Farinha de trigo,344,Hong Kong (RAEHK),27385834,45.868,1,0,59706016
2003,156,China,110100,Farinha de trigo,360,Indonésia,16411995,27.488,2,0,59706016
2003,156,China,110100,Farinha de trigo,408,Coreia do Norte,7747634,12.976,3,0,59706016
2003,156,China,110100,Farinha de trigo,450,Madagáscar,1572707,2.634,4,0,59706016
2003,156,China,110100,Farinha de trigo,496,Mongolia,1565452,2.622,5,0,59706016
2003,156,China,271011,Combustíveis refinados,702,Singapura,583740911,24.743,1,0,2359246493
2003,156,China,271011,Combustíveis refinados,704,Vietname,426850126,18.093,2,0,2359246493
2003,156,China,271011,Combustíveis refinados,360,Indonésia,323690555,13.72,3,0,2359246493
2003,156,China,271011,Combustíveis refinados,392,Japão,254982163,10.808,4,0,2359246493
2003,156,China,271011,Combustíveis refinados,36,Austrália,160596228,6.807,5,0,2359246493
2003,156,China,271019,Combustíveis refinados,704,Vietname,283222088,20.71,1,0,1367566375
2003,156,China,271019,Combustíveis refinados,344,Hong Kong (RAEHK),250484004,18.316,2,0,1367566375
2003,156,China,271019,Combustíveis refinados,702,Singapura,123354003,9.02,3,0,1367566375
2003,156,China,271019,Combustíveis refinados,392,Japão,100864400,7.375,4,0,1367566375
2003,156,China,271019,Combustíveis refinados,591,Panamá,100213637,7.328,5,0,1367566375
2003,156,China,271019,Combustíveis refinados,24,Angola,10200,0.001,91,1,1367566375
2003,156,China,843143,Partes de máquinas de terraplanagem,398,Cazaquistão,30639112,16.792,1,0,182463394
2003,156,China,843143,Partes de máquinas de terraplanagem,736,Sudan (...2011),21335506,11.693,2,0,182463394
2003,156,China,843143,Partes de máquinas de terraplanagem,842,EUA,20856500,11.431,3,0,182463394
2003,156,China,843143,Partes de máquinas de terraplanagem,860,Uzbekistan,12668718,6.943,4,0,182463394
2003,156,China,843143,Partes de máquinas de terraplanagem,795,Turkmenistan,11430063,6.264,5,0,182463394
2003,156,China,890520,Plataformas e dragas,566,Nigéria,15250000,56.149,1,0,27160000
2003,156,China,890520,Plataformas e dragas,702,Singapura,11910000,43.851,2,0,27160000
2003,156,China,999999,Mercadorias não especificadas,414,Kuwait,280226138,29.29,1,0,956734548
2003,156,China,999999,Mercadorias não especificadas,586,Paquistão,277674435,29.023,2,0,956734548
2003,156,China,999999,Mercadorias não especificadas,392,Japão,56686187,5.925,3,0,956734548
2003,156,China,999999,Mercadorias não especificadas,364,Irão,52880203,5.527,4,0,956734548
2003,156,China,999999,Mercadorias não especificadas,792,Turquia,38833762,4.059,5,0,956734548
2003,156,China,999999,Mercadorias não especificadas,24,Angola,80473,0.008,61,1,956734548
2003,620,Portugal,020714,Carne de aves,724,Espanha,62339,35.606,1,0,175078
2003,620,Portugal,020714,Carne de aves,24,Angola,45284,25.865,2,1,175078
2003,620,Portugal,020714,Carne de aves,132,Cabo Verde,39528,22.577,3,0,175078
2003,620,Portugal,020714,Carne de aves,251,França,12033,6.873,4,0,175078
2003,620,Portugal,020714,Carne de aves,837,Bunkers,9677,5.527,5,0,175078
2003,620,Portugal,020714,Carne de aves,678,São Tomé e Príncipe,2565,1.465,6,0,175078
2003,620,Portugal,110100,Farinha de trigo,724,Espanha,2057120,60.253,1,0,3414150
2003,620,Portugal,110100,Farinha de trigo,24,Angola,695187,20.362,2,1,3414150
2003,620,Portugal,110100,Farinha de trigo,624,Guiné-Bissau,280090,8.204,3,0,3414150
2003,620,Portugal,110100,Farinha de trigo,132,Cabo Verde,87769,2.571,4,0,3414150
2003,620,Portugal,110100,Farinha de trigo,678,São Tomé e Príncipe,84561,2.477,5,0,3414150
2003,620,Portugal,110100,Farinha de trigo,56,Bélgica,54102,1.585,6,0,3414150
2003,620,Portugal,271011,Combustíveis refinados,842,EUA,206924776,64.799,1,0,319335269
2003,620,Portugal,271011,Combustíveis refinados,826,Reino Unido,71416309,22.364,2,0,319335269
2003,620,Portugal,271011,Combustíveis refinados,251,França,8125254,2.544,3,0,319335269
2003,620,Portugal,271011,Combustíveis refinados,276,Alemanha,7741410,2.424,4,0,319335269
2003,620,Portugal,271011,Combustíveis refinados,792,Turquia,7062800,2.212,5,0,319335269
2003,620,Portugal,271011,Combustíveis refinados,24,Angola,13131,0.004,13,1,319335269
2003,620,Portugal,271019,Combustíveis refinados,837,Bunkers,116128770,42.047,1,0,276187532
2003,620,Portugal,271019,Combustíveis refinados,899,"Areas, nes",38734191,14.025,2,0,276187532
2003,620,Portugal,271019,Combustíveis refinados,826,Reino Unido,28898904,10.464,3,0,276187532
2003,620,Portugal,271019,Combustíveis refinados,842,EUA,26143338,9.466,4,0,276187532
2003,620,Portugal,271019,Combustíveis refinados,380,Itália,12834554,4.647,5,0,276187532
2003,620,Portugal,271019,Combustíveis refinados,24,Angola,4865189,1.762,9,1,276187532
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,724,Espanha,138810,34.158,1,0,406380
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,251,França,114081,28.072,2,0,406380
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,24,Angola,97017,23.873,3,1,406380
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,380,Itália,18823,4.632,4,0,406380
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,842,EUA,17028,4.19,5,0,406380
2003,620,Portugal,843143,Partes de máquinas de terraplanagem,56,Bélgica,7146,1.758,6,0,406380
2003,620,Portugal,999999,Mercadorias não especificadas,837,Bunkers,16778548,20.18,1,0,83143437
2003,620,Portugal,999999,Mercadorias não especificadas,792,Turquia,12630663,15.191,2,0,83143437
2003,620,Portugal,999999,Mercadorias não especificadas,76,Brasil,9814500,11.804,3,0,83143437
2003,620,Portugal,999999,Mercadorias não especificadas,380,Itália,8826532,10.616,4,0,83143437
2003,620,Portugal,999999,Mercadorias não especificadas,504,Marrocos,7562941,9.096,5,0,83143437
2003,620,Portugal,999999,Mercadorias não especificadas,24,Angola,3497953,4.207,8,1,83143437
2003,710,África do Sul,020714,Carne de aves,508,Moçambique,1391566,34.167,1,0,4072777
2003,710,África do Sul,020714,Carne de aves,784,Emirados Árabes Unidos,1374891,33.758,2,0,4072777
2003,710,África do Sul,020714,Carne de aves,24,Angola,278194,6.831,3,1,4072777
2003,710,África do Sul,020714,Carne de aves,76,Brasil,151133,3.711,4,0,4072777
2003,710,África do Sul,020714,Carne de aves,414,Kuwait,143445,3.522,5,0,4072777
2003,710,África do Sul,020714,Carne de aves,512,Omã,111047,2.727,6,0,4072777
2003,710,África do Sul,110100,Farinha de trigo,180,RD Congo,5009325,39.441,1,0,12700784
2003,710,África do Sul,110100,Farinha de trigo,454,Malawi,4854410,38.221,2,0,12700784
2003,710,África do Sul,110100,Farinha de trigo,716,Zimbabué,1392757,10.966,3,0,12700784
2003,710,África do Sul,110100,Farinha de trigo,894,Zâmbia,1074957,8.464,4,0,12700784
2003,710,África do Sul,110100,Farinha de trigo,508,Moçambique,209276,1.648,5,0,12700784
2003,710,África do Sul,110100,Farinha de trigo,24,Angola,17931,0.141,8,1,12700784
2003,710,África do Sul,271011,Combustíveis refinados,837,Bunkers,448030287,39.33,1,0,1139150010
2003,710,África do Sul,271011,Combustíveis refinados,508,Moçambique,104178109,9.145,2,0,1139150010
2003,710,África do Sul,271011,Combustíveis refinados,716,Zimbabué,97428960,8.553,3,0,1139150010
2003,710,África do Sul,271011,Combustíveis refinados,702,Singapura,54831373,4.813,4,0,1139150010
2003,710,África do Sul,271011,Combustíveis refinados,842,EUA,52577576,4.616,5,0,1139150010
