year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,020230,"Carne de bovino, congelada",699,Índia,18627194,53.891,mirror
2003,020230,"Carne de bovino, congelada",380,Itália,5913412,17.108,mirror
2003,020230,"Carne de bovino, congelada",76,Brasil,4570591,13.223,mirror
2003,020230,"Carne de bovino, congelada",600,Paraguai,3246849,9.394,mirror
2003,020230,"Carne de bovino, congelada",32,Argentina,1089805,3.153,mirror
2003,020230,"Carne de bovino, congelada",620,Portugal,437084,1.265,mirror
2003,020230,"Carne de bovino, congelada",710,África do Sul,392556,1.136,mirror
2003,020230,"Carne de bovino, congelada",858,Uruguai,126022,0.365,mirror
2003,020714,Carne de aves,842,EUA,32452681,87.854,mirror
2003,020714,Carne de aves,76,Brasil,3429976,9.285,mirror
2003,020714,Carne de aves,528,Países Baixos,445626,1.206,mirror
2003,020714,Carne de aves,710,África do Sul,278194,0.753,mirror
2003,020714,Carne de aves,56,Bélgica,200107,0.542,mirror
2003,020714,Carne de aves,620,Portugal,45284,0.123,mirror
2003,020714,Carne de aves,251,França,32824,0.089,mirror
2003,020714,Carne de aves,156,China,23736,0.064,mirror
2003,100630,Arroz,704,Vietname,22000840,71.961,mirror
2003,100630,Arroz,764,Tailândia,7898198,25.834,mirror
2003,100630,Arroz,710,África do Sul,228467,0.747,mirror
2003,100630,Arroz,76,Brasil,152234,0.498,mirror
2003,100630,Arroz,620,Portugal,90148,0.295,mirror
2003,100630,Arroz,586,Paquistão,49131,0.161,mirror
2003,100630,Arroz,380,Itália,46768,0.153,mirror
2003,100630,Arroz,56,Bélgica,37078,0.121,mirror
2003,110100,Farinha de trigo,56,Bélgica,30955930,56.239,mirror
2003,110100,Farinha de trigo,276,Alemanha,7466000,13.564,mirror
2003,110100,Farinha de trigo,251,França,7080930,12.864,mirror
2003,110100,Farinha de trigo,528,Países Baixos,6774866,12.308,mirror
2003,110100,Farinha de trigo,504,Marrocos,1216271,2.21,mirror
2003,110100,Farinha de trigo,620,Portugal,695187,1.263,mirror
2003,110100,Farinha de trigo,792,Turquia,470677,0.855,mirror
2003,110100,Farinha de trigo,516,Namíbia,187634,0.341,mirror
2003,150790,Óleo de soja,32,Argentina,28377534,48.723,mirror
2003,150790,Óleo de soja,620,Portugal,15770499,27.077,mirror
2003,150790,Óleo de soja,56,Bélgica,5665658,9.728,mirror
2003,150790,Óleo de soja,528,Países Baixos,4378215,7.517,mirror
2003,150790,Óleo de soja,842,EUA,2535379,4.353,mirror
2003,150790,Óleo de soja,76,Brasil,860138,1.477,mirror
2003,150790,Óleo de soja,276,Alemanha,326000,0.56,mirror
2003,150790,Óleo de soja,516,Namíbia,198092,0.34,mirror
2003,151190,Óleo de palma,458,Malásia,8605719,58.953,mirror
2003,151190,Óleo de palma,702,Singapura,4676780,32.038,mirror
2003,151190,Óleo de palma,620,Portugal,822855,5.637,mirror
2003,151190,Óleo de palma,360,Indonésia,274757,1.882,mirror
2003,151190,Óleo de palma,591,Panamá,118875,0.814,mirror
2003,151190,Óleo de palma,384,Costa do Marfim,87299,0.598,mirror
2003,151190,Óleo de palma,528,Países Baixos,5655,0.039,mirror
2003,151190,Óleo de palma,516,Namíbia,4875,0.033,mirror
2003,170199,Açúcar de cana ou de beterraba,76,Brasil,35907258,73.199,mirror
2003,170199,Açúcar de cana ou de beterraba,56,Bélgica,4944488,10.08,mirror
2003,170199,Açúcar de cana ou de beterraba,699,Índia,3332157,6.793,mirror
2003,170199,Açúcar de cana ou de beterraba,710,África do Sul,2973356,6.061,mirror
2003,170199,Açúcar de cana ou de beterraba,251,França,786644,1.604,mirror
2003,170199,Açúcar de cana ou de beterraba,620,Portugal,405316,0.826,mirror
2003,170199,Açúcar de cana ou de beterraba,516,Namíbia,303074,0.618,mirror
2003,170199,Açúcar de cana ou de beterraba,528,Países Baixos,178703,0.364,mirror
2003,271011,Combustíveis refinados,724,Espanha,8289068,45.59,mirror
2003,271011,Combustíveis refinados,710,África do Sul,5823197,32.027,mirror
2003,271011,Combustíveis refinados,384,Costa do Marfim,4033093,22.182,mirror
2003,271011,Combustíveis refinados,372,Irlanda,19345,0.106,mirror
2003,271011,Combustíveis refinados,620,Portugal,13131,0.072,mirror
2003,271011,Combustíveis refinados,12,Argélia,2842,0.016,mirror
2003,271011,Combustíveis refinados,643,Rússia,1020,0.006,mirror
2003,271011,Combustíveis refinados,76,Brasil,181,0.001,mirror
2003,271019,Combustíveis refinados,251,França,16390497,45.014,mirror
2003,271019,Combustíveis refinados,699,Índia,11895330,32.669,mirror
2003,271019,Combustíveis refinados,620,Portugal,4865189,13.361,mirror
2003,271019,Combustíveis refinados,842,EUA,1632249,4.483,mirror
2003,271019,Combustíveis refinados,56,Bélgica,778126,2.137,mirror
2003,271019,Combustíveis refinados,384,Costa do Marfim,446325,1.226,mirror
2003,271019,Combustíveis refinados,710,África do Sul,134959,0.371,mirror
2003,271019,Combustíveis refinados,528,Países Baixos,109710,0.301,mirror
2003,300490,Medicamentos,699,Índia,6306090,34.756,mirror
2003,300490,Medicamentos,620,Portugal,4753988,26.202,mirror
2003,300490,Medicamentos,528,Países Baixos,2581009,14.225,mirror
2003,300490,Medicamentos,56,Bélgica,1500760,8.271,mirror
2003,300490,Medicamentos,76,Brasil,762719,4.204,mirror
2003,300490,Medicamentos,251,França,529712,2.919,mirror
2003,300490,Medicamentos,516,Namíbia,425387,2.345,mirror
2003,300490,Medicamentos,208,Dinamarca,380806,2.099,mirror
2003,730429,Tubos sem costura (petróleo/gás),251,França,15382008,33.683,mirror
