year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,030229,Peixe fresco ou refrigerado,516,Namíbia,36,100.0,mirror
2003,251611,Granite; crude or roughly trimmed,380,Itália,4386216,59.766,mirror
2003,251611,Granite; crude or roughly trimmed,724,Espanha,2345114,31.954,mirror
2003,251611,Granite; crude or roughly trimmed,620,Portugal,352735,4.806,mirror
2003,251611,Granite; crude or roughly trimmed,156,China,232059,3.162,mirror
2003,251611,Granite; crude or roughly trimmed,490,Taiwan (Prov. China),12800,0.174,mirror
2003,251611,Granite; crude or roughly trimmed,276,Alemanha,10000,0.136,mirror
2003,270900,Petróleo bruto,842,EUA,4334268265,49.229,mirror
2003,270900,Petróleo bruto,156,China,2205654993,25.052,mirror
2003,270900,Petróleo bruto,490,Taiwan (Prov. China),754792400,8.573,mirror
2003,270900,Petróleo bruto,251,França,693177977,7.873,mirror
2003,270900,Petróleo bruto,410,Coreia do Sul,254993504,2.896,mirror
2003,270900,Petróleo bruto,380,Itália,196393641,2.231,mirror
2003,270900,Petróleo bruto,360,Indonésia,94687047,1.075,mirror
2003,270900,Petróleo bruto,392,Japão,79718910,0.905,mirror
2003,271011,Combustíveis refinados,528,Países Baixos,8763630,52.563,mirror
2003,271011,Combustíveis refinados,842,EUA,7908922,47.437,mirror
2003,271011,Combustíveis refinados,710,África do Sul,58,0.0,mirror
2003,271019,Combustíveis refinados,842,EUA,140522378,99.99,mirror
2003,271019,Combustíveis refinados,826,Reino Unido,13453,0.01,mirror
2003,271019,Combustíveis refinados,620,Portugal,136,0.0,mirror
2003,271019,Combustíveis refinados,124,Canadá,104,0.0,mirror
2003,440729,Madeira serrada,724,Espanha,19748,98.229,mirror
2003,440729,Madeira serrada,233,Estónia,356,1.771,mirror
2003,710221,Diamantes,124,Canadá,2349,100.0,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,826,Reino Unido,40283,59.074,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,842,EUA,8301,12.173,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,251,França,6786,9.952,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,276,Alemanha,5000,7.332,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,410,Coreia do Sul,4144,6.077,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,266,Gabão,1672,2.452,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,702,Singapura,1141,1.673,mirror
2003,732690,Iron or steel; articles n.e.c. in heading 7326,504,Marrocos,495,0.725,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,826,Reino Unido,893821,66.525,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,702,Singapura,235590,17.534,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,380,Itália,83143,6.188,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,710,África do Sul,50467,3.756,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,384,Costa do Marfim,42592,3.17,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,528,Países Baixos,22625,1.684,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,579,Noruega,3645,0.271,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,266,Gabão,2819,0.21,mirror
2003,999999,Commodities not specified according to kind,842,EUA,4929591,89.77,mirror
2003,999999,Commodities not specified according to kind,826,Reino Unido,356346,6.489,mirror
2003,999999,Commodities not specified according to kind,634,Catar,58008,1.056,mirror
2003,999999,Commodities not specified according to kind,702,Singapura,55380,1.008,mirror
2003,999999,Commodities not specified according to kind,894,Zâmbia,29136,0.531,mirror
2003,999999,Commodities not specified according to kind,392,Japão,15559,0.283,mirror
2003,999999,Commodities not specified according to kind,208,Dinamarca,11108,0.202,mirror
2003,999999,Commodities not specified according to kind,466,Mali,11072,0.202,mirror
2004,030219,Peixe fresco ou refrigerado,392,Japão,2781416,96.138,direct
2004,030219,Peixe fresco ou refrigerado,400,Jordânia,111724,3.862,direct
2004,251611,Granite; crude or roughly trimmed,724,Espanha,274516,100.0,direct
2004,270740,Oils and products of the distillation of high temperature coal tar; naphthalene,528,Países Baixos,22391899,73.687,direct
2004,270740,Oils and products of the distillation of high temperature coal tar; naphthalene,842,EUA,7995772,26.313,direct
2004,270900,Petróleo bruto,156,China,4259106021,34.473,direct
