year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,4508909969,48.368,1,mirror
2003,156,China,2205934880,23.663,2,mirror
2003,490,Taiwan (Prov. China),754817300,8.097,3,mirror
2003,251,França,693959478,7.444,4,mirror
2003,410,Coreia do Sul,267633814,2.871,5,mirror
2003,56,Bélgica,258104931,2.769,6,mirror
2003,380,Itália,202682127,2.174,7,mirror
2003,360,Indonésia,94802100,1.017,8,mirror
2003,392,Japão,83661032,0.897,9,mirror
2003,152,Chile,64495999,0.692,10,mirror
2004,156,China,4260538673,32.146,1,direct
2004,842,EUA,3983652450,30.057,2,direct
2004,251,França,698995585,5.274,3,direct
2004,490,Taiwan (Prov. China),690032130,5.206,4,direct
2004,699,Índia,616810769,4.654,5,direct
2004,899,"Areas, nes",603657064,4.555,6,direct
2004,152,Chile,419190925,3.163,7,direct
2004,56,Bélgica,401427996,3.029,8,direct
2004,124,Canadá,300531469,2.268,9,direct
2004,360,Indonésia,250435370,1.89,10,direct
2004,842,EUA,4796799975,37.549,1,mirror
2004,156,China,4717339146,36.927,2,mirror
2004,490,Taiwan (Prov. China),864305200,6.766,3,mirror
2004,251,França,815351242,6.382,4,mirror
2004,152,Chile,430833024,3.373,5,mirror
2004,360,Indonésia,332731460,2.605,6,mirror
2004,710,África do Sul,262218735,2.053,7,mirror
2004,724,Espanha,209277238,1.638,8,mirror
2004,410,Coreia do Sul,137397995,1.076,9,mirror
2004,56,Bélgica,118705977,0.929,10,mirror
2005,842,EUA,7728758479,32.655,1,direct
2005,156,China,6698133090,28.3,2,direct
2005,251,França,1868040307,7.893,3,direct
2005,124,Canadá,1422847242,6.012,4,direct
2005,152,Chile,1202748268,5.082,5,direct
2005,490,Taiwan (Prov. China),970815591,4.102,6,direct
2005,724,Espanha,624220623,2.637,7,direct
2005,699,Índia,528875762,2.235,8,direct
2005,376,Israel,496380513,2.097,9,direct
2005,710,África do Sul,347020386,1.466,10,direct
2005,842,EUA,8846626689,40.055,1,mirror
2005,156,China,6581828714,29.8,2,mirror
2005,251,França,1749100644,7.919,3,mirror
2005,152,Chile,1197146448,5.42,4,mirror
