year,partner_code,partner,value,share_pct,rank,basis
2003,620,Portugal,738560447,16.668,1,mirror
2003,842,EUA,490609324,11.072,2,mirror
2003,528,Países Baixos,476104534,10.745,3,mirror
2003,710,África do Sul,447411141,10.097,4,mirror
2003,516,Namíbia,321262026,7.25,5,mirror
2003,251,França,262999512,5.935,6,mirror
2003,76,Brasil,234256348,5.287,7,mirror
2003,826,Reino Unido,169493657,3.825,8,mirror
2003,156,China,145791215,3.29,9,mirror
2003,56,Bélgica,143337360,3.235,10,mirror
2004,620,Portugal,850041660,16.759,1,direct
2004,710,África do Sul,562571321,11.092,2,direct
2004,842,EUA,434782497,8.572,3,direct
2004,76,Brasil,404669062,7.978,4,direct
2004,410,Coreia do Sul,370597175,7.307,5,direct
2004,56,Bélgica,265308045,5.231,6,direct
2004,156,China,258479283,5.096,7,direct
2004,251,França,246202947,4.854,8,direct
2004,392,Japão,245452950,4.839,9,direct
2004,826,Reino Unido,128218340,2.528,10,direct
2004,410,Coreia do Sul,1814112250,27.178,1,mirror
2004,620,Portugal,833540566,12.488,2,mirror
2004,842,EUA,593896743,8.897,3,mirror
2004,710,África do Sul,481942700,7.22,4,mirror
2004,76,Brasil,354995873,5.318,5,mirror
2004,392,Japão,303584024,4.548,6,mirror
2004,251,França,273519968,4.098,7,mirror
2004,516,Namíbia,244578420,3.664,8,mirror
2004,826,Reino Unido,219374293,3.287,9,mirror
2004,156,China,193517905,2.899,10,mirror
2005,620,Portugal,1016803387,12.858,1,direct
2005,842,EUA,808913056,10.229,2,direct
2005,408,Coreia do Norte,564376395,7.137,3,direct
2005,710,África do Sul,550927658,6.967,4,direct
2005,76,Brasil,500242641,6.326,5,direct
2005,156,China,424506267,5.368,6,direct
2005,410,Coreia do Sul,423982726,5.361,7,direct
2005,56,Bélgica,367508950,4.647,8,direct
2005,48,Barém,364408219,4.608,9,direct
2005,251,França,307042563,3.883,10,direct
2005,410,Coreia do Sul,1517394108,19.536,1,mirror
2005,620,Portugal,996493794,12.83,2,mirror
2005,842,EUA,929046776,11.961,3,mirror
2005,710,África do Sul,544527941,7.011,4,mirror
2005,76,Brasil,521942487,6.72,5,mirror
2005,156,China,372793946,4.8,6,mirror
2005,251,França,370800369,4.774,7,mirror
2005,826,Reino Unido,288709466,3.717,8,mirror
2005,516,Namíbia,194520201,2.504,9,mirror
2005,528,Países Baixos,182647508,2.352,10,mirror
2006,842,EUA,1618592554,15.246,1,direct
2006,620,Portugal,1591975361,14.995,2,direct
2006,156,China,867500662,8.171,3,direct
2006,76,Brasil,776294326,7.312,4,direct
2006,710,África do Sul,707728892,6.666,5,direct
2006,251,França,537643117,5.064,6,direct
2006,56,Bélgica,498369384,4.694,7,direct
2006,699,Índia,431023572,4.06,8,direct
2006,826,Reino Unido,408020661,3.843,9,direct
2006,392,Japão,360495133,3.396,10,direct
2006,842,EUA,1550235993,14.575,1,mirror
2006,620,Portugal,1518680047,14.278,2,mirror
2006,410,Coreia do Sul,1037088258,9.751,3,mirror
2006,156,China,894185633,8.407,4,mirror
2006,76,Brasil,835384463,7.854,5,mirror
