year,hs6,description_pt,value,share_pct,rank,basis
2003,270900,Petróleo bruto,8804250597,94.445,1,mirror
2003,271019,Combustíveis refinados,140536071,1.508,2,mirror
2003,271011,Combustíveis refinados,16672610,0.179,3,mirror
2003,251611,Granito,7338924,0.079,4,mirror
2003,999999,Mercadorias não especificadas,5491358,0.059,5,mirror
2003,843143,Partes de máquinas de terraplanagem,1343590,0.014,6,mirror
2003,732690,Outros artigos de ferro ou aço,68191,0.001,7,mirror
2003,440729,Madeira serrada,20104,0.0,8,mirror
2003,710221,Diamantes,2349,0.0,9,mirror
2003,030229,Peixe fresco ou refrigerado,36,0.0,10,mirror
2004,270900,Petróleo bruto,12354817267,93.218,1,direct
2004,710221,Diamantes,765215124,5.774,2,direct
2004,843143,Partes de máquinas de terraplanagem,31174272,0.235,3,direct
2004,270740,Produtos da destilação do alcatrão,30387671,0.229,4,direct
2004,030619,Crustáceos,13588629,0.103,5,direct
2004,030613,Crustáceos,6091346,0.046,6,direct
2004,030211,Peixe fresco ou refrigerado,4166642,0.031,7,direct
2004,030219,Peixe fresco ou refrigerado,2893140,0.022,8,direct
2004,880330,Partes de aeronaves,2597687,0.02,9,direct
2004,030420,Filetes de peixe,2178837,0.016,10,direct
2004,270900,Petróleo bruto,12338282330,96.583,1,mirror
2004,271019,Combustíveis refinados,168682119,1.32,2,mirror
2004,271011,Combustíveis refinados,24641587,0.193,3,mirror
2004,251611,Granito,11612689,0.091,4,mirror
2004,999999,Mercadorias não especificadas,9768011,0.076,5,mirror
2004,271112,Gás natural e outros gases de petróleo,6739363,0.053,6,mirror
2004,843143,Partes de máquinas de terraplanagem,1688700,0.013,7,mirror
2004,732690,Outros artigos de ferro ou aço,205878,0.002,8,mirror
2004,271113,Gás natural e outros gases de petróleo,9445,0.0,9,mirror
2004,440729,Madeira serrada,3958,0.0,10,mirror
2005,270900,Petróleo bruto,22217114076,93.869,1,direct
2005,710221,Diamantes,965714476,4.08,2,direct
2005,271011,Combustíveis refinados,250940703,1.06,3,direct
2005,030619,Crustáceos,47521350,0.201,4,direct
2005,270740,Produtos da destilação do alcatrão,38576026,0.163,5,direct
2005,271112,Gás natural e outros gases de petróleo,36147562,0.153,6,direct
2005,843143,Partes de máquinas de terraplanagem,26936080,0.114,7,direct
2005,271113,Gás natural e outros gases de petróleo,15766321,0.067,8,direct
2005,030229,Peixe fresco ou refrigerado,9643556,0.041,9,direct
2005,880330,Partes de aeronaves,4362553,0.018,10,direct
2005,270900,Petróleo bruto,20937685727,94.799,1,mirror
2005,271019,Combustíveis refinados,199234112,0.902,2,mirror
2005,271011,Combustíveis refinados,47981226,0.217,3,mirror
