year,hs6,description_pt,value,share_pct,rank,basis
2003,890520,Floating or submersible drilling or production platforms,337516932,7.617,1,mirror
2003,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,266495643,6.014,2,mirror
2003,150790,Óleo de soja,58242674,1.314,3,mirror
2003,110100,Wheat or meslin flour,55043410,1.242,4,mirror
2003,870421,Veículos de mercadorias,54838341,1.238,5,mirror
2003,870422,Veículos de mercadorias,49422288,1.115,6,mirror
2003,170199,Açúcar de cana ou de beterraba,49054453,1.107,7,mirror
2003,730429,"Iron or steel (excluding cast iron or stainless steel); seamless, casing and tubing, of a kind used in drilling for oil or gas",45666486,1.031,8,mirror
2003,999999,Commodities not specified according to kind,42522362,0.96,9,mirror
2003,870323,Automóveis de passageiros,40862207,0.922,10,mirror
2004,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,579677254,11.429,1,direct
2004,100630,Arroz,134294951,2.648,2,direct
2004,220300,Cerveja,82377392,1.624,3,direct
2004,110100,Wheat or meslin flour,80047202,1.578,4,direct
2004,870421,Veículos de mercadorias,76063013,1.5,5,direct
2004,870323,Automóveis de passageiros,75702936,1.493,6,direct
2004,020230,"Meat; of bovine animals, boneless cuts, frozen",65896351,1.299,7,direct
2004,150790,Óleo de soja,59247406,1.168,8,direct
2004,730890,"Iron or steel; structures and parts thereof, n.e.c. in heading 7308",51592365,1.017,9,direct
2004,630900,"Clothing; worn, and other worn articles",50205326,0.99,10,direct
2004,890520,Floating or submersible drilling or production platforms,989307187,14.821,1,mirror
2004,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,384400060,5.759,2,mirror
2004,110100,Wheat or meslin flour,79799823,1.196,3,mirror
2004,100630,Arroz,77837733,1.166,4,mirror
2004,150790,Óleo de soja,56992970,0.854,5,mirror
2004,870323,Automóveis de passageiros,54573005,0.818,6,mirror
2004,870421,Veículos de mercadorias,52032696,0.78,7,mirror
2004,999999,Commodities not specified according to kind,51492488,0.771,8,mirror
2004,020230,"Meat; of bovine animals, boneless cuts, frozen",48100289,0.721,9,mirror
2004,730429,"Iron or steel (excluding cast iron or stainless steel); seamless, casing and tubing, of a kind used in drilling for oil or gas",44624791,0.669,10,mirror
2005,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,1376207451,17.402,1,direct
2005,890590,"Vessels; light, fire-floats, floating cranes and other vessels, the navigability of which is subsidiary to their main function, floating docks",364919011,4.614,2,direct
2005,271019,Combustíveis refinados,245242542,3.101,3,direct
2005,271011,Combustíveis refinados,139159781,1.76,4,direct
2005,870421,Veículos de mercadorias,107928453,1.365,5,direct
2005,870323,Automóveis de passageiros,99790617,1.262,6,direct
2005,843139,"Machinery; parts of the machinery of heading no. 8428, (other than lifts, skip hoists or escalators)",90063635,1.139,7,direct
2005,110100,Wheat or meslin flour,83535069,1.056,8,direct
2005,852520,852520,82677461,1.045,9,direct
2005,020230,"Meat; of bovine animals, boneless cuts, frozen",78687833,0.995,10,direct
2005,890520,Floating or submersible drilling or production platforms,707663213,9.111,1,mirror
