year,basis,exports,imports,trade_volume,balance
2003,mirror,9322134085,4431063866,13753197951,4891070219
2004,direct,13253676784,5072075923,18325752707,8181600861
2004,mirror,12774811195,6674906901,19449718096,6099904294
2005,direct,23668205179,7908231278,31576436457,15759973901
2005,mirror,22086396607,7767184001,29853580608,14319212606
2006,direct,31764655499,10616802794,42381458293,21147852705
2006,mirror,32047620256,10636226534,42683846790,21411393722
2007,direct,44336895477,14871732466,59208627943,29465163011
2007,mirror,41712202541,12662439392,54374641933,29049763149
2008,direct,65772699298,23926307915,89699007213,41846391383
2008,mirror,67749015789,20453378341,88202394130,47295637448
2009,direct,40639411732,23918854361,64558266093,16720557371
2009,mirror,39936869089,17837965826,57774834915,22098903263
2010,direct,52612114761,18143268908,70755383669,34468845853
2010,mirror,53460936346,15869778614,69330714960,37591157732
2011,direct,66427390220,20790996039,87218386259,45636394181
2011,mirror,66207592080,18325445323,84533037403,47882146757
2012,direct,70863076413,28722984064,99586060477,42140092349
2012,mirror,75489311616,22113335423,97602647039,53375976193
2013,direct,67712526547,26756062991,94468589538,40956463556
2013,mirror,72306671692,24446193041,96752864733,47860478651
2014,direct,58672369190,28753499329,87425868519,29918869861
2014,mirror,64697442326,28410762216,93108204542,36286680110
2015,direct,33924937478,21549256530,55474194008,12375680948
2015,mirror,36838460169,18527628837,55366089006,18310831332
2016,direct,28057499522,14347710497,42405210019,13709789025
2016,mirror,28307516563,11655706100,39963222663,16651810463
2017,direct,41682666317,16175609038,57858275355,25507057279
2017,mirror,36710673515,11877243096,48587916611,24833430419
2018,direct,41651716643,16549641599,58201358242,25102075044
2018,mirror,44191740663,10350424681,54542165344,33841315982
2019,direct,35198251385,13967552830,49165804215,21230698555
2019,mirror,37514466679,9482428808,46996895487,28032037871
2020,direct,22004317640,9223139696,31227457336,12781177944
2020,mirror,23910661754,7591876532,31502538286,16318785222
2021,direct,34984377894,11505173904,46489551798,23479203990
2021,mirror,33481373451,9450608516,42931981967,24030764935
2022,direct,51274951711,17802935241,69077886952,33472016470
2022,mirror,53180012707,14681482987,67861495694,38498529720
2023,direct,38731586575,15572268065,54303854640,23159318510
2023,mirror,40157632141,13063347151,53220979292,27094284990
2024,direct,39371634396,15002678672,54374313068,24368955724
2024,mirror,38035265177,12047863821,50083128998,25987401356
