year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,32,Argentina,090111,Café verde não descafeinado,76,Brasil,26463852,95.698,1,1,27653425
2003,32,Argentina,090111,Café verde não descafeinado,170,Colômbia,926611,3.351,2,0,27653425
2003,32,Argentina,090111,Café verde não descafeinado,484,México,178752,0.646,3,0,27653425
2003,32,Argentina,090111,Café verde não descafeinado,604,Peru,78958,0.286,4,0,27653425
2003,32,Argentina,090111,Café verde não descafeinado,600,Paraguai,5252,0.019,5,0,27653425
2003,32,Argentina,120100,Soja (ed. antiga),600,Paraguai,57863467,81.843,1,0,70700795
2003,32,Argentina,120100,Soja (ed. antiga),76,Brasil,6256478,8.849,2,1,70700795
2003,32,Argentina,120100,Soja (ed. antiga),68,Bolívia,5545182,7.843,3,0,70700795
2003,32,Argentina,120100,Soja (ed. antiga),842,EUA,622090,0.88,4,0,70700795
2003,32,Argentina,120100,Soja (ed. antiga),858,Uruguai,387195,0.548,5,0,70700795
2003,32,Argentina,120100,Soja (ed. antiga),124,Canadá,14162,0.02,6,0,70700795
2003,32,Argentina,230400,Resíduos da extração de óleo de soja,842,EUA,138280,97.892,1,0,141258
2003,32,Argentina,230400,Resíduos da extração de óleo de soja,76,Brasil,2867,2.03,2,1,141258
2003,32,Argentina,230400,Resíduos da extração de óleo de soja,899,"Areas, nes",111,0.079,3,0,141258
2003,32,Argentina,260111,Minério de ferro não aglomerado,76,Brasil,83563682,99.998,1,1,83565298
2003,32,Argentina,260111,Minério de ferro não aglomerado,899,"Areas, nes",1616,0.002,2,0,83565298
2003,32,Argentina,270900,Petróleo bruto,566,Nigéria,37584875,68.986,1,0,54481899
2003,32,Argentina,270900,Petróleo bruto,899,"Areas, nes",13801575,25.332,2,0,54481899
2003,32,Argentina,270900,Petróleo bruto,68,Bolívia,1966183,3.609,3,0,54481899
2003,32,Argentina,270900,Petróleo bruto,288,Gana,1128325,2.071,4,0,54481899
2003,32,Argentina,270900,Petróleo bruto,842,EUA,482,0.001,5,0,54481899
2003,32,Argentina,270900,Petróleo bruto,76,Brasil,74,0.0,8,1,54481899
2003,32,Argentina,470329,Pasta de madeira química,152,Chile,3444594,85.911,1,0,4009470
2003,32,Argentina,470329,Pasta de madeira química,76,Brasil,564876,14.089,2,1,4009470
2003,156,China,090111,Café verde não descafeinado,704,Vietname,7661508,75.767,1,0,10111916
2003,156,China,090111,Café verde não descafeinado,360,Indonésia,900293,8.903,2,0,10111916
2003,156,China,090111,Café verde não descafeinado,76,Brasil,801948,7.931,3,1,10111916
2003,156,China,090111,Café verde não descafeinado,170,Colômbia,404608,4.001,4,0,10111916
2003,156,China,090111,Café verde não descafeinado,490,Taiwan (Prov. China),91053,0.9,5,0,10111916
2003,156,China,090111,Café verde não descafeinado,231,Etiópia,56983,0.564,6,0,10111916
2003,156,China,120100,Soja (ed. antiga),842,EUA,2216894765,40.926,1,0,5416860728
2003,156,China,120100,Soja (ed. antiga),76,Brasil,1683314880,31.075,2,1,5416860728
2003,156,China,120100,Soja (ed. antiga),32,Argentina,1512172860,27.916,3,0,5416860728
2003,156,China,120100,Soja (ed. antiga),124,Canadá,4409818,0.081,4,0,5416860728
2003,156,China,120100,Soja (ed. antiga),643,Rússia,35691,0.001,5,0,5416860728
2003,156,China,120100,Soja (ed. antiga),104,Myanmar,21746,0.0,6,0,5416860728
2003,156,China,230400,Resíduos da extração de óleo de soja,699,Índia,434989,75.48,1,0,576300
2003,156,China,230400,Resíduos da extração de óleo de soja,490,Taiwan (Prov. China),106900,18.549,2,0,576300
2003,156,China,230400,Resíduos da extração de óleo de soja,842,EUA,19914,3.455,3,0,576300
2003,156,China,230400,Resíduos da extração de óleo de soja,104,Myanmar,14497,2.516,4,0,576300
2003,156,China,260111,Minério de ferro não aglomerado,36,Austrália,1612916342,39.491,1,0,4084268247
