year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,32,Argentina,270112,Carvão betuminoso,76,Brasil,6454,97.287,1,1,6634
2003,32,Argentina,270112,Carvão betuminoso,600,Paraguai,180,2.713,2,0,6634
2003,32,Argentina,270900,Petróleo bruto,152,Chile,1308828480,56.939,1,0,2298635334
2003,32,Argentina,270900,Petróleo bruto,842,EUA,584946273,25.448,2,0,2298635334
2003,32,Argentina,270900,Petróleo bruto,410,Coreia do Sul,187762826,8.168,3,0,2298635334
2003,32,Argentina,270900,Petróleo bruto,76,Brasil,145603095,6.334,4,1,2298635334
2003,32,Argentina,270900,Petróleo bruto,724,Espanha,23392118,1.018,5,0,2298635334
2003,32,Argentina,270900,Petróleo bruto,600,Paraguai,18557574,0.807,6,0,2298635334
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,842,EUA,160728992,24.913,1,0,645166507
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,600,Paraguai,155657371,24.127,2,0,645166507
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,76,Brasil,80241099,12.437,3,1,645166507
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,152,Chile,79597338,12.337,4,0,645166507
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,68,Bolívia,64583238,10.01,5,0,645166507
2003,32,Argentina,271019,Gasóleo e combustíveis médios e pesados,858,Uruguai,51707990,8.015,6,0,645166507
2003,32,Argentina,271121,Gás natural em estado gasoso,152,Chile,305648005,86.29,1,0,354209883
2003,32,Argentina,271121,Gás natural em estado gasoso,76,Brasil,45738003,12.913,2,1,354209883
2003,32,Argentina,271121,Gás natural em estado gasoso,858,Uruguai,2823785,0.797,3,0,354209883
2003,32,Argentina,271121,Gás natural em estado gasoso,276,Alemanha,75,0.0,4,0,354209883
2003,32,Argentina,271121,Gás natural em estado gasoso,251,França,15,0.0,5,0,354209883
2003,32,Argentina,300490,Medicamentos,76,Brasil,25266074,21.341,1,1,118391744
2003,32,Argentina,300490,Medicamentos,152,Chile,18791495,15.872,2,0,118391744
2003,32,Argentina,300490,Medicamentos,858,Uruguai,11194766,9.456,3,0,118391744
2003,32,Argentina,300490,Medicamentos,862,Venezuela,10338604,8.733,4,0,118391744
2003,32,Argentina,300490,Medicamentos,170,Colômbia,8734045,7.377,5,0,118391744
2003,32,Argentina,300490,Medicamentos,604,Peru,6521948,5.509,6,0,118391744
2003,32,Argentina,310420,Fertilizantes potássicos,152,Chile,6000,69.469,1,0,8637
2003,32,Argentina,310420,Fertilizantes potássicos,862,Venezuela,2415,27.961,2,0,8637
2003,32,Argentina,310420,Fertilizantes potássicos,858,Uruguai,151,1.748,3,0,8637
2003,32,Argentina,310420,Fertilizantes potássicos,600,Paraguai,71,0.822,4,0,8637
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,484,México,208364831,49.456,1,0,421312363
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,76,Brasil,142792555,33.892,2,1,421312363
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,152,Chile,64647352,15.344,3,0,421312363
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,862,Venezuela,1654154,0.393,4,0,421312363
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,858,Uruguai,589168,0.14,5,0,421312363
2003,32,Argentina,870323,Automóveis a gasolina 1.500–3.000 cm³,218,Equador,564532,0.134,6,0,421312363
2003,156,China,270112,Carvão betuminoso,392,Japão,909064161,36.433,1,0,2495144930
2003,156,China,270112,Carvão betuminoso,410,Coreia do Sul,724811305,29.049,2,0,2495144930
2003,156,China,270112,Carvão betuminoso,490,Taiwan (Prov. China),448458301,17.973,3,0,2495144930
2003,156,China,270112,Carvão betuminoso,608,Filipinas,72354068,2.9,4,0,2495144930
2003,156,China,270112,Carvão betuminoso,76,Brasil,67026673,2.686,5,1,2495144930
2003,156,China,270112,Carvão betuminoso,699,Índia,66118476,2.65,6,0,2495144930
2003,156,China,270900,Petróleo bruto,392,Japão,731510760,44.024,1,0,1661601232
2003,156,China,270900,Petróleo bruto,360,Indonésia,297300856,17.892,2,0,1661601232
2003,156,China,270900,Petróleo bruto,410,Coreia do Sul,268404213,16.153,3,0,1661601232
2003,156,China,270900,Petróleo bruto,842,EUA,136494466,8.215,4,0,1661601232
2003,156,China,270900,Petróleo bruto,408,Coreia do Norte,121004375,7.282,5,0,1661601232
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,704,Vietname,283222088,20.71,1,0,1367566375
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,344,Hong Kong (RAEHK),250484004,18.316,2,0,1367566375
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,702,Singapura,123354003,9.02,3,0,1367566375
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,392,Japão,100864400,7.375,4,0,1367566375
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,591,Panamá,100213637,7.328,5,0,1367566375
2003,156,China,271019,Gasóleo e combustíveis médios e pesados,76,Brasil,33848,0.002,80,1,1367566375
2003,156,China,271121,Gás natural em estado gasoso,344,Hong Kong (RAEHK),159428325,100.0,1,0,159428325
2003,156,China,300490,Medicamentos,344,Hong Kong (RAEHK),61556178,29.386,1,0,209477357
2003,156,China,300490,Medicamentos,392,Japão,12846079,6.132,2,0,209477357
2003,156,China,300490,Medicamentos,842,EUA,9000331,4.297,3,0,209477357
2003,156,China,300490,Medicamentos,702,Singapura,8677166,4.142,4,0,209477357
2003,156,China,300490,Medicamentos,752,Suécia,8206467,3.918,5,0,209477357
2003,156,China,300490,Medicamentos,76,Brasil,3330100,1.59,16,1,209477357
2003,156,China,310420,Fertilizantes potássicos,360,Indonésia,15060111,43.27,1,0,34805149
2003,156,China,310420,Fertilizantes potássicos,704,Vietname,8003671,22.996,2,0,34805149
2003,156,China,310420,Fertilizantes potássicos,144,Sri Lanka,3885300,11.163,3,0,34805149
2003,156,China,310420,Fertilizantes potássicos,458,Malásia,3309520,9.509,4,0,34805149
2003,156,China,310420,Fertilizantes potássicos,392,Japão,1285615,3.694,5,0,34805149
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,344,Hong Kong (RAEHK),10194614,30.118,1,0,33849124
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,434,Libya,4489188,13.262,2,0,33849124
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,760,Syria,3986595,11.778,3,0,33849124
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,490,Taiwan (Prov. China),3645286,10.769,4,0,33849124
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,784,Emirados Árabes Unidos,1905441,5.629,5,0,33849124
2003,156,China,870323,Automóveis a gasolina 1.500–3.000 cm³,76,Brasil,130000,0.384,17,1,33849124
2003,276,Alemanha,270900,Petróleo bruto,826,Reino Unido,295312000,92.011,1,0,320953000
2003,276,Alemanha,270900,Petróleo bruto,842,EUA,14151000,4.409,2,0,320953000
2003,276,Alemanha,270900,Petróleo bruto,251,França,11364000,3.541,3,0,320953000
2003,276,Alemanha,270900,Petróleo bruto,56,Bélgica,125000,0.039,4,0,320953000
2003,276,Alemanha,270900,Petróleo bruto,380,Itália,1000,0.0,5,0,320953000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,40,Áustria,985289000,25.617,1,0,3846255000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,251,França,397764000,10.342,2,0,3846255000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,826,Reino Unido,352543000,9.166,3,0,3846255000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,842,EUA,320345000,8.329,4,0,3846255000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,837,Bunkers,221994000,5.772,5,0,3846255000
2003,276,Alemanha,271019,Gasóleo e combustíveis médios e pesados,76,Brasil,5811000,0.151,31,1,3846255000
2003,276,Alemanha,300490,Medicamentos,56,Bélgica,3625295000,26.741,1,0,13557277000
2003,276,Alemanha,300490,Medicamentos,842,EUA,1677939000,12.377,2,0,13557277000
2003,276,Alemanha,300490,Medicamentos,757,Suíça,1010946000,7.457,3,0,13557277000
2003,276,Alemanha,300490,Medicamentos,826,Reino Unido,686295000,5.062,4,0,13557277000
2003,276,Alemanha,300490,Medicamentos,251,França,625130000,4.611,5,0,13557277000
2003,276,Alemanha,300490,Medicamentos,76,Brasil,65402000,0.482,29,1,13557277000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,842,EUA,8769040000,25.72,1,0,34094790000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,826,Reino Unido,5210171000,15.281,2,0,34094790000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,56,Bélgica,1988383000,5.832,3,0,34094790000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,392,Japão,1679077000,4.925,4,0,34094790000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,380,Itália,1381297000,4.051,5,0,34094790000
2003,276,Alemanha,870323,Automóveis a gasolina 1.500–3.000 cm³,76,Brasil,151766000,0.445,31,1,34094790000
2003,392,Japão,270112,Carvão betuminoso,360,Indonésia,23285,100.0,1,0,23285
2003,392,Japão,270900,Petróleo bruto,156,China,12321889,99.855,1,0,12339827
2003,392,Japão,270900,Petróleo bruto,344,Hong Kong (RAEHK),16034,0.13,2,0,12339827
2003,392,Japão,270900,Petróleo bruto,360,Indonésia,1904,0.015,3,0,12339827
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,156,China,289298466,36.784,1,0,786484164
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,410,Coreia do Sul,233521868,29.692,2,0,786484164
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,344,Hong Kong (RAEHK),57587264,7.322,3,0,786484164
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,842,EUA,50636023,6.438,4,0,786484164
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,490,Taiwan (Prov. China),39928490,5.077,5,0,786484164
2003,392,Japão,271019,Gasóleo e combustíveis médios e pesados,76,Brasil,276619,0.035,31,1,786484164
2003,392,Japão,271121,Gás natural em estado gasoso,410,Coreia do Sul,32786,50.601,1,0,64793
