year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",36,Austrália,46943858,37.774,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",842,EUA,32081394,25.815,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",156,China,18170887,14.621,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",710,África do Sul,7428820,5.978,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",862,Venezuela,5952635,4.79,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",170,Colômbia,4157881,3.346,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",124,Canadá,3020879,2.431,direct
2003,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",528,Países Baixos,2950100,2.374,direct
2003,270900,Petróleo bruto,566,Nigéria,1487962652,38.08,direct
2003,270900,Petróleo bruto,12,Argélia,839925447,21.495,direct
2003,270900,Petróleo bruto,682,Arábia Saudita,747812887,19.138,direct
2003,270900,Petróleo bruto,368,Iraque,287114345,7.348,direct
2003,270900,Petróleo bruto,32,Argentina,164370018,4.207,direct
2003,270900,Petróleo bruto,68,Bolívia,98912138,2.531,direct
2003,270900,Petróleo bruto,826,Reino Unido,84948326,2.174,direct
2003,270900,Petróleo bruto,178,Congo,65123023,1.667,direct
2003,271011,Combustíveis refinados,32,Argentina,387312844,45.12,direct
2003,271011,Combustíveis refinados,12,Argélia,318656403,37.122,direct
2003,271011,Combustíveis refinados,504,Marrocos,27532427,3.207,direct
2003,271011,Combustíveis refinados,858,Uruguai,26289872,3.063,direct
2003,271011,Combustíveis refinados,862,Venezuela,15808233,1.842,direct
2003,271011,Combustíveis refinados,434,Libya,14259509,1.661,direct
2003,271011,Combustíveis refinados,818,Egito,12470738,1.453,direct
2003,271011,Combustíveis refinados,724,Espanha,8676247,1.011,direct
2003,271019,Combustíveis refinados,699,Índia,237228536,22.199,direct
2003,271019,Combustíveis refinados,682,Arábia Saudita,154472713,14.455,direct
2003,271019,Combustíveis refinados,862,Venezuela,142746110,13.357,direct
2003,271019,Combustíveis refinados,414,Kuwait,76581811,7.166,direct
2003,271019,Combustíveis refinados,32,Argentina,75166664,7.034,direct
2003,271019,Combustíveis refinados,528,Países Baixos,56773629,5.313,direct
2003,271019,Combustíveis refinados,826,Reino Unido,38874752,3.638,direct
2003,271019,Combustíveis refinados,533,Aruba,37068418,3.469,direct
2003,271121,Gás natural e outros gases de petróleo,68,Bolívia,536518568,91.568,direct
2003,271121,Gás natural e outros gases de petróleo,32,Argentina,49403747,8.432,direct
2003,271121,Gás natural e outros gases de petróleo,842,EUA,716,0.0,direct
2003,271600,Electrical energy,600,Paraguai,1037316941,100.0,direct
2003,300490,Medicamentos,842,EUA,212410719,35.019,direct
