year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,020230,"Carne de bovino, congelada",643,Rússia,100082072,13.796,direct
2003,020230,"Carne de bovino, congelada",818,Egito,92118912,12.699,direct
2003,020230,"Carne de bovino, congelada",528,Países Baixos,61901122,8.533,direct
2003,020230,"Carne de bovino, congelada",380,Itália,60908582,8.396,direct
2003,020230,"Carne de bovino, congelada",682,Arábia Saudita,53396066,7.361,direct
2003,020230,"Carne de bovino, congelada",364,Irão,48349622,6.665,direct
2003,020230,"Carne de bovino, congelada",724,Espanha,37373973,5.152,direct
2003,020230,"Carne de bovino, congelada",826,Reino Unido,35625496,4.911,direct
2003,020712,Carne de aves,682,Arábia Saudita,229807820,37.246,direct
2003,020712,Carne de aves,784,Emirados Árabes Unidos,64962019,10.529,direct
2003,020712,Carne de aves,643,Rússia,56759989,9.199,direct
2003,020712,Carne de aves,887,Yemen,47160623,7.644,direct
2003,020712,Carne de aves,414,Kuwait,40203709,6.516,direct
2003,020712,Carne de aves,512,Omã,28566590,4.63,direct
2003,020712,Carne de aves,634,Catar,17528171,2.841,direct
2003,020712,Carne de aves,24,Angola,15507551,2.513,direct
2003,020714,Carne de aves,392,Japão,231090976,21.174,direct
2003,020714,Carne de aves,528,Países Baixos,153567056,14.071,direct
2003,020714,Carne de aves,276,Alemanha,150454425,13.785,direct
2003,020714,Carne de aves,344,Hong Kong (RAEHK),113082848,10.361,direct
2003,020714,Carne de aves,643,Rússia,69312786,6.351,direct
2003,020714,Carne de aves,826,Reino Unido,64139982,5.877,direct
2003,020714,Carne de aves,702,Singapura,38529813,3.53,direct
2003,020714,Carne de aves,724,Espanha,33661302,3.084,direct
2003,090111,Café,842,EUA,256080690,19.675,direct
2003,090111,Café,276,Alemanha,245164171,18.836,direct
2003,090111,Café,380,Itália,154377391,11.861,direct
2003,090111,Café,392,Japão,114492518,8.797,direct
2003,090111,Café,251,França,52831244,4.059,direct
2003,090111,Café,56,Bélgica,52068604,4.0,direct
2003,090111,Café,724,Espanha,44540400,3.422,direct
2003,090111,Café,705,Eslovénia,38861042,2.986,direct
2003,100590,Milho,724,Espanha,95019249,25.708,direct
2003,100590,Milho,410,Coreia do Sul,76374490,20.664,direct
2003,100590,Milho,364,Irão,44835889,12.131,direct
2003,100590,Milho,392,Japão,25878662,7.002,direct
2003,100590,Milho,376,Israel,16496203,4.463,direct
2003,100590,Milho,504,Marrocos,14772800,3.997,direct
2003,100590,Milho,682,Arábia Saudita,14120812,3.82,direct
2003,100590,Milho,620,Portugal,12590497,3.406,direct
2003,120100,Soja,156,China,1313073236,30.631,direct
2003,120100,Soja,528,Países Baixos,766070116,17.87,direct
2003,120100,Soja,276,Alemanha,493473175,11.511,direct
2003,120100,Soja,724,Espanha,334061389,7.793,direct
2003,120100,Soja,380,Itália,165066287,3.851,direct
2003,120100,Soja,56,Bélgica,148140395,3.456,direct
2003,120100,Soja,392,Japão,140000544,3.266,direct
2003,120100,Soja,826,Reino Unido,136404350,3.182,direct
2003,170111,Açúcar de cana ou de beterraba,643,Rússia,681767996,50.5,direct
2003,170111,Açúcar de cana ou de beterraba,124,Canadá,117008347,8.667,direct
2003,170111,Açúcar de cana ou de beterraba,842,EUA,69660514,5.16,direct
2003,170111,Açúcar de cana ou de beterraba,12,Argélia,67942282,5.033,direct
2003,170111,Açúcar de cana ou de beterraba,642,Roménia,56919788,4.216,direct
2003,170111,Açúcar de cana ou de beterraba,504,Marrocos,50664361,3.753,direct
2003,170111,Açúcar de cana ou de beterraba,682,Arábia Saudita,44898541,3.326,direct
2003,170111,Açúcar de cana ou de beterraba,566,Nigéria,44668009,3.309,direct
2003,170199,Açúcar de cana ou de beterraba,566,Nigéria,120617726,15.337,direct
2003,170199,Açúcar de cana ou de beterraba,784,Emirados Árabes Unidos,119780879,15.231,direct
2003,170199,Açúcar de cana ou de beterraba,818,Egito,66019146,8.395,direct
2003,170199,Açúcar de cana ou de beterraba,288,Gana,57153887,7.268,direct
2003,170199,Açúcar de cana ou de beterraba,887,Yemen,49949822,6.351,direct
2003,170199,Açúcar de cana ou de beterraba,504,Marrocos,43588628,5.543,direct
2003,170199,Açúcar de cana ou de beterraba,24,Angola,35907258,4.566,direct
2003,170199,Açúcar de cana ou de beterraba,268,Georgia,26436003,3.362,direct
2003,230400,Resíduos da extração de óleo de soja,528,Países Baixos,758800883,29.158,direct
2003,230400,Resíduos da extração de óleo de soja,251,França,490256715,18.839,direct
2003,230400,Resíduos da extração de óleo de soja,276,Alemanha,175238715,6.734,direct
2003,230400,Resíduos da extração de óleo de soja,360,Indonésia,132363315,5.086,direct
2003,230400,Resíduos da extração de óleo de soja,380,Itália,128500673,4.938,direct
2003,230400,Resíduos da extração de óleo de soja,410,Coreia do Sul,127825913,4.912,direct
2003,230400,Resíduos da extração de óleo de soja,764,Tailândia,119824769,4.604,direct
2003,230400,Resíduos da extração de óleo de soja,682,Arábia Saudita,112759026,4.333,direct
2003,240120,Tabaco não manufaturado,842,EUA,179760677,18.436,direct
2003,240120,Tabaco não manufaturado,276,Alemanha,112078802,11.495,direct
2003,240120,Tabaco não manufaturado,643,Rússia,57059149,5.852,direct
2003,240120,Tabaco não manufaturado,156,China,55089648,5.65,direct
2003,240120,Tabaco não manufaturado,528,Países Baixos,54404147,5.58,direct
2003,240120,Tabaco não manufaturado,56,Bélgica,53356497,5.472,direct
2003,240120,Tabaco não manufaturado,392,Japão,48029017,4.926,direct
2003,240120,Tabaco não manufaturado,826,Reino Unido,33831084,3.47,direct
2003,260111,Minério de ferro,156,China,520770739,22.819,direct
2003,260111,Minério de ferro,392,Japão,384000315,16.826,direct
2003,260111,Minério de ferro,276,Alemanha,305088286,13.368,direct
2003,260111,Minério de ferro,251,França,160010694,7.011,direct
2003,260111,Minério de ferro,56,Bélgica,119835406,5.251,direct
2003,260111,Minério de ferro,410,Coreia do Sul,115715253,5.07,direct
2003,260111,Minério de ferro,380,Itália,85523737,3.747,direct
2003,260111,Minério de ferro,32,Argentina,62588161,2.742,direct
2003,260112,Minério de ferro,156,China,244086520,20.796,direct
2003,260112,Minério de ferro,380,Itália,140181707,11.943,direct
2003,260112,Minério de ferro,818,Egito,95895702,8.17,direct
2003,260112,Minério de ferro,32,Argentina,87449803,7.451,direct
2003,260112,Minério de ferro,410,Coreia do Sul,85219213,7.26,direct
2003,260112,Minério de ferro,276,Alemanha,83277714,7.095,direct
2003,260112,Minério de ferro,842,EUA,81951897,6.982,direct
2003,260112,Minério de ferro,392,Japão,73208472,6.237,direct
2003,270900,Petróleo bruto,44,Bahamas,351008705,16.542,direct
2003,270900,Petróleo bruto,842,EUA,348191333,16.409,direct
2003,270900,Petróleo bruto,699,Índia,255219445,12.028,direct
2003,270900,Petróleo bruto,152,Chile,210095570,9.901,direct
2003,270900,Petróleo bruto,620,Portugal,146295101,6.894,direct
2003,270900,Petróleo bruto,784,Emirados Árabes Unidos,135132436,6.368,direct
2003,270900,Petróleo bruto,410,Coreia do Sul,126851945,5.978,direct
2003,270900,Petróleo bruto,826,Reino Unido,126542651,5.964,direct
2003,271019,Combustíveis refinados,842,EUA,846590102,80.582,direct
2003,271019,Combustíveis refinados,702,Singapura,101067768,9.62,direct
2003,271019,Combustíveis refinados,566,Nigéria,18166522,1.729,direct
2003,271019,Combustíveis refinados,32,Argentina,16567133,1.577,direct
2003,271019,Combustíveis refinados,376,Israel,16510302,1.572,direct
2003,271019,Combustíveis refinados,458,Malásia,14500386,1.38,direct
2003,271019,Combustíveis refinados,470,Malta,12352407,1.176,direct
2003,271019,Combustíveis refinados,600,Paraguai,9890870,0.941,direct
2003,281820,Óxido de alumínio,579,Noruega,145437644,45.338,direct
2003,281820,Óxido de alumínio,32,Argentina,76403426,23.818,direct
2003,281820,Óxido de alumínio,124,Canadá,55912833,17.43,direct
2003,281820,Óxido de alumínio,156,China,12703258,3.96,direct
2003,281820,Óxido de alumínio,268,Georgia,11451782,3.57,direct
2003,281820,Óxido de alumínio,643,Rússia,6557089,2.044,direct
2003,281820,Óxido de alumínio,352,Islândia,6301108,1.964,direct
2003,281820,Óxido de alumínio,842,EUA,5442110,1.697,direct
2003,470329,Pasta de madeira química,842,EUA,432331449,25.665,direct
2003,470329,Pasta de madeira química,156,China,258898613,15.369,direct
2003,470329,Pasta de madeira química,528,Países Baixos,233918867,13.886,direct
2003,470329,Pasta de madeira química,380,Itália,136842642,8.124,direct
2003,470329,Pasta de madeira química,56,Bélgica,136561368,8.107,direct
2003,470329,Pasta de madeira química,392,Japão,115314100,6.846,direct
2003,470329,Pasta de madeira química,826,Reino Unido,60979497,3.62,direct
2003,470329,Pasta de madeira química,757,Suíça,55158800,3.274,direct
2003,520100,Algodão em fibra,32,Argentina,50422099,26.79,direct
2003,520100,Algodão em fibra,392,Japão,23483829,12.477,direct
