year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,16866739013,23.177,1,direct
2003,32,Argentina,4559942398,6.266,2,direct
2003,156,China,4531201183,6.227,3,direct
2003,528,Países Baixos,4106474784,5.643,4,direct
2003,276,Alemanha,3126041384,4.296,5,direct
2003,484,México,2740365541,3.766,6,direct
2003,392,Japão,2310191147,3.175,7,direct
2003,380,Itália,2205725317,3.031,8,direct
2003,826,Reino Unido,1895645614,2.605,9,direct
2003,152,Chile,1879955849,2.583,10,direct
2003,842,EUA,18991824510,23.465,1,mirror
2003,156,China,5842291688,7.218,2,mirror
2003,32,Argentina,4699633017,5.806,3,mirror
2003,276,Alemanha,4355776000,5.382,4,mirror
2003,484,México,3267150361,4.037,5,mirror
2003,392,Japão,2881345882,3.56,6,mirror
2003,826,Reino Unido,2832710779,3.5,7,mirror
2003,251,França,2761551483,3.412,8,mirror
2003,528,Países Baixos,2627471452,3.246,9,mirror
2003,380,Itália,2435899782,3.01,10,mirror
2004,842,EUA,20303165706,21.346,1,direct
2004,32,Argentina,7371087001,7.75,2,direct
2004,156,China,5438637977,5.718,3,direct
2004,528,Países Baixos,4702038799,4.944,4,direct
2004,276,Alemanha,4031584011,4.239,5,direct
2004,484,México,3940169565,4.143,6,direct
2004,380,Itália,2901868583,3.051,7,direct
2004,392,Japão,2766992967,2.909,8,direct
2004,152,Chile,2545323171,2.676,9,direct
2004,251,França,2233477451,2.348,10,direct
2004,842,EUA,22738203208,21.216,1,mirror
2004,156,China,8672861322,8.092,2,mirror
2004,32,Argentina,7562429106,7.056,3,mirror
2004,276,Alemanha,5694342000,5.313,4,mirror
2004,484,México,4340869511,4.05,5,mirror
2004,392,Japão,3651724583,3.407,6,mirror
2004,528,Países Baixos,3372700847,3.147,7,mirror
2004,380,Itália,3317217529,3.095,8,mirror
2004,826,Reino Unido,3257143556,3.039,9,mirror
2004,251,França,3093923463,2.887,10,mirror
2005,842,EUA,22912151598,19.32,1,direct
2005,32,Argentina,9967855202,8.405,2,direct
2005,156,China,6826868482,5.757,3,direct
2005,528,Países Baixos,5165121983,4.355,4,direct
2005,276,Alemanha,5058804999,4.266,5,direct
2005,484,México,4076225055,3.437,6,direct
2005,152,Chile,3625762680,3.057,7,direct
2005,392,Japão,3452619654,2.911,8,direct
2005,380,Itália,3228479100,2.722,9,direct
2005,643,Rússia,2913723924,2.457,10,direct
2005,842,EUA,26217184797,20.36,1,mirror
2005,32,Argentina,10625327568,8.252,2,mirror
2005,156,China,9992524117,7.76,3,mirror
2005,276,Alemanha,7329632000,5.692,4,mirror
2005,484,México,5214245884,4.049,5,mirror
2005,392,Japão,4421122213,3.433,6,mirror
2005,152,Chile,3820295506,2.967,7,mirror
2005,826,Reino Unido,3665609068,2.847,8,mirror
2005,380,Itália,3577611204,2.778,9,mirror
2005,528,Países Baixos,3481947529,2.704,10,mirror
2006,842,EUA,24755775159,17.994,1,direct
2006,32,Argentina,11733140807,8.529,2,direct
2006,156,China,8398203752,6.104,3,direct
2006,276,Alemanha,5686504471,4.133,4,direct
2006,528,Países Baixos,5623657597,4.088,5,direct
2006,484,México,4455574846,3.239,6,direct
2006,152,Chile,3913046885,2.844,7,direct
2006,392,Japão,3893906584,2.83,8,direct
2006,380,Itália,3834803732,2.787,9,direct
2006,862,Venezuela,3558935861,2.587,10,direct
2006,842,EUA,28031247072,19.058,1,mirror
2006,156,China,12909495161,8.777,2,mirror
2006,32,Argentina,11871444027,8.071,3,mirror
2006,276,Alemanha,8913089000,6.06,4,mirror
2006,484,México,5557833434,3.779,5,mirror
2006,392,Japão,5084301374,3.457,6,mirror
2006,380,Itália,4325031791,2.941,7,mirror
2006,152,Chile,4279316703,2.909,8,mirror
2006,826,Reino Unido,4165948770,2.832,9,mirror
2006,528,Países Baixos,3734089304,2.539,10,mirror
2007,842,EUA,25321715879,15.844,1,direct
2007,32,Argentina,14409066223,9.016,2,direct
2007,156,China,10776728025,6.743,3,direct
2007,528,Países Baixos,8135147010,5.09,4,direct
2007,276,Alemanha,7208844559,4.511,5,direct
2007,862,Venezuela,4713634624,2.949,6,direct
2007,380,Itália,4462250255,2.792,7,direct
2007,392,Japão,4320341505,2.703,8,direct
2007,152,Chile,4263350795,2.668,9,direct
2007,484,México,4259402767,2.665,10,direct
2007,842,EUA,27193409748,15.457,1,mirror
2007,156,China,18342070986,10.426,2,mirror
2007,32,Argentina,14660265610,8.333,3,mirror
2007,276,Alemanha,11452766000,6.51,4,mirror
2007,392,Japão,5998114208,3.409,5,mirror
2007,484,México,5575281338,3.169,6,mirror
2007,528,Países Baixos,5459961460,3.104,7,mirror
2007,380,Itália,5185173583,2.947,8,mirror
