year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,10175264493,19.618,1,direct
2003,32,Argentina,4949242272,9.542,2,direct
2003,276,Alemanha,4368470447,8.422,3,direct
2003,392,Japão,2631008260,5.073,4,direct
2003,156,China,2326252397,4.485,5,direct
2003,251,França,1828877716,3.526,6,direct
2003,380,Itália,1794988962,3.461,7,direct
2003,566,Nigéria,1565147833,3.018,8,direct
2003,600,Paraguai,1521536104,2.934,9,direct
2003,826,Reino Unido,1248522401,2.407,10,direct
2003,842,EUA,11210932159,23.277,1,mirror
2003,32,Argentina,4663288569,9.682,2,mirror
2003,276,Alemanha,4620802000,9.594,3,mirror
2003,156,China,2143255914,4.45,4,mirror
2003,392,Japão,1880628976,3.905,5,mirror
2003,380,Itália,1798403952,3.734,6,mirror
2003,251,França,1692067284,3.513,7,mirror
2003,566,Nigéria,1636714233,3.398,8,mirror
2003,600,Paraguai,1470596213,3.053,9,mirror
2003,826,Reino Unido,1354761526,2.813,10,mirror
2004,842,EUA,12079317107,17.906,1,direct
2004,32,Argentina,5902965620,8.75,2,direct
2004,276,Alemanha,5284809107,7.834,3,direct
2004,156,China,4047080318,5.999,4,direct
2004,566,Nigéria,3567388109,5.288,5,direct
2004,392,Japão,3015244041,4.47,6,direct
2004,251,França,2365396307,3.506,7,direct
2004,380,Itália,2132051715,3.161,8,direct
2004,12,Argélia,2002002383,2.968,9,direct
2004,410,Coreia do Sul,1829877946,2.713,10,direct
2004,842,EUA,13886375322,23.063,1,mirror
2004,276,Alemanha,5775980000,9.593,2,mirror
2004,32,Argentina,5411829940,8.988,3,mirror
2004,156,China,3674104212,6.102,4,mirror
2004,392,Japão,2349334605,3.902,5,mirror
2004,251,França,2258777397,3.751,6,mirror
2004,380,Itália,2213695690,3.677,7,mirror
2004,12,Argélia,1785545785,2.965,8,mirror
2004,410,Coreia do Sul,1784642495,2.964,9,mirror
2004,826,Reino Unido,1451327269,2.41,10,mirror
2005,842,EUA,13419945117,17.052,1,direct
2005,32,Argentina,6596074116,8.381,2,direct
2005,276,Alemanha,6361684074,8.083,3,direct
2005,156,China,5820710702,7.396,4,direct
2005,392,Japão,3572488267,4.539,5,direct
2005,12,Argélia,2896309016,3.68,6,direct
2005,251,França,2775645038,3.527,7,direct
2005,566,Nigéria,2697941010,3.428,8,direct
2005,410,Coreia do Sul,2463470259,3.13,9,direct
2005,380,Itália,2368342706,3.009,10,direct
2005,842,EUA,15371577849,21.196,1,mirror
2005,276,Alemanha,6814719000,9.397,2,mirror
2005,32,Argentina,6328294321,8.726,3,mirror
2005,156,China,4827209396,6.656,4,mirror
2005,12,Argélia,2922292073,4.03,5,mirror
2005,251,França,2772820005,3.824,6,mirror
2005,392,Japão,2712565904,3.74,7,mirror
2005,380,Itália,2502128677,3.45,8,mirror
2005,410,Coreia do Sul,2410687075,3.324,9,mirror
2005,152,Chile,1853984381,2.557,10,mirror
