year,hs6,description_pt,value,share_pct,rank,basis
2003,120100,Soja,4286800347,5.891,1,direct
2003,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",2602370500,3.576,2,direct
2003,260111,Minério de ferro,2282178667,3.136,3,direct
2003,870323,Automóveis de passageiros,2222457612,3.054,4,direct
2003,270900,Petróleo bruto,2121931508,2.916,5,direct
2003,880230,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 2000kg but not exceeding 15,000kg",1879658372,2.583,6,direct
2003,470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",1684522073,2.315,7,direct
2003,170111,Açúcar de cana ou de beterraba,1350039100,1.855,8,direct
2003,090111,Café,1301563428,1.789,9,direct
2003,999999,Commodities not specified according to kind,1231888465,1.693,10,direct
2003,120100,Soja,5049637810,6.239,1,mirror
2003,260111,Minério de ferro,3875621871,4.788,2,mirror
2003,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",3061242818,3.782,3,mirror
2003,870323,Automóveis de passageiros,2335262747,2.885,4,mirror
2003,270900,Petróleo bruto,2050862180,2.534,5,mirror
2003,470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",1859176126,2.297,6,mirror
2003,170111,Açúcar de cana ou de beterraba,1534010424,1.895,7,mirror
2003,090111,Café,1518424529,1.876,8,mirror
2003,999999,Commodities not specified according to kind,1475994750,1.824,9,mirror
2003,260112,Minério de ferro,1314509766,1.624,10,mirror
2004,120100,Soja,5372628651,5.649,1,direct
2004,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",3263535664,3.431,2,direct
2004,260111,Minério de ferro,3042387419,3.199,3,direct
2004,270900,Petróleo bruto,2527656409,2.657,4,direct
2004,870323,Automóveis de passageiros,2488969168,2.617,5,direct
2004,880230,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 2000kg but not exceeding 15,000kg",2055074419,2.161,6,direct
2004,090111,Café,1748444933,1.838,7,direct
2004,260112,Minério de ferro,1716487798,1.805,8,direct
2004,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",1690091948,1.777,9,direct
2004,470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",1667336153,1.753,10,direct
2004,120100,Soja,6340885678,5.916,1,mirror
2004,260111,Minério de ferro,6278346824,5.858,2,mirror
2004,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",3733477811,3.483,3,mirror
2004,270900,Petróleo bruto,2700444964,2.52,4,mirror
2004,870323,Automóveis de passageiros,2545409805,2.375,5,mirror
2004,470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",2214635935,2.066,6,mirror
2004,260112,Minério de ferro,1992843103,1.859,7,mirror
2004,090111,Café,1906185828,1.779,8,mirror
2004,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",1593494988,1.487,9,mirror
2004,170111,Açúcar de cana ou de beterraba,1527106138,1.425,10,mirror
2005,120100,Soja,5311765923,4.479,1,direct
2005,260111,Minério de ferro,4434980083,3.74,2,direct
2005,270900,Petróleo bruto,4164752018,3.512,3,direct
2005,870323,Automóveis de passageiros,2872883733,2.422,4,direct
2005,260112,Minério de ferro,2861660019,2.413,5,direct
2005,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",2858742913,2.411,6,direct
2005,852520,852520,2552513099,2.152,7,direct
2005,090111,Café,2515420720,2.121,8,direct
2005,170111,Açúcar de cana ou de beterraba,2382020681,2.009,9,direct
2005,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",2225056727,1.876,10,direct
2005,260111,Minério de ferro,8894857796,6.908,1,mirror
2005,120100,Soja,6212263521,4.824,2,mirror
2005,270900,Petróleo bruto,4195737199,3.258,3,mirror
2005,230400,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",3263922661,2.535,4,mirror
2005,170111,Açúcar de cana ou de beterraba,3149110879,2.446,5,mirror
2005,870323,Automóveis de passageiros,3146016649,2.443,6,mirror
2005,260112,Minério de ferro,2817506479,2.188,7,mirror
2005,090111,Café,2678926825,2.08,8,mirror
2005,470329,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",2605924601,2.024,9,mirror
