year,hs6,description_pt,value,share_pct,rank,basis
2003,270900,Petróleo bruto,3907511781,7.534,1,direct
2003,100190,Trigo,1110985353,2.142,2,direct
2003,271019,Combustíveis refinados,1068667464,2.06,3,direct
2003,271600,Energia elétrica,1037316941,2.0,4,direct
2003,854221,Circuitos integrados,995002610,1.918,5,direct
2003,271011,Combustíveis refinados,858409350,1.655,6,direct
2003,852990,Partes de aparelhos de rádio e TV,733445209,1.414,7,direct
2003,310420,Fertilizantes potássicos,689281075,1.329,8,direct
2003,850239,Grupos geradores,641375662,1.237,9,direct
2003,847330,Partes de computadores,615189813,1.186,10,direct
2003,270900,Petróleo bruto,3012586503,6.255,1,mirror
2003,271600,Energia elétrica,1049600689,2.179,2,mirror
2003,852990,Partes de aparelhos de rádio e TV,963560302,2.001,3,mirror
2003,300490,Medicamentos,891813469,1.852,4,mirror
2003,847330,Partes de computadores,782291972,1.624,5,mirror
2003,271011,Combustíveis refinados,756792262,1.571,6,mirror
2003,841112,Turborreatores e turbinas a gás,614757185,1.276,7,mirror
2003,270112,Carvão mineral,543093039,1.128,8,mirror
2003,271121,Gás natural e outros gases de petróleo,433038160,0.899,9,mirror
2003,870323,Automóveis de passageiros,366659059,0.761,10,mirror
2004,270900,Petróleo bruto,6944930086,10.295,1,direct
2004,854221,Circuitos integrados,1330233135,1.972,2,direct
2004,852990,Partes de aparelhos de rádio e TV,1159203582,1.718,3,direct
2004,310420,Fertilizantes potássicos,1136010169,1.684,4,direct
2004,271019,Combustíveis refinados,1106725760,1.641,5,direct
2004,271011,Combustíveis refinados,1094784898,1.623,6,direct
2004,271600,Energia elétrica,1069197731,1.585,7,direct
2004,100190,Trigo,837375858,1.241,8,direct
2004,270119,Carvão mineral,788030879,1.168,9,direct
2004,847330,Partes de computadores,779787807,1.156,10,direct
2004,270900,Petróleo bruto,2277939973,3.783,1,mirror
2004,852990,Partes de aparelhos de rádio e TV,1633596746,2.713,2,mirror
2004,271600,Energia elétrica,1083462115,1.799,3,mirror
2004,847330,Partes de computadores,904993869,1.503,4,mirror
2004,300490,Medicamentos,862533958,1.433,5,mirror
2004,271011,Combustíveis refinados,751339711,1.248,6,mirror
2004,271121,Gás natural e outros gases de petróleo,605836526,1.006,7,mirror
2004,270112,Carvão mineral,549966692,0.913,8,mirror
2004,271019,Combustíveis refinados,482339260,0.801,9,mirror
2004,740311,Cobre refinado,436228448,0.724,10,mirror
2005,270900,Petróleo bruto,7838077462,9.959,1,direct
2005,854221,Circuitos integrados,1701347072,2.162,2,direct
2005,852990,Partes de aparelhos de rádio e TV,1573281149,1.999,3,direct
2005,271019,Combustíveis refinados,1521130609,1.933,4,direct
2005,271011,Combustíveis refinados,1495352681,1.9,5,direct
2005,271600,Energia elétrica,1224289840,1.556,6,direct
2005,270119,Carvão mineral,1181372928,1.501,7,direct
2005,310420,Fertilizantes potássicos,1081615392,1.374,8,direct
2005,271121,Gás natural e outros gases de petróleo,1005138719,1.277,9,direct
2005,847330,Partes de computadores,979798072,1.245,10,direct
2005,270900,Petróleo bruto,3653952849,5.039,1,mirror
2005,852990,Partes de aparelhos de rádio e TV,2544127025,3.508,2,mirror
2005,847330,Partes de computadores,1389184999,1.916,3,mirror
2005,271600,Energia elétrica,1257958158,1.735,4,mirror
2005,271011,Combustíveis refinados,1126234408,1.553,5,mirror
2005,300490,Medicamentos,1087669916,1.5,6,mirror
2005,271121,Gás natural e outros gases de petróleo,964497763,1.33,7,mirror
2005,271019,Combustíveis refinados,908616254,1.253,8,mirror
2005,270112,Carvão mineral,889379462,1.226,9,mirror
2005,740311,Cobre refinado,624371928,0.861,10,mirror
2006,270900,Petróleo bruto,9227109605,9.509,1,direct
2006,271019,Combustíveis refinados,2596972317,2.676,2,direct
2006,852990,Partes de aparelhos de rádio e TV,2273728729,2.343,3,direct
2006,854221,Circuitos integrados,2097713284,2.162,4,direct
2006,271011,Combustíveis refinados,1862376698,1.919,5,direct
2006,271121,Gás natural e outros gases de petróleo,1532202780,1.579,6,direct
2006,870323,Automóveis de passageiros,1388217489,1.431,7,direct
2006,271600,Energia elétrica,1352471349,1.394,8,direct
2006,847330,Partes de computadores,1316410204,1.357,9,direct
2006,300490,Medicamentos,1281107057,1.32,10,direct
2006,270900,Petróleo bruto,5710710191,6.216,1,mirror
2006,852990,Partes de aparelhos de rádio e TV,3287094077,3.578,2,mirror
2006,847330,Partes de computadores,1813518074,1.974,3,mirror
2006,271019,Combustíveis refinados,1566196183,1.705,4,mirror
2006,271121,Gás natural e outros gases de petróleo,1464540942,1.594,5,mirror
2006,271600,Energia elétrica,1354141376,1.474,6,mirror
2006,300490,Medicamentos,1344680010,1.464,7,mirror
2006,271011,Combustíveis refinados,1327105827,1.444,8,mirror
2006,870323,Automóveis de passageiros,1222594579,1.331,9,mirror
2006,740311,Cobre refinado,1220523620,1.328,10,mirror
2007,270900,Petróleo bruto,12177813740,9.506,1,direct
2007,271019,Combustíveis refinados,4104452928,3.204,2,direct
2007,870323,Automóveis de passageiros,2105834806,1.644,3,direct
2007,271011,Combustíveis refinados,2026707778,1.582,4,direct
2007,851770,Aparelhos de telecomunicações,1850775254,1.445,5,direct
2007,271121,Gás natural e outros gases de petróleo,1805710441,1.409,6,direct
2007,300490,Medicamentos,1719240498,1.342,7,direct
2007,310420,Fertilizantes potássicos,1660972219,1.297,8,direct
2007,740311,Cobre refinado,1631792047,1.274,9,direct
2007,271600,Energia elétrica,1599936552,1.249,10,direct
2007,270900,Petróleo bruto,7159776097,5.98,1,mirror
2007,271019,Combustíveis refinados,2457017743,2.052,2,mirror
2007,870323,Automóveis de passageiros,2254560249,1.883,3,mirror
2007,851770,Aparelhos de telecomunicações,1833922806,1.532,4,mirror
2007,271121,Gás natural e outros gases de petróleo,1683185195,1.406,5,mirror
2007,271011,Combustíveis refinados,1645478959,1.374,6,mirror
2007,300490,Medicamentos,1618663376,1.352,7,mirror
2007,271600,Energia elétrica,1567272199,1.309,8,mirror
2007,740311,Cobre refinado,1542445078,1.288,9,mirror
2007,852990,Partes de aparelhos de rádio e TV,1535608293,1.283,10,mirror
2008,270900,Petróleo bruto,16855785143,9.165,1,direct
2008,271019,Combustíveis refinados,7558004270,4.109,2,direct
2008,310420,Fertilizantes potássicos,4108024803,2.234,3,direct
2008,870323,Automóveis de passageiros,3346296902,1.819,4,direct
2008,271121,Gás natural e outros gases de petróleo,3144853799,1.71,5,direct
2008,270119,Carvão mineral,2582291992,1.404,6,direct
2008,851770,Aparelhos de telecomunicações,2460013020,1.338,7,direct
2008,271011,Combustíveis refinados,2451020480,1.333,8,direct
2008,100190,Trigo,2161562862,1.175,9,direct
2008,300490,Medicamentos,1988666047,1.081,10,direct
2008,270900,Petróleo bruto,12060363041,7.047,1,mirror
2008,271019,Combustíveis refinados,5422763335,3.169,2,mirror
2008,870323,Automóveis de passageiros,3486260637,2.037,3,mirror
2008,271121,Gás natural e outros gases de petróleo,2897035421,1.693,4,mirror
2008,851770,Aparelhos de telecomunicações,2766758425,1.617,5,mirror
2008,310420,Fertilizantes potássicos,2506342661,1.465,6,mirror
2008,270112,Carvão mineral,2381241312,1.391,7,mirror
2008,271011,Combustíveis refinados,1963511168,1.147,8,mirror
