year,basis,exports,imports,trade_volume,balance
2003,direct,72772250490,51866683099,124638933589,20905567391
2003,mirror,80938016740,48163351649,129101368389,32774665091
2004,direct,95115400894,67459080324,162574481218,27656320570
2004,mirror,107177051966,60211710681,167388762647,46965341285
2005,direct,118592084489,78702313940,197294398429,39889770549
2005,mirror,128767970822,72520242406,201288213228,56247728416
2006,direct,137574211351,97033998543,234608209894,40540212808
2006,mirror,147084580549,91873115128,238957695677,55211465421
2007,direct,159816180731,128110615840,287926796571,31705564891
2007,mirror,175925362363,119724274837,295649637200,56201087526
2008,direct,195764624177,183920682149,379685306326,11843942028
2008,mirror,221215418464,171130403607,392345822071,50085014857
2009,direct,151791674186,135377600478,287169274664,16414073708
2009,mirror,168311666291,126801533429,295113199720,41510132862
2010,direct,200433952776,193184261936,393618214712,7249690840
2010,mirror,215877545271,183078297634,398955842905,32799247637
2011,direct,253665436795,238706132375,492371569170,14959304420
2011,mirror,274316937146,227770417359,502087354505,46546519787
2012,direct,239952538158,235404475808,475357013966,4548062350
2012,mirror,263707277314,229690238176,493397515490,34017039138
2013,direct,232543660117,252281704523,484825364640,-19738044406
2013,mirror,248532914079,230127093253,478660007332,18405820826
2014,direct,220920757240,240763369929,461684127169,-19842612689
2014,mirror,235727827265,218931890251,454659717516,16795937014
2015,direct,186774916313,180457442154,367232358467,6317474159
2015,mirror,207032558920,159996013556,367028572476,47036545364
2016,direct,179526127510,145247873733,324774001243,34278253777
2016,mirror,201575292636,139585146553,341160439189,61990146083
2017,direct,214988108353,165855231418,380843339771,49132876935
2017,mirror,236414493087,162623895665,399038388752,73790597422
2018,direct,231889523399,192840115910,424729639309,39049407489
2018,mirror,258003966121,178177131127,436181097248,79826834994
2019,direct,221126807647,193162004038,414288811685,27964803609
2019,mirror,246617952946,179338616416,425956569362,67279336530
2020,direct,209180241655,166336211575,375516453230,42844030080
2020,mirror,237465534446,156586545064,394052079510,80878989382
2021,direct,280814577460,234690442199,515505019659,46124135261
2021,mirror,316591542950,220273155511,536864698461,96318387439
2022,direct,334463079195,292343725728,626806804923,42119353467
2022,mirror,369215081266,246106152839,615321234105,123108928427
2023,direct,339695766008,252710460140,592406226148,86985305868
2023,mirror,374483668669,225590382861,600074051530,148893285808
2024,direct,337036275422,277549212918,614585488340,59487062504
2024,mirror,361822489684,249247396292,611069885976,112575093392
