year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,384,Costa do Marfim,030342,Peixe congelado,251,França,32580333,66.838,1,0,48745282
2003,384,Costa do Marfim,030342,Peixe congelado,724,Espanha,7107412,14.581,2,0,48745282
2003,384,Costa do Marfim,030342,Peixe congelado,591,Panamá,3402969,6.981,3,0,48745282
2003,384,Costa do Marfim,030342,Peixe congelado,44,Bahamas,2211133,4.536,4,0,48745282
2003,384,Costa do Marfim,030342,Peixe congelado,288,Gana,1394263,2.86,5,0,48745282
2003,384,Costa do Marfim,030349,Peixe congelado,251,França,1800773,35.011,1,0,5143424
2003,384,Costa do Marfim,030349,Peixe congelado,724,Espanha,1442723,28.05,2,0,5143424
2003,384,Costa do Marfim,030349,Peixe congelado,288,Gana,1271770,24.726,3,0,5143424
2003,384,Costa do Marfim,030349,Peixe congelado,530,Netherlands Antilles (...2010),281022,5.464,4,0,5143424
2003,384,Costa do Marfim,030349,Peixe congelado,591,Panamá,166370,3.235,5,0,5143424
2003,384,Costa do Marfim,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",251,França,42597,53.332,1,0,79871
2003,384,Costa do Marfim,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",724,Espanha,26345,32.984,2,0,79871
2003,384,Costa do Marfim,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",218,Equador,3623,4.536,3,0,79871
2003,384,Costa do Marfim,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",392,Japão,1991,2.493,4,0,79871
2003,384,Costa do Marfim,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",422,Líbano,1859,2.328,5,0,79871
2003,384,Costa do Marfim,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",764,Tailândia,16247,63.164,1,0,25722
2003,384,Costa do Marfim,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",251,França,9149,35.569,2,0,25722
2003,384,Costa do Marfim,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",276,Alemanha,326,1.267,3,0,25722
2003,384,Costa do Marfim,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",251,França,473,63.575,1,0,744
2003,384,Costa do Marfim,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",899,"Areas, nes",271,36.425,2,0,744
2003,384,Costa do Marfim,271019,Combustíveis refinados,251,França,2955601,38.258,1,0,7725379
2003,384,Costa do Marfim,271019,Combustíveis refinados,276,Alemanha,2856488,36.975,2,0,7725379
2003,384,Costa do Marfim,271019,Combustíveis refinados,380,Itália,1757132,22.745,3,0,7725379
2003,384,Costa do Marfim,271019,Combustíveis refinados,528,Países Baixos,49910,0.646,4,0,7725379
2003,384,Costa do Marfim,271019,Combustíveis refinados,56,Bélgica,43558,0.564,5,0,7725379
2003,384,Costa do Marfim,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,251,França,2358472,97.42,1,0,2420943
2003,384,Costa do Marfim,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,178,Congo,25743,1.063,2,0,2420943
2003,384,Costa do Marfim,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,226,Guiné Equatorial,22589,0.933,3,0,2420943
2003,384,Costa do Marfim,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,686,Senegal,8632,0.357,4,0,2420943
2003,384,Costa do Marfim,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,458,Malásia,3188,0.132,5,0,2420943
2003,528,Países Baixos,030342,Peixe congelado,56,Bélgica,144797,45.23,1,0,320137
2003,528,Países Baixos,030342,Peixe congelado,360,Indonésia,75792,23.675,2,0,320137
2003,528,Países Baixos,030342,Peixe congelado,170,Colômbia,63349,19.788,3,0,320137
2003,528,Países Baixos,030342,Peixe congelado,490,Taiwan (Prov. China),33937,10.601,4,0,320137
2003,528,Países Baixos,030342,Peixe congelado,710,África do Sul,2262,0.707,5,0,320137
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",276,Alemanha,4804329,16.102,1,0,29837293
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",764,Tailândia,4317901,14.471,2,0,29837293
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",608,Filipinas,3080336,10.324,3,0,29837293
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",826,Reino Unido,3032825,10.165,4,0,29837293
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",462,Maldives,2702506,9.057,5,0,29837293
2003,528,Países Baixos,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",132,Cabo Verde,22625,0.076,17,1,29837293
2003,528,Países Baixos,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",208,Dinamarca,1134623,48.268,1,0,2350694
2003,528,Países Baixos,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",826,Reino Unido,662900,28.2,2,0,2350694
2003,528,Países Baixos,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",372,Irlanda,274889,11.694,3,0,2350694
2003,528,Países Baixos,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",276,Alemanha,204752,8.71,4,0,2350694
2003,528,Países Baixos,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",764,Tailândia,42987,1.829,5,0,2350694
2003,528,Países Baixos,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",276,Alemanha,30764901,66.696,1,0,46126988
2003,528,Países Baixos,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",56,Bélgica,5326957,11.548,2,0,46126988
2003,528,Países Baixos,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",208,Dinamarca,3212690,6.965,3,0,46126988
2003,528,Países Baixos,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",380,Itália,2871059,6.224,4,0,46126988
2003,528,Países Baixos,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",251,França,1287338,2.791,5,0,46126988
2003,528,Países Baixos,271019,Combustíveis refinados,643,Rússia,1239541816,41.919,1,0,2957004091
2003,528,Países Baixos,271019,Combustíveis refinados,56,Bélgica,767648545,25.96,2,0,2957004091
2003,528,Países Baixos,271019,Combustíveis refinados,251,França,233207365,7.887,3,0,2957004091
2003,528,Países Baixos,271019,Combustíveis refinados,826,Reino Unido,202966222,6.864,4,0,2957004091
2003,528,Países Baixos,271019,Combustíveis refinados,276,Alemanha,144379877,4.883,5,0,2957004091
2003,528,Países Baixos,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,276,Alemanha,5295283,18.092,1,0,29268288
2003,528,Países Baixos,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,616,Polónia,5014738,17.134,2,0,29268288
2003,528,Países Baixos,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,56,Bélgica,4269258,14.587,3,0,29268288
2003,528,Países Baixos,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,842,EUA,2770380,9.465,4,0,29268288
2003,528,Países Baixos,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,203,Chéquia,1782817,6.091,5,0,29268288
2003,620,Portugal,030342,Peixe congelado,724,Espanha,2009442,61.283,1,0,3278964
2003,620,Portugal,030342,Peixe congelado,288,Gana,593474,18.099,2,0,3278964
2003,620,Portugal,030342,Peixe congelado,757,Suíça,237686,7.249,3,0,3278964
2003,620,Portugal,030342,Peixe congelado,251,França,131633,4.014,4,0,3278964
2003,620,Portugal,030342,Peixe congelado,591,Panamá,87095,2.656,5,0,3278964
2003,620,Portugal,030349,Peixe congelado,724,Espanha,290891,69.233,1,0,420165
2003,620,Portugal,030349,Peixe congelado,208,Dinamarca,124212,29.563,2,0,420165
2003,620,Portugal,030349,Peixe congelado,768,Togo,5062,1.205,3,0,420165
2003,620,Portugal,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",724,Espanha,16025716,59.147,1,0,27094619
2003,620,Portugal,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",218,Equador,6448159,23.799,2,0,27094619
2003,620,Portugal,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",276,Alemanha,2016674,7.443,3,0,27094619
2003,620,Portugal,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",288,Gana,1317985,4.864,4,0,27094619
2003,620,Portugal,160414,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)",170,Colômbia,395351,1.459,5,0,27094619
2003,620,Portugal,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",724,Espanha,397909,87.956,1,0,452397
2003,620,Portugal,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",380,Itália,52926,11.699,2,0,452397
2003,620,Portugal,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",276,Alemanha,1411,0.312,3,0,452397
2003,620,Portugal,160415,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)",251,França,151,0.033,4,0,452397
2003,620,Portugal,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",724,Espanha,7182677,73.638,1,0,9754033
2003,620,Portugal,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",276,Alemanha,1743438,17.874,2,0,9754033
2003,620,Portugal,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",710,África do Sul,686039,7.033,3,0,9754033
2003,620,Portugal,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",188,Costa Rica,75266,0.772,4,0,9754033
2003,620,Portugal,160419,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604",251,França,31819,0.326,5,0,9754033
2003,620,Portugal,271019,Combustíveis refinados,724,Espanha,112577666,18.2,1,0,618557511
2003,620,Portugal,271019,Combustíveis refinados,643,Rússia,89097978,14.404,2,0,618557511
2003,620,Portugal,271019,Combustíveis refinados,528,Países Baixos,74210351,11.997,3,0,618557511
2003,620,Portugal,271019,Combustíveis refinados,826,Reino Unido,63864047,10.325,4,0,618557511
