year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",392,Japão,231090976,21.174,1,0,1091410204
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",528,Países Baixos,153567056,14.071,2,0,1091410204
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",276,Alemanha,150454425,13.785,3,0,1091410204
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",344,Hong Kong (RAEHK),113082848,10.361,4,0,1091410204
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",643,Rússia,69312786,6.351,5,0,1091410204
2003,76,Brasil,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",132,Cabo Verde,528612,0.048,58,1,1091410204
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",12,Argélia,1531950,33.419,1,0,4584079
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",152,Chile,1083000,23.625,2,0,4584079
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",554,Nova Zelândia,382832,8.351,3,0,4584079
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",784,Emirados Árabes Unidos,330000,7.199,4,0,4584079
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",24,Angola,268270,5.852,5,0,4584079
2003,76,Brasil,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",132,Cabo Verde,1641,0.036,17,1,4584079
2003,76,Brasil,100630,Arroz,554,Nova Zelândia,886662,31.773,1,0,2790645
2003,76,Brasil,100630,Arroz,780,Trinidad and Tobago,599809,21.494,2,0,2790645
2003,76,Brasil,100630,Arroz,36,Austrália,343163,12.297,3,0,2790645
2003,76,Brasil,100630,Arroz,842,EUA,176031,6.308,4,0,2790645
2003,76,Brasil,100630,Arroz,68,Bolívia,175146,6.276,5,0,2790645
2003,76,Brasil,220300,Cerveja,600,Paraguai,5879311,46.723,1,0,12583396
2003,76,Brasil,220300,Cerveja,124,Canadá,4888896,38.852,2,0,12583396
2003,76,Brasil,220300,Cerveja,842,EUA,203188,1.615,3,0,12583396
2003,76,Brasil,220300,Cerveja,156,China,189536,1.506,4,0,12583396
2003,76,Brasil,220300,Cerveja,858,Uruguai,161193,1.281,5,0,12583396
2003,76,Brasil,220300,Cerveja,132,Cabo Verde,11971,0.095,20,1,12583396
2003,76,Brasil,252329,"Cement; portland, other than white, whether or not artificially coloured",842,EUA,4973904,51.032,1,0,9746605
2003,76,Brasil,252329,"Cement; portland, other than white, whether or not artificially coloured",600,Paraguai,3334255,34.209,2,0,9746605
2003,76,Brasil,252329,"Cement; portland, other than white, whether or not artificially coloured",566,Nigéria,788513,8.09,3,0,9746605
2003,76,Brasil,252329,"Cement; portland, other than white, whether or not artificially coloured",170,Colômbia,314460,3.226,4,0,9746605
2003,76,Brasil,252329,"Cement; portland, other than white, whether or not artificially coloured",68,Bolívia,197200,2.023,5,0,9746605
2003,76,Brasil,271019,Combustíveis refinados,842,EUA,846590102,80.582,1,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,702,Singapura,101067768,9.62,2,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,566,Nigéria,18166522,1.729,3,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,32,Argentina,16567133,1.577,4,0,1050592017
2003,76,Brasil,271019,Combustíveis refinados,376,Israel,16510302,1.572,5,0,1050592017
2003,76,Brasil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,32,Argentina,41455,30.633,1,0,135328
2003,76,Brasil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,862,Venezuela,34665,25.616,2,0,135328
2003,76,Brasil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,842,EUA,19236,14.214,3,0,135328
2003,76,Brasil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,214,República Dominicana,13113,9.69,4,0,135328
2003,76,Brasil,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,600,Paraguai,9374,6.927,5,0,135328
2003,156,China,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",392,Japão,104048689,41.674,1,0,249673846
2003,156,China,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",682,Arábia Saudita,47345278,18.963,2,0,249673846
2003,156,China,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",643,Rússia,23663822,9.478,3,0,249673846
2003,156,China,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",344,Hong Kong (RAEHK),16327030,6.539,4,0,249673846
2003,156,China,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",710,África do Sul,10524432,4.215,5,0,249673846
