year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",528,Países Baixos,2845297,72.405,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",76,Brasil,559537,14.239,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",56,Bélgica,220353,5.607,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",842,EUA,149790,3.812,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",620,Portugal,75208,1.914,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",724,Espanha,36014,0.916,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",380,Itália,27934,0.711,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",44,Bahamas,10439,0.266,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",276,Alemanha,793539,42.722,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",528,Países Baixos,625854,33.694,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",620,Portugal,384992,20.727,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",710,África do Sul,28139,1.515,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",56,Bélgica,14275,0.769,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",724,Espanha,6604,0.356,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",380,Itália,3548,0.191,direct
2003,040120,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%",76,Brasil,502,0.027,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",56,Bélgica,4493256,72.645,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",276,Alemanha,668267,10.804,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",528,Países Baixos,512355,8.284,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",620,Portugal,191322,3.093,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",826,Reino Unido,147944,2.392,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",76,Brasil,79956,1.293,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",32,Argentina,43100,0.697,direct
2003,040221,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",686,Senegal,34999,0.566,direct
2003,100590,"Cereals; maize (corn), other than seed",842,EUA,4438958,68.02,direct
2003,100590,"Cereals; maize (corn), other than seed",710,África do Sul,1682395,25.78,direct
2003,100590,"Cereals; maize (corn), other than seed",76,Brasil,241600,3.702,direct
2003,100590,"Cereals; maize (corn), other than seed",620,Portugal,91954,1.409,direct
2003,100590,"Cereals; maize (corn), other than seed",251,França,46792,0.717,direct
2003,100590,"Cereals; maize (corn), other than seed",56,Bélgica,22140,0.339,direct
2003,100590,"Cereals; maize (corn), other than seed",380,Itália,1733,0.027,direct
2003,100590,"Cereals; maize (corn), other than seed",616,Polónia,390,0.006,direct
2003,100630,Arroz,764,Tailândia,3630960,43.337,direct
2003,100630,Arroz,704,Vietname,2196185,26.212,direct
2003,100630,Arroz,392,Japão,959008,11.446,direct
2003,100630,Arroz,842,EUA,895173,10.684,direct
2003,100630,Arroz,156,China,405635,4.841,direct
2003,100630,Arroz,724,Espanha,232115,2.77,direct
2003,100630,Arroz,56,Bélgica,34640,0.413,direct
2003,100630,Arroz,620,Portugal,15956,0.19,direct
2003,150790,Óleo de soja,620,Portugal,3154209,72.769,direct
2003,150790,Óleo de soja,56,Bélgica,848996,19.587,direct
2003,150790,Óleo de soja,528,Países Baixos,152251,3.512,direct
2003,150790,Óleo de soja,76,Brasil,143340,3.307,direct
2003,150790,Óleo de soja,44,Bahamas,16049,0.37,direct
2003,150790,Óleo de soja,842,EUA,9906,0.229,direct
2003,150790,Óleo de soja,380,Itália,7414,0.171,direct
2003,150790,Óleo de soja,724,Espanha,2143,0.049,direct
2003,170199,Açúcar de cana ou de beterraba,528,Países Baixos,931310,35.318,direct
2003,170199,Açúcar de cana ou de beterraba,56,Bélgica,603940,22.903,direct
2003,170199,Açúcar de cana ou de beterraba,251,França,530465,20.117,direct
2003,170199,Açúcar de cana ou de beterraba,76,Brasil,208734,7.916,direct
2003,170199,Açúcar de cana ou de beterraba,826,Reino Unido,160076,6.071,direct
2003,170199,Açúcar de cana ou de beterraba,724,Espanha,144735,5.489,direct
2003,170199,Açúcar de cana ou de beterraba,620,Portugal,54678,2.074,direct
2003,170199,Açúcar de cana ou de beterraba,276,Alemanha,2646,0.1,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,899,"Areas, nes",1154053,29.217,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,76,Brasil,797394,20.187,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,470,Malta,653788,16.552,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,842,EUA,443997,11.241,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,620,Portugal,358986,9.088,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,152,Chile,117539,2.976,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,528,Países Baixos,110966,2.809,direct
2003,210690,Food preparations; n.e.c. in item no. 2106.10,208,Dinamarca,99399,2.516,direct
2003,220300,Cerveja,620,Portugal,7613554,97.776,direct
2003,220300,Cerveja,528,Países Baixos,136582,1.754,direct
2003,220300,Cerveja,276,Alemanha,14603,0.188,direct
2003,220300,Cerveja,76,Brasil,11014,0.141,direct
2003,220300,Cerveja,899,"Areas, nes",7742,0.099,direct
2003,220300,Cerveja,724,Espanha,2379,0.031,direct
2003,220300,Cerveja,380,Itália,749,0.01,direct
2003,220300,Cerveja,56,Bélgica,133,0.002,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",792,Turquia,6429865,49.088,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",620,Portugal,2910681,22.221,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",642,Roménia,1256599,9.593,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",818,Egito,1054315,8.049,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",528,Países Baixos,486606,3.715,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",724,Espanha,377034,2.878,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",380,Itália,297653,2.272,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",504,Marrocos,169961,1.298,direct
2003,271000,Combustíveis refinados,620,Portugal,9660082,27.605,direct
2003,271000,Combustíveis refinados,528,Países Baixos,7712152,22.039,direct
2003,271000,Combustíveis refinados,384,Costa do Marfim,7035415,20.105,direct
2003,271000,Combustíveis refinados,686,Senegal,3100270,8.86,direct
2003,271000,Combustíveis refinados,56,Bélgica,1505214,4.301,direct
2003,271000,Combustíveis refinados,380,Itália,1343303,3.839,direct
2003,271000,Combustíveis refinados,724,Espanha,1289866,3.686,direct
2003,271000,Combustíveis refinados,414,Kuwait,1062858,3.037,direct
2003,271113,Gás natural e outros gases de petróleo,251,França,6000132,56.257,direct
2003,271113,Gás natural e outros gases de petróleo,842,EUA,1676088,15.715,direct
2003,271113,Gás natural e outros gases de petróleo,180,RD Congo,1136302,10.654,direct
2003,271113,Gás natural e outros gases de petróleo,826,Reino Unido,889646,8.341,direct
2003,271113,Gás natural e outros gases de petróleo,430,Liberia,416617,3.906,direct
2003,271113,Gás natural e outros gases de petróleo,384,Costa do Marfim,271513,2.546,direct
2003,271113,Gás natural e outros gases de petróleo,780,Trinidad and Tobago,265320,2.488,direct
2003,271113,Gás natural e outros gases de petróleo,276,Alemanha,5784,0.054,direct
2003,300490,Medicamentos,620,Portugal,3707942,98.158,direct
2003,300490,Medicamentos,276,Alemanha,26314,0.697,direct
2003,300490,Medicamentos,826,Reino Unido,25903,0.686,direct
2003,300490,Medicamentos,100,Bulgária,6020,0.159,direct
2003,300490,Medicamentos,156,China,3753,0.099,direct
2003,300490,Medicamentos,56,Bélgica,3097,0.082,direct
2003,300490,Medicamentos,686,Senegal,2000,0.053,direct
2003,300490,Medicamentos,76,Brasil,1774,0.047,direct
2003,630900,"Clothing; worn, and other worn articles",899,"Areas, nes",1884504,78.355,direct
2003,630900,"Clothing; worn, and other worn articles",842,EUA,400507,16.653,direct
2003,630900,"Clothing; worn, and other worn articles",620,Portugal,45162,1.878,direct
2003,630900,"Clothing; worn, and other worn articles",276,Alemanha,29236,1.216,direct
2003,630900,"Clothing; worn, and other worn articles",528,Países Baixos,9055,0.376,direct
2003,630900,"Clothing; worn, and other worn articles",251,França,8675,0.361,direct
2003,630900,"Clothing; worn, and other worn articles",530,Netherlands Antilles (...2010),7178,0.298,direct
2003,630900,"Clothing; worn, and other worn articles",380,Itália,6737,0.28,direct
2003,690890,690890,620,Portugal,3527859,77.918,direct
2003,690890,690890,76,Brasil,543314,12.0,direct
2003,690890,690890,724,Espanha,278784,6.157,direct
2003,690890,690890,380,Itália,138090,3.05,direct
2003,690890,690890,842,EUA,11024,0.243,direct
2003,690890,690890,156,China,9783,0.216,direct
2003,690890,690890,56,Bélgica,7250,0.16,direct
2003,690890,690890,528,Países Baixos,5127,0.113,direct
2003,721420,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",792,Turquia,825185,32.481,direct
2003,721420,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",620,Portugal,729026,28.696,direct
2003,721420,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",76,Brasil,435999,17.162,direct
