year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,160414,Peixe preparado ou conservado,842,EUA,36074,62.936,direct
2003,160414,Peixe preparado ou conservado,528,Países Baixos,21245,37.064,direct
2003,160419,Peixe preparado ou conservado,842,EUA,12585,51.424,direct
2003,160419,Peixe preparado ou conservado,324,Guinea,11888,48.576,direct
2003,610711,Roupa interior de malha (homem),620,Portugal,1844529,100.0,direct
2003,610910,T-shirts e camisetas de malha,620,Portugal,595135,100.0,direct
2003,620342,Calças e fatos (homem),620,Portugal,707878,94.688,direct
2003,620342,Calças e fatos (homem),372,Irlanda,39713,5.312,direct
2003,640610,Partes de calçado,620,Portugal,3849088,100.0,direct
2003,840999,Partes de motores,620,Portugal,61634,100.0,direct
2003,160414,Peixe preparado ou conservado,842,EUA,59796,72.549,mirror
2003,160414,Peixe preparado ou conservado,528,Países Baixos,22625,27.451,mirror
2003,160419,Peixe preparado ou conservado,842,EUA,4312,100.0,mirror
2003,610711,Roupa interior de malha (homem),620,Portugal,1950585,100.0,mirror
2003,610910,T-shirts e camisetas de malha,620,Portugal,616026,99.989,mirror
2003,610910,T-shirts e camisetas de malha,422,Líbano,68,0.011,mirror
2003,620342,Calças e fatos (homem),620,Portugal,942563,99.447,mirror
2003,620342,Calças e fatos (homem),858,Uruguai,5244,0.553,mirror
2003,640610,Partes de calçado,620,Portugal,3691902,100.0,mirror
2003,840999,Partes de motores,528,Países Baixos,5656,52.968,mirror
2003,840999,Partes de motores,620,Portugal,2893,27.093,mirror
2003,840999,Partes de motores,724,Espanha,2129,19.939,mirror
2003,860900,Contentores de transporte,757,Suíça,2601,100.0,mirror
2003,901580,Instrumentos de topografia,620,Portugal,11330,100.0,mirror
2004,030349,Peixe congelado,620,Portugal,6952,100.0,direct
2004,030379,Peixe congelado,620,Portugal,272176,99.051,direct
2004,030379,Peixe congelado,899,"Areas, nes",2607,0.949,direct
2004,160414,Peixe preparado ou conservado,842,EUA,47466,60.112,direct
2004,160414,Peixe preparado ou conservado,620,Portugal,30899,39.131,direct
2004,160414,Peixe preparado ou conservado,251,França,598,0.757,direct
2004,160415,Peixe preparado ou conservado,251,França,339,100.0,direct
