year,partner_code,partner,value,share_pct,rank,basis
2003,620,Portugal,9245203,74.184,1,direct
2003,842,EUA,2657044,21.32,2,direct
2003,276,Alemanha,128700,1.033,3,direct
2003,372,Irlanda,107690,0.864,4,direct
2003,899,"Areas, nes",97924,0.786,5,direct
2003,478,Mauritânia,83176,0.667,6,direct
2003,686,Senegal,41998,0.337,7,direct
2003,528,Países Baixos,37150,0.298,8,direct
2003,392,Japão,16408,0.132,9,direct
2003,76,Brasil,14512,0.116,10,direct
2003,620,Portugal,9892098,47.831,1,mirror
2003,842,EUA,5958602,28.811,2,mirror
2003,826,Reino Unido,1672805,8.088,3,mirror
2003,276,Alemanha,615000,2.974,4,mirror
2003,208,Dinamarca,415597,2.01,5,mirror
2003,214,República Dominicana,349953,1.692,6,mirror
2003,360,Indonésia,295045,1.427,7,mirror
2003,192,Cuba,209757,1.014,8,mirror
2003,528,Países Baixos,175340,0.848,9,mirror
2003,251,França,174170,0.842,10,mirror
2004,620,Portugal,12188106,80.2,1,direct
2004,842,EUA,2682864,17.654,2,direct
2004,324,Guinea,63355,0.417,3,direct
2004,899,"Areas, nes",54180,0.357,4,direct
2004,724,Espanha,52589,0.346,5,direct
2004,686,Senegal,35763,0.235,6,direct
2004,528,Países Baixos,22999,0.151,7,direct
2004,276,Alemanha,22277,0.147,8,direct
2004,76,Brasil,18745,0.123,9,direct
2004,624,Guiné-Bissau,16928,0.111,10,direct
2004,620,Portugal,13468093,61.214,1,mirror
2004,842,EUA,4007310,18.214,2,mirror
2004,826,Reino Unido,1543950,7.017,3,mirror
2004,208,Dinamarca,580211,2.637,4,mirror
2004,276,Alemanha,390000,1.773,5,mirror
2004,643,Rússia,347280,1.578,6,mirror
2004,152,Chile,208615,0.948,7,mirror
2004,340,Honduras,183178,0.833,8,mirror
2004,251,França,159224,0.724,9,mirror
2004,214,República Dominicana,145049,0.659,10,mirror
2005,620,Portugal,20489771,22.914,1,direct
2005,384,Costa do Marfim,11908028,13.317,2,direct
2005,528,Países Baixos,9239473,10.333,3,direct
2005,686,Senegal,8649537,9.673,4,direct
2005,724,Espanha,7288583,8.151,5,direct
2005,276,Alemanha,6978016,7.804,6,direct
2005,842,EUA,5327921,5.958,7,direct
2005,682,Arábia Saudita,4636200,5.185,8,direct
2005,504,Marrocos,2783030,3.112,9,direct
2005,434,Libya,2643399,2.956,10,direct
2005,724,Espanha,11072629,37.184,1,mirror
2005,620,Portugal,9226730,30.985,2,mirror
2005,842,EUA,2808754,9.432,3,mirror
2005,504,Marrocos,1529099,5.135,4,mirror
2005,826,Reino Unido,1444906,4.852,5,mirror
2005,324,Guinea,892510,2.997,6,mirror
2005,276,Alemanha,770000,2.586,7,mirror
2005,380,Itália,385700,1.295,8,mirror
2005,528,Países Baixos,257336,0.864,9,mirror
2005,251,França,197839,0.664,10,mirror
2006,384,Costa do Marfim,29103241,26.389,1,direct
2006,620,Portugal,19288070,17.489,2,direct
2006,528,Países Baixos,12999824,11.787,3,direct
2006,826,Reino Unido,10158599,9.211,4,direct
2006,724,Espanha,9586701,8.693,5,direct
2006,380,Itália,4785705,4.339,6,direct
2006,276,Alemanha,3837449,3.48,7,direct
2006,686,Senegal,2958189,2.682,8,direct
2006,752,Suécia,2416500,2.191,9,direct
2006,899,"Areas, nes",2236237,2.028,10,direct
2006,724,Espanha,18098518,35.939,1,mirror
2006,620,Portugal,8850299,17.574,2,mirror
2006,528,Países Baixos,5350575,10.625,3,mirror
2006,276,Alemanha,5104000,10.135,4,mirror
2006,504,Marrocos,3869203,7.683,5,mirror
2006,566,Nigéria,2957197,5.872,6,mirror
2006,842,EUA,1001604,1.989,7,mirror
2006,757,Suíça,927770,1.842,8,mirror
2006,60,Bermuda,841618,1.671,9,mirror
2006,300,Grécia,681867,1.354,10,mirror
2007,384,Costa do Marfim,35186651,30.651,1,direct
2007,620,Portugal,24819860,21.62,2,direct
2007,528,Países Baixos,17430415,15.184,3,direct
2007,724,Espanha,10526838,9.17,4,direct
2007,251,França,4702811,4.097,5,direct
2007,899,"Areas, nes",4345779,3.786,6,direct
2007,276,Alemanha,4252903,3.705,7,direct
2007,380,Itália,3527696,3.073,8,direct
2007,826,Reino Unido,2145471,1.869,9,direct
2007,504,Marrocos,1379422,1.202,10,direct
2007,724,Espanha,13624950,33.756,1,mirror
2007,620,Portugal,9813709,24.313,2,mirror
2007,566,Nigéria,3247709,8.046,3,mirror
2007,504,Marrocos,3206335,7.944,4,mirror
2007,24,Angola,2358270,5.843,5,mirror
2007,842,EUA,2243713,5.559,6,mirror
2007,392,Japão,1401070,3.471,7,mirror
2007,380,Itália,753311,1.866,8,mirror
2007,222,El Salvador,495954,1.229,9,mirror
2007,56,Bélgica,339321,0.841,10,mirror
2008,724,Espanha,22375696,43.097,1,mirror
2008,620,Portugal,13128341,25.286,2,mirror
2008,384,Costa do Marfim,7830132,15.081,3,mirror
2008,276,Alemanha,1424233,2.743,4,mirror
2008,702,Singapura,1019132,1.963,5,mirror
2008,528,Países Baixos,698433,1.345,6,mirror
2008,504,Marrocos,580015,1.117,7,mirror
2008,826,Reino Unido,556150,1.071,8,mirror
2008,686,Senegal,464848,0.895,9,mirror
2008,842,EUA,462840,0.891,10,mirror
2009,899,"Areas, nes",51272659,29.931,1,direct
2009,724,Espanha,31942434,18.647,2,direct
2009,620,Portugal,30743959,17.947,3,direct
2009,528,Países Baixos,22781509,13.299,4,direct
2009,276,Alemanha,9696806,5.661,5,direct
2009,251,França,8592896,5.016,6,direct
2009,300,Grécia,8420248,4.915,7,direct
2009,384,Costa do Marfim,3183716,1.859,8,direct
2009,124,Canadá,1142152,0.667,9,direct
2009,156,China,728690,0.425,10,direct
2009,724,Espanha,25097276,47.297,1,mirror
2009,620,Portugal,10105478,19.044,2,mirror
2009,178,Congo,6106072,11.507,3,mirror
2009,222,El Salvador,2216434,4.177,4,mirror
2009,276,Alemanha,1681616,3.169,5,mirror
2009,12,Argélia,1625296,3.063,6,mirror
2009,372,Irlanda,1157311,2.181,7,mirror
2009,24,Angola,1137819,2.144,8,mirror
2009,842,EUA,837501,1.578,9,mirror
2009,686,Senegal,351526,0.662,10,mirror
2010,724,Espanha,70949729,32.224,1,direct
2010,620,Portugal,53698613,24.389,2,direct
2010,899,"Areas, nes",43003299,19.531,3,direct
2010,528,Países Baixos,39053199,17.737,4,direct
2010,276,Alemanha,3584030,1.628,5,direct
2010,826,Reino Unido,1958247,0.889,6,direct
2010,156,China,1853631,0.842,7,direct
2010,76,Brasil,1049256,0.477,8,direct
2010,842,EUA,895469,0.407,9,direct
2010,624,Guiné-Bissau,862819,0.392,10,direct
2010,724,Espanha,38469996,60.225,1,mirror
2010,620,Portugal,9902968,15.503,2,mirror
2010,178,Congo,5781162,9.05,3,mirror
2010,699,Índia,1563830,2.448,4,mirror
2010,842,EUA,1482020,2.32,5,mirror
2010,24,Angola,936686,1.466,6,mirror
2010,222,El Salvador,906847,1.42,7,mirror
2010,410,Coreia do Sul,691068,1.082,8,mirror
2010,442,Luxemburgo,597765,0.936,9,mirror
2010,616,Polónia,402406,0.63,10,mirror
2011,899,"Areas, nes",97113348,31.762,1,direct
2011,620,Portugal,63964805,20.92,2,direct
2011,724,Espanha,60229028,19.698,3,direct
2011,276,Alemanha,41527458,13.582,4,direct
2011,528,Países Baixos,25451726,8.324,5,direct
2011,288,Gana,5478738,1.792,6,direct
2011,251,França,3023866,0.989,7,direct
2011,222,El Salvador,2398673,0.785,8,direct
2011,826,Reino Unido,1169017,0.382,9,direct
2011,124,Canadá,870025,0.285,10,direct
2011,724,Espanha,48129102,63.116,1,mirror
2011,620,Portugal,13884565,18.208,2,mirror
