year,partner_code,partner,value,share_pct,rank,basis
2003,620,Portugal,153506423,43.262,1,direct
2003,528,Países Baixos,31978246,9.012,2,direct
2003,392,Japão,19691630,5.55,3,direct
2003,842,EUA,15058141,4.244,4,direct
2003,56,Bélgica,13371347,3.768,5,direct
2003,251,França,11839768,3.337,6,direct
2003,76,Brasil,11337616,3.195,7,direct
2003,276,Alemanha,10551932,2.974,8,direct
2003,792,Turquia,9816220,2.766,9,direct
2003,724,Espanha,9764290,2.752,10,direct
2003,620,Portugal,154975704,51.282,1,mirror
2003,528,Países Baixos,28842379,9.544,2,mirror
2003,56,Bélgica,13043741,4.316,3,mirror
2003,724,Espanha,12252345,4.054,4,mirror
2003,380,Itália,10527802,3.484,5,mirror
2003,826,Reino Unido,9807117,3.245,6,mirror
2003,842,EUA,9119074,3.018,7,mirror
2003,76,Brasil,8947241,2.961,8,mirror
2003,251,França,7252973,2.4,9,mirror
2003,276,Alemanha,7239000,2.395,10,mirror
2004,620,Portugal,163230866,38.028,1,direct
2004,842,EUA,59185785,13.789,2,direct
2004,528,Países Baixos,32552690,7.584,3,direct
2004,76,Brasil,21415666,4.989,4,direct
2004,724,Espanha,16725287,3.897,5,direct
2004,392,Japão,16622618,3.873,6,direct
2004,56,Bélgica,15522681,3.616,7,direct
2004,380,Itália,14201364,3.309,8,direct
2004,276,Alemanha,10860911,2.53,9,direct
2004,251,França,10662787,2.484,10,direct
2004,620,Portugal,173472488,45.373,1,mirror
2004,842,EUA,50969205,13.331,2,mirror
2004,528,Países Baixos,34216465,8.95,3,mirror
2004,724,Espanha,20566796,5.379,4,mirror
2004,380,Itália,17383005,4.547,5,mirror
2004,76,Brasil,16679871,4.363,6,mirror
2004,56,Bélgica,13493335,3.529,7,mirror
2004,251,França,9518994,2.49,8,mirror
2004,276,Alemanha,7340000,1.92,9,mirror
2004,392,Japão,6017205,1.574,10,mirror
2005,620,Portugal,177237735,40.449,1,direct
2005,528,Países Baixos,38017268,8.676,2,direct
2005,76,Brasil,36993288,8.443,3,direct
2005,724,Espanha,30743265,7.016,4,direct
2005,842,EUA,19484948,4.447,5,direct
2005,380,Itália,18675960,4.262,6,direct
2005,56,Bélgica,16572847,3.782,7,direct
2005,392,Japão,13871025,3.166,8,direct
2005,276,Alemanha,10859920,2.478,9,direct
2005,251,França,9914450,2.263,10,direct
2005,620,Portugal,184798876,45.086,1,mirror
2005,380,Itália,35820642,8.739,2,mirror
2005,528,Países Baixos,31939871,7.792,3,mirror
2005,724,Espanha,25866876,6.311,4,mirror
2005,76,Brasil,23972150,5.849,5,mirror
2005,56,Bélgica,21396168,5.22,6,mirror
2005,251,França,11172051,2.726,7,mirror
2005,384,Costa do Marfim,10288784,2.51,8,mirror
2005,842,EUA,9871825,2.408,9,mirror
2005,826,Reino Unido,7895294,1.926,10,mirror
2006,620,Portugal,236126899,43.874,1,direct
2006,528,Países Baixos,49152958,9.133,2,direct
2006,76,Brasil,34707146,6.449,3,direct
2006,724,Espanha,31877439,5.923,4,direct
2006,380,Itália,28926537,5.375,5,direct
2006,392,Japão,21295540,3.957,6,direct
2006,56,Bélgica,17038282,3.166,7,direct
2006,251,França,14672007,2.726,8,direct
2006,826,Reino Unido,13178384,2.449,9,direct
2006,276,Alemanha,13118858,2.438,10,direct
2006,620,Portugal,237999460,43.595,1,mirror
