year,hs6,description_pt,value,share_pct,rank,basis
2003,640610,Partes de calçado,3849088,30.885,1,direct
2003,610711,Roupa interior de malha (homem),1844529,14.801,2,direct
2003,620423,"Calças, conjuntos e casacos (mulher)",1594396,12.793,3,direct
2003,620520,Camisas (homem),1093895,8.777,4,direct
2003,620342,Calças e fatos (homem),747591,5.999,5,direct
2003,060290,Plantas vivas,735559,5.902,6,direct
2003,610910,T-shirts e camisetas de malha,595135,4.775,7,direct
2003,030621,Crustáceos,402547,3.23,8,direct
2003,620349,Calças e fatos (homem),340114,2.729,9,direct
2003,620433,"Calças, conjuntos e casacos (mulher)",191758,1.539,10,direct
2003,640610,Partes de calçado,3691902,17.851,1,mirror
2003,610711,Roupa interior de malha (homem),1950585,9.432,2,mirror
2003,620342,Calças e fatos (homem),947807,4.583,3,mirror
2003,610910,T-shirts e camisetas de malha,616094,2.979,4,mirror
2003,160414,Peixe preparado ou conservado,82421,0.399,5,mirror
2003,901580,Instrumentos de topografia,11330,0.055,6,mirror
2003,840999,Partes de motores,10678,0.052,7,mirror
2003,160419,Peixe preparado ou conservado,4312,0.021,8,mirror
2003,860900,Contentores de transporte,2601,0.013,9,mirror
2004,640610,Partes de calçado,4421462,29.094,1,direct
2004,620342,Calças e fatos (homem),2282669,15.02,2,direct
2004,610711,Roupa interior de malha (homem),2130217,14.017,3,direct
2004,620423,"Calças, conjuntos e casacos (mulher)",2108312,13.873,4,direct
2004,620520,Camisas (homem),1215924,8.001,5,direct
2004,030621,Crustáceos,766468,5.044,6,direct
2004,610910,T-shirts e camisetas de malha,692065,4.554,7,direct
2004,030379,Peixe congelado,274783,1.808,8,direct
2004,220890,Bebidas espirituosas,234901,1.546,9,direct
2004,640399,Calçado de couro,199951,1.316,10,direct
2004,640610,Partes de calçado,4674694,21.247,1,mirror
2004,620342,Calças e fatos (homem),2077021,9.44,2,mirror
2004,610711,Roupa interior de malha (homem),2036615,9.257,3,mirror
2004,610910,T-shirts e camisetas de malha,545808,2.481,4,mirror
2004,160414,Peixe preparado ou conservado,77983,0.354,5,mirror
2004,840999,Partes de motores,31026,0.141,6,mirror
2004,610990,T-shirts e camisetas de malha,25510,0.116,7,mirror
2004,860900,Contentores de transporte,2913,0.013,8,mirror
2005,271000,Combustíveis refinados,41862080,46.815,1,direct
2005,860900,Contentores de transporte,12770903,14.282,2,direct
2005,030231,Peixe fresco ou refrigerado,4904372,5.485,3,direct
2005,030379,Peixe congelado,3112651,3.481,4,direct
2005,640610,Partes de calçado,2867700,3.207,5,direct
2005,902780,Instrumentos de análise físico-química,2154038,2.409,6,direct
2005,620423,"Calças, conjuntos e casacos (mulher)",1800521,2.014,7,direct
2005,620342,Calças e fatos (homem),1638357,1.832,8,direct
2005,890590,Plataformas e dragas,1385181,1.549,9,direct
2005,030374,Peixe congelado,1082530,1.211,10,direct
2005,030342,Peixe congelado,8089913,27.167,1,mirror
2005,640610,Partes de calçado,3113593,10.456,2,mirror
2005,030343,Peixe congelado,2920898,9.809,3,mirror
2005,620342,Calças e fatos (homem),1311129,4.403,4,mirror
2005,610711,Roupa interior de malha (homem),1102670,3.703,5,mirror
2005,610910,T-shirts e camisetas de malha,752229,2.526,6,mirror
2005,160414,Peixe preparado ou conservado,94926,0.319,7,mirror
2005,840999,Partes de motores,20655,0.069,8,mirror
2005,030379,Peixe congelado,15104,0.051,9,mirror
2005,160415,Peixe preparado ou conservado,14389,0.048,10,mirror
2006,271000,Combustíveis refinados,52533173,47.634,1,direct
2006,860900,Contentores de transporte,12974923,11.765,2,direct
2006,030231,Peixe fresco ou refrigerado,8566073,7.767,3,direct
2006,890391,Iates e barcos de recreio,6038510,5.475,4,direct
2006,640610,Partes de calçado,2719116,2.466,5,direct
2006,840710,Motores de ignição por faísca,2481439,2.25,6,direct
2006,620342,Calças e fatos (homem),2350141,2.131,7,direct
2006,030379,Peixe congelado,1814862,1.646,8,direct
2006,850213,Grupos geradores,1597550,1.449,9,direct
2006,902780,Instrumentos de análise físico-química,1271485,1.153,10,direct
2006,030342,Peixe congelado,11179630,22.2,1,mirror
2006,030343,Peixe congelado,6191701,12.295,2,mirror
2006,640610,Partes de calçado,3063225,6.083,3,mirror
2006,620342,Calças e fatos (homem),2482703,4.93,4,mirror
2006,610711,Roupa interior de malha (homem),1588954,3.155,5,mirror
2006,610910,T-shirts e camisetas de malha,466752,0.927,6,mirror
2006,610990,T-shirts e camisetas de malha,297831,0.591,7,mirror
2006,160414,Peixe preparado ou conservado,273166,0.542,8,mirror
2006,030379,Peixe congelado,34546,0.069,9,mirror
2006,840999,Partes de motores,25298,0.05,10,mirror
2007,271011,Combustíveis refinados,44214323,38.515,1,direct
2007,860900,Contentores de transporte,18143619,15.805,2,direct
2007,271019,Combustíveis refinados,11863778,10.334,3,direct
2007,030342,Peixe congelado,6399094,5.574,4,direct
2007,620342,Calças e fatos (homem),4098437,3.57,5,direct
2007,840710,Motores de ignição por faísca,3760475,3.276,6,direct
2007,640610,Partes de calçado,3083557,2.686,7,direct
2007,880230,Helicópteros e aviões,2891068,2.518,8,direct
2007,030379,Peixe congelado,2685496,2.339,9,direct
2007,640399,Calçado de couro,1505391,1.311,10,direct
2007,030342,Peixe congelado,5746121,14.236,1,mirror
2007,030343,Peixe congelado,5724544,14.183,2,mirror
2007,620342,Calças e fatos (homem),4540099,11.248,3,mirror
2007,640610,Partes de calçado,3348078,8.295,4,mirror
2007,610711,Roupa interior de malha (homem),1431413,3.546,5,mirror
2007,610910,T-shirts e camisetas de malha,1005891,2.492,6,mirror
2007,030349,Peixe congelado,808802,2.004,7,mirror
2007,030231,Peixe fresco ou refrigerado,468144,1.16,8,mirror
2007,160414,Peixe preparado ou conservado,219943,0.545,9,mirror
2007,610990,T-shirts e camisetas de malha,214393,0.531,10,mirror
2008,030342,Peixe congelado,18264278,35.178,1,mirror
2008,030343,Peixe congelado,8033739,15.474,2,mirror
2008,640610,Partes de calçado,4370501,8.418,3,mirror
2008,620342,Calças e fatos (homem),3608291,6.95,4,mirror
2008,610711,Roupa interior de malha (homem),1392460,2.682,5,mirror
2008,610910,T-shirts e camisetas de malha,1040913,2.005,6,mirror
2008,160419,Peixe preparado ou conservado,309982,0.597,7,mirror
2008,901580,Instrumentos de topografia,197724,0.381,8,mirror
