year,hs6,description_pt,value,share_pct,rank,basis
2003,271000,Combustíveis refinados,34993412,9.862,1,direct
2003,252329,Cimento,13098562,3.691,2,direct
2003,271113,Gás natural e outros gases de petróleo,10665667,3.006,3,direct
2003,100630,Arroz,8378430,2.361,4,direct
2003,220300,Cerveja,7786766,2.194,5,direct
2003,870421,Veículos de mercadorias,7098276,2.0,6,direct
2003,100590,Milho,6525962,1.839,7,direct
2003,040221,"Leite e natas, concentrados ou em pó",6185198,1.743,8,direct
2003,870332,Automóveis de passageiros,5132462,1.446,9,direct
2003,690890,Azulejos e ladrilhos cerâmicos,4527630,1.276,10,direct
2003,271019,Combustíveis refinados,13237175,4.38,1,mirror
2003,220300,Cerveja,7819244,2.587,2,mirror
2003,040221,"Leite e natas, concentrados ou em pó",6388865,2.114,3,mirror
2003,252329,Cimento,6076498,2.011,4,mirror
2003,870421,Veículos de mercadorias,5086674,1.683,5,mirror
2003,150790,Óleo de soja,4806499,1.59,6,mirror
2003,870332,Automóveis de passageiros,4177937,1.382,7,mirror
2003,271000,Combustíveis refinados,4116320,1.362,8,mirror
2003,690890,Azulejos e ladrilhos cerâmicos,3810739,1.261,9,mirror
2003,721420,Varões de ferro ou aço,3800408,1.258,10,mirror
2004,880230,Helicópteros e aviões,46799980,10.903,1,direct
2004,271000,Combustíveis refinados,26298354,6.127,2,direct
2004,252329,Cimento,16108574,3.753,3,direct
2004,100630,Arroz,9195550,2.142,4,direct
2004,040221,"Leite e natas, concentrados ou em pó",8263356,1.925,5,direct
2004,220300,Cerveja,8024239,1.869,6,direct
2004,100190,Trigo,8003274,1.865,7,direct
2004,150790,Óleo de soja,7161139,1.668,8,direct
2004,870421,Veículos de mercadorias,5856146,1.364,9,direct
2004,020714,Carne de aves,5743271,1.338,10,direct
2004,271019,Combustíveis refinados,14713312,3.848,1,mirror
2004,040221,"Leite e natas, concentrados ou em pó",8109693,2.121,2,mirror
2004,252329,Cimento,7277487,1.903,3,mirror
2004,220300,Cerveja,7143682,1.868,4,mirror
2004,150790,Óleo de soja,6623433,1.732,5,mirror
2004,690890,Azulejos e ladrilhos cerâmicos,4683414,1.225,6,mirror
2004,870421,Veículos de mercadorias,4154956,1.087,7,mirror
2004,020714,Carne de aves,4134019,1.081,8,mirror
2004,870332,Automóveis de passageiros,3835788,1.003,9,mirror
2004,721420,Varões de ferro ou aço,3824712,1.0,10,mirror
2005,271000,Combustíveis refinados,33672465,7.685,1,direct
2005,252329,Cimento,18367317,4.192,2,direct
2005,100630,Arroz,11372331,2.595,3,direct
2005,890200,Navios de pesca,9070769,2.07,4,direct
2005,040221,"Leite e natas, concentrados ou em pó",8359138,1.908,5,direct
2005,220300,Cerveja,7895544,1.802,6,direct
2005,020714,Carne de aves,6707495,1.531,7,direct
2005,870421,Veículos de mercadorias,6620206,1.511,8,direct
2005,690890,Azulejos e ladrilhos cerâmicos,6240789,1.424,9,direct
2005,170199,Açúcar de cana ou de beterraba,5508500,1.257,10,direct
2005,271019,Combustíveis refinados,48802989,11.907,1,mirror
2005,040221,"Leite e natas, concentrados ou em pó",9207016,2.246,2,mirror
2005,252329,Cimento,8395510,2.048,3,mirror
2005,721420,Varões de ferro ou aço,7057354,1.722,4,mirror
2005,220300,Cerveja,6422197,1.567,5,mirror
2005,690890,Azulejos e ladrilhos cerâmicos,5448976,1.329,6,mirror
2005,210690,Outras preparações alimentares,5179839,1.264,7,mirror
2005,150790,Óleo de soja,4847835,1.183,8,mirror
2005,020714,Carne de aves,4777626,1.166,9,mirror
2005,870332,Automóveis de passageiros,3954954,0.965,10,mirror
2006,271000,Combustíveis refinados,43974884,8.171,1,direct
2006,252329,Cimento,22124163,4.111,2,direct
2006,100630,Arroz,11031945,2.05,3,direct
2006,870421,Veículos de mercadorias,10788930,2.005,4,direct
2006,220300,Cerveja,9232532,1.715,5,direct
2006,040221,"Leite e natas, concentrados ou em pó",9218246,1.713,6,direct
2006,870332,Automóveis de passageiros,7674287,1.426,7,direct
2006,721420,Varões de ferro ou aço,7012732,1.303,8,direct
2006,690890,Azulejos e ladrilhos cerâmicos,6896271,1.281,9,direct
2006,170199,Açúcar de cana ou de beterraba,6889922,1.28,10,direct
2006,271019,Combustíveis refinados,74099365,13.573,1,mirror
2006,252329,Cimento,11347655,2.079,2,mirror
2006,721420,Varões de ferro ou aço,10548965,1.932,3,mirror
2006,040221,"Leite e natas, concentrados ou em pó",9276555,1.699,4,mirror
2006,220300,Cerveja,7576148,1.388,5,mirror
2006,210690,Outras preparações alimentares,6293297,1.153,6,mirror
2006,870332,Automóveis de passageiros,5786940,1.06,7,mirror
2006,150790,Óleo de soja,5654115,1.036,8,mirror
2006,690890,Azulejos e ladrilhos cerâmicos,5603672,1.026,9,mirror
2006,020714,Carne de aves,4542207,0.832,10,mirror
2007,271011,Combustíveis refinados,50498443,6.852,1,direct
2007,880230,Helicópteros e aviões,32056997,4.35,2,direct
2007,252329,Cimento,29204034,3.963,3,direct
2007,271019,Combustíveis refinados,18234970,2.474,4,direct
2007,880240,Helicópteros e aviões,18214320,2.471,5,direct
2007,040221,"Leite e natas, concentrados ou em pó",16835722,2.284,6,direct
