year,basis,exports,imports,trade_volume,balance
2003,direct,12462610,354832804,367295414,-342370194
2003,mirror,20681514,302205555,322887069,-281524041
2004,direct,15197102,429233600,444430702,-414036498
2004,mirror,22001832,382323697,404325529,-360321865
2005,direct,89420818,438178205,527599023,-348757387
2005,mirror,29778176,409879974,439658150,-380101798
2006,direct,110285928,538196285,648482213,-427910357
2006,mirror,50358897,545937751,596296648,-495578854
2007,direct,114798211,736992206,851790417,-622193995
2007,mirror,40363325,697417023,737780348,-657053698
2008,direct,0,824159136,824159136,-824159136
2008,mirror,51919006,854922827,906841833,-803003821
2009,direct,171304150,671026523,842330673,-499722373
2009,mirror,53062607,671930623,724993230,-618868016
2010,direct,220179508,730765791,950945299,-510586283
2010,mirror,63877096,794767050,858644146,-730889954
2011,direct,305754874,946557158,1252312032,-640802284
2011,mirror,76255184,954775005,1031030189,-878519821
2012,direct,336084474,754756852,1090841326,-418672378
2012,mirror,87668284,725625171,813293455,-637956887
2013,direct,69214771,726226296,795441067,-657011525
2013,mirror,129411051,757054880,886465931,-627643829
2014,direct,80408529,767546504,847955033,-687137975
2014,mirror,99753181,710049740,809802921,-610296559
2015,direct,66829277,603429928,670259205,-536600651
2015,mirror,80378572,565780103,646158675,-485401531
2016,direct,60361080,672160140,732521220,-611799060
2016,mirror,100979538,760710682,861690220,-659731144
2017,direct,49935302,793599019,843534321,-743663717
2017,mirror,101924497,745923683,847848180,-643999186
2018,direct,75270566,814604296,889874862,-739333730
2018,mirror,123625712,801182117,924807829,-677556405
2019,direct,344727131,1390725479,1735452610,-1045998348
2019,mirror,108158172,893020070,1001178242,-784861898
2020,direct,53090793,1131399155,1184489948,-1078308362
2020,mirror,96708332,815879609,912587941,-719171277
2021,direct,234911997,1281883198,1516795195,-1046971201
2021,mirror,117887263,889587786,1007475049,-771700523
2022,direct,309805836,1772369095,2082174931,-1462563259
2022,mirror,96904164,926673472,1023577636,-829769308
2023,direct,281684067,1758896767,2040580834,-1477212700
2023,mirror,102199052,973760054,1075959106,-871561002
2024,direct,68245098,915655237,983900335,-847410139
2024,mirror,87658330,1018259892,1105918222,-930601562
