year,partner_code,partner,exports,imports,trade_volume,balance,basis
2003,24,Angola,145791215,2205934880,2351726095,-2060143665,direct
2003,76,Brasil,2143255914,5842291688,7985547602,-3699035774,direct
2003,76,Brasil,2326252397,4531201183,6857453580,-2204948786,mirror
2003,132,Cabo Verde,2596097,353,2596450,2595744,direct
2003,132,Cabo Verde,4077521,0,4077521,4077521,mirror
2003,226,Guiné Equatorial,5048022,411886532,416934554,-406838510,direct
2003,508,Moçambique,45028314,26591793,71620107,18436521,direct
2003,508,Moçambique,40625460,5412123,46037583,35213337,mirror
2003,620,Portugal,406256461,194613740,600870201,211642721,direct
2003,620,Portugal,419777204,169608352,589385556,250168852,mirror
2003,624,Guiné-Bissau,12350232,0,12350232,12350232,direct
2003,624,Guiné-Bissau,12291236,988631,13279867,11302605,mirror
2003,626,Timor-Leste,1067053,62,1067115,1066991,direct
2003,678,São Tomé e Príncipe,199397,29404,228801,169993,direct
2003,678,São Tomé e Príncipe,45650,0,45650,45650,mirror
2004,24,Angola,193517905,4717339146,4910857051,-4523821241,direct
2004,24,Angola,258479282,4260538673,4519017955,-4002059391,mirror
2004,76,Brasil,3674104212,8672861322,12346965534,-4998757110,direct
2004,76,Brasil,4047080318,5438637977,9485718295,-1391557659,mirror
2004,132,Cabo Verde,2746211,0,2746211,2746211,direct
2004,132,Cabo Verde,4780347,0,4780347,4780347,mirror
2004,226,Guiné Equatorial,10124623,996649809,1006774432,-986525186,direct
2004,508,Moçambique,75154316,44286108,119440424,30868208,direct
2004,508,Moçambique,40270002,21390760,61660762,18879242,mirror
2004,620,Portugal,588259140,280896511,869155651,307362629,direct
2004,620,Portugal,570120449,125556421,695676870,444564028,mirror
2004,624,Guiné-Bissau,5994304,29251,6023555,5965053,direct
2004,624,Guiné-Bissau,5818599,0,5818599,5818599,mirror
2004,626,Timor-Leste,1708545,89,1708634,1708456,direct
2004,626,Timor-Leste,1149138,9843,1158981,1139295,mirror
2004,678,São Tomé e Príncipe,222785,1337546,1560331,-1114761,direct
2004,678,São Tomé e Príncipe,13409,0,13409,13409,mirror
2005,24,Angola,372793946,6581828714,6954622660,-6209034768,direct
2005,24,Angola,424506266,6698133090,7122639356,-6273626824,mirror
2005,76,Brasil,4827209396,9992524117,14819733513,-5165314721,direct
2005,76,Brasil,5820710702,6826868482,12647579184,-1006157780,mirror
2005,132,Cabo Verde,5187788,0,5187788,5187788,direct
2005,132,Cabo Verde,6209203,4072,6213275,6205131,mirror
2005,226,Guiné Equatorial,18801431,1437833974,1456635405,-1419032543,direct
2005,508,Moçambique,91477874,73527324,165005198,17950550,direct
2005,508,Moçambique,68288924,34130204,102419128,34158720,mirror
2005,620,Portugal,911952506,323834266,1235786772,588118240,direct
2005,620,Portugal,705429691,210024756,915454447,495404935,mirror
2005,624,Guiné-Bissau,5793889,0,5793889,5793889,direct
2005,624,Guiné-Bissau,2665848,0,2665848,2665848,mirror
2005,626,Timor-Leste,1272825,716,1273541,1272109,direct
2005,626,Timor-Leste,1683807,13192,1696999,1670615,mirror
2005,678,São Tomé e Príncipe,550025,0,550025,550025,direct
2005,678,São Tomé e Príncipe,93553,0,93553,93553,mirror
2006,24,Angola,894185633,10933295107,11827480740,-10039109474,direct
2006,24,Angola,867500662,11045194922,11912695584,-10177694260,mirror
2006,76,Brasil,7380105731,12909495161,20289600892,-5529389430,direct
2006,76,Brasil,8581338258,8398203752,16979542010,183134506,mirror
2006,132,Cabo Verde,10094090,344,10094434,10093746,direct
2006,132,Cabo Verde,10709278,2927,10712205,10706351,mirror
2006,226,Guiné Equatorial,41107988,2537591664,2578699652,-2496483676,direct
2006,508,Moçambique,127940363,79772228,207712591,48168135,direct
2006,508,Moçambique,82660330,32939441,115599771,49720889,mirror
2006,620,Portugal,1359664205,353809128,1713473333,1005855077,direct
2006,620,Portugal,966469780,267970108,1234439888,698499672,mirror
2006,624,Guiné-Bissau,5677056,64,5677120,5676992,direct
2006,626,Timor-Leste,5794277,10964132,16758409,-5169855,direct
