year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,156,China,080131,"Cocos, castanhas de caju e nozes",704,Vietname,49640,95.169,1,0,52160
2003,156,China,080131,"Cocos, castanhas de caju e nozes",360,Indonésia,2290,4.39,2,0,52160
2003,156,China,080131,"Cocos, castanhas de caju e nozes",364,Irão,230,0.441,3,0,52160
2003,156,China,080132,"Cocos, castanhas de caju e nozes",704,Vietname,6815530,99.807,1,0,6828734
2003,156,China,080132,"Cocos, castanhas de caju e nozes",360,Indonésia,8902,0.13,2,0,6828734
2003,156,China,080132,"Cocos, castanhas de caju e nozes",842,EUA,2325,0.034,3,0,6828734
2003,156,China,080132,"Cocos, castanhas de caju e nozes",364,Irão,1832,0.027,4,0,6828734
2003,156,China,080132,"Cocos, castanhas de caju e nozes",528,Países Baixos,145,0.002,5,0,6828734
2003,156,China,140420,Vegetable products; cotton linters,792,Turquia,10495498,33.64,1,0,31199615
2003,156,China,140420,Vegetable products; cotton linters,398,Cazaquistão,4774120,15.302,2,0,31199615
2003,156,China,140420,Vegetable products; cotton linters,76,Brasil,3856625,12.361,3,0,31199615
2003,156,China,140420,Vegetable products; cotton linters,860,Uzbekistan,3418820,10.958,4,0,31199615
2003,156,China,140420,Vegetable products; cotton linters,842,EUA,3056666,9.797,5,0,31199615
2003,156,China,440710,Madeira serrada,643,Rússia,47329534,22.619,1,0,209251133
2003,156,China,440710,Madeira serrada,554,Nova Zelândia,38403048,18.353,2,0,209251133
2003,156,China,440710,Madeira serrada,124,Canadá,37843515,18.085,3,0,209251133
2003,156,China,440710,Madeira serrada,842,EUA,16609527,7.938,4,0,209251133
2003,156,China,440710,Madeira serrada,152,Chile,13802089,6.596,5,0,209251133
2003,156,China,440791,Madeira serrada,842,EUA,22286403,52.587,1,0,42380213
2003,156,China,440791,Madeira serrada,643,Rússia,11778207,27.792,2,0,42380213
2003,156,China,440791,Madeira serrada,360,Indonésia,1198847,2.829,3,0,42380213
2003,156,China,440791,Madeira serrada,276,Alemanha,1163490,2.745,4,0,42380213
2003,156,China,440791,Madeira serrada,764,Tailândia,1120952,2.645,5,0,42380213
2003,156,China,440799,Madeira serrada,842,EUA,154788394,27.76,1,0,557585495
2003,156,China,440799,Madeira serrada,764,Tailândia,127073405,22.79,2,0,557585495
2003,156,China,440799,Madeira serrada,360,Indonésia,55451771,9.945,3,0,557585495
2003,156,China,440799,Madeira serrada,458,Malásia,51989335,9.324,4,0,557585495
2003,156,China,440799,Madeira serrada,76,Brasil,42478741,7.618,5,0,557585495
