year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,100630,Arroz,156,China,9105637,40.898,direct
2003,100630,Arroz,620,Portugal,3652664,16.406,direct
2003,100630,Arroz,764,Tailândia,3274479,14.707,direct
2003,100630,Arroz,704,Vietname,2487278,11.172,direct
2003,100630,Arroz,500,Montserrat,1465405,6.582,direct
2003,100630,Arroz,392,Japão,1053264,4.731,direct
2003,100630,Arroz,686,Senegal,984351,4.421,direct
2003,100630,Arroz,196,Chipre,240937,1.082,direct
2003,100640,Arroz,380,Itália,2479158,46.473,direct
2003,100640,Arroz,686,Senegal,1469107,27.539,direct
2003,100640,Arroz,156,China,1386341,25.988,direct
2003,110100,Farinha de trigo,620,Portugal,1551257,65.069,direct
2003,110100,Farinha de trigo,686,Senegal,264254,11.084,direct
2003,110100,Farinha de trigo,56,Bélgica,197307,8.276,direct
2003,110100,Farinha de trigo,528,Países Baixos,154669,6.488,direct
2003,110100,Farinha de trigo,504,Marrocos,111193,4.664,direct
2003,110100,Farinha de trigo,28,Antigua and Barbuda,60421,2.534,direct
2003,110100,Farinha de trigo,270,Gambia,44904,1.884,direct
2003,150790,Óleo de soja,620,Portugal,896359,89.153,direct
2003,150790,Óleo de soja,28,Antigua and Barbuda,50614,5.034,direct
2003,150790,Óleo de soja,504,Marrocos,46149,4.59,direct
2003,150790,Óleo de soja,686,Senegal,9309,0.926,direct
2003,150790,Óleo de soja,392,Japão,2990,0.297,direct
2003,170199,Açúcar de cana ou de beterraba,270,Gambia,61059,97.342,direct
2003,170199,Açúcar de cana ou de beterraba,686,Senegal,1668,2.659,direct
2003,190190,Preparações para alimentação infantil,620,Portugal,3658,100.0,direct
2003,210390,Molhos e condimentos,686,Senegal,25117,95.469,direct
2003,210390,Molhos e condimentos,620,Portugal,1192,4.531,direct
2003,210410,Sopas e caldos,686,Senegal,45179,76.856,direct
2003,210410,Sopas e caldos,620,Portugal,12489,21.246,direct
2003,210410,Sopas e caldos,324,Guinea,698,1.187,direct
2003,210410,Sopas e caldos,270,Gambia,419,0.713,direct
2003,220290,Bebidas não alcoólicas,620,Portugal,538325,68.471,direct
2003,220290,Bebidas não alcoólicas,724,Espanha,165947,21.107,direct
2003,220290,Bebidas não alcoólicas,504,Marrocos,72606,9.235,direct
2003,220290,Bebidas não alcoólicas,270,Gambia,4763,0.606,direct
2003,220290,Bebidas não alcoólicas,324,Guinea,1570,0.2,direct
2003,220290,Bebidas não alcoólicas,28,Antigua and Barbuda,1538,0.196,direct
2003,220290,Bebidas não alcoólicas,686,Senegal,1465,0.186,direct
2003,220300,Cerveja,620,Portugal,109438,67.41,direct
2003,220300,Cerveja,504,Marrocos,52910,32.59,direct
2003,220421,Vinho,620,Portugal,1249689,96.168,direct
2003,220421,Vinho,28,Antigua and Barbuda,31103,2.393,direct
2003,220421,Vinho,724,Espanha,9796,0.754,direct
2003,220421,Vinho,504,Marrocos,8640,0.665,direct
2003,220421,Vinho,251,França,263,0.02,direct
2003,240220,Cigarros,686,Senegal,162834,55.769,direct
2003,240220,Cigarros,620,Portugal,82392,28.218,direct
2003,240220,Cigarros,842,EUA,25993,8.902,direct
2003,240220,Cigarros,624,Guiné-Bissau,20760,7.11,direct
2003,252329,Cimento,818,Egito,607299,29.159,direct
2003,252329,Cimento,504,Marrocos,467002,22.423,direct
2003,252329,Cimento,620,Portugal,354871,17.039,direct
2003,252329,Cimento,196,Chipre,234479,11.258,direct
2003,252329,Cimento,642,Roménia,233348,11.204,direct
2003,252329,Cimento,724,Espanha,95251,4.573,direct
2003,252329,Cimento,686,Senegal,89058,4.276,direct
2003,252329,Cimento,591,Panamá,572,0.027,direct
2003,300490,Medicamentos,620,Portugal,175637,58.35,direct
2003,300490,Medicamentos,28,Antigua and Barbuda,117138,38.915,direct
2003,300490,Medicamentos,504,Marrocos,6935,2.304,direct
2003,300490,Medicamentos,270,Gambia,1297,0.431,direct
2003,721420,Varões de ferro ou aço,620,Portugal,348,100.0,direct
2003,721590,Outros varões de ferro ou aço,28,Antigua and Barbuda,24393,43.487,direct
2003,721590,Outros varões de ferro ou aço,686,Senegal,16843,30.027,direct
2003,721590,Outros varões de ferro ou aço,724,Espanha,8374,14.929,direct
2003,721590,Outros varões de ferro ou aço,620,Portugal,6483,11.558,direct
2003,870421,Veículos de mercadorias,620,Portugal,379137,65.565,direct
2003,870421,Veículos de mercadorias,686,Senegal,105753,18.288,direct
2003,870421,Veículos de mercadorias,276,Alemanha,30047,5.196,direct
2003,870421,Veículos de mercadorias,270,Gambia,20585,3.56,direct
2003,870421,Veículos de mercadorias,251,França,16573,2.866,direct
2003,870421,Veículos de mercadorias,591,Panamá,12212,2.112,direct
2003,870421,Veículos de mercadorias,528,Países Baixos,6978,1.207,direct
2003,870421,Veículos de mercadorias,324,Guinea,3489,0.603,direct
2003,100630,Arroz,156,China,3587400,70.377,mirror
2003,100630,Arroz,380,Itália,989318,19.408,mirror
2003,100630,Arroz,392,Japão,406379,7.972,mirror
2003,100630,Arroz,686,Senegal,72842,1.429,mirror
2003,100630,Arroz,764,Tailândia,39780,0.78,mirror
2003,100630,Arroz,620,Portugal,1710,0.034,mirror
2003,100640,Arroz,686,Senegal,2110145,100.0,mirror
2003,110100,Farinha de trigo,528,Países Baixos,1348187,40.888,mirror
2003,110100,Farinha de trigo,251,França,1060555,32.165,mirror
2003,110100,Farinha de trigo,56,Bélgica,430339,13.051,mirror
2003,110100,Farinha de trigo,620,Portugal,280090,8.495,mirror
2003,110100,Farinha de trigo,504,Marrocos,178074,5.401,mirror
2003,150790,Óleo de soja,620,Portugal,1422185,82.468,mirror
2003,150790,Óleo de soja,32,Argentina,268380,15.563,mirror
2003,150790,Óleo de soja,276,Alemanha,17000,0.986,mirror
2003,150790,Óleo de soja,528,Países Baixos,16965,0.984,mirror
2003,151190,Óleo de palma,458,Malásia,130791,62.582,mirror
2003,151190,Óleo de palma,504,Marrocos,78200,37.418,mirror
2003,170199,Açúcar de cana ou de beterraba,56,Bélgica,438415,53.33,mirror
2003,170199,Açúcar de cana ou de beterraba,76,Brasil,163200,19.852,mirror
2003,170199,Açúcar de cana ou de beterraba,251,França,153933,18.725,mirror
2003,170199,Açúcar de cana ou de beterraba,620,Portugal,33736,4.104,mirror
2003,170199,Açúcar de cana ou de beterraba,528,Países Baixos,32800,3.99,mirror
2003,190190,Preparações para alimentação infantil,686,Senegal,285706,38.655,mirror
2003,190190,Preparações para alimentação infantil,842,EUA,258581,34.985,mirror
2003,190190,Preparações para alimentação infantil,56,Bélgica,155349,21.018,mirror
2003,190190,Preparações para alimentação infantil,528,Países Baixos,22621,3.061,mirror
2003,190190,Preparações para alimentação infantil,702,Singapura,16421,2.222,mirror
2003,190190,Preparações para alimentação infantil,620,Portugal,439,0.059,mirror
2003,210390,Molhos e condimentos,528,Países Baixos,115365,38.7,mirror
2003,210390,Molhos e condimentos,56,Bélgica,106518,35.732,mirror
2003,210390,Molhos e condimentos,842,EUA,47857,16.054,mirror
2003,210390,Molhos e condimentos,156,China,21244,7.126,mirror
2003,210390,Molhos e condimentos,620,Portugal,6327,2.122,mirror
2003,210390,Molhos e condimentos,384,Costa do Marfim,789,0.265,mirror
2003,210410,Sopas e caldos,724,Espanha,714544,46.932,mirror
2003,210410,Sopas e caldos,191,Croácia,581703,38.207,mirror
2003,210410,Sopas e caldos,686,Senegal,166278,10.921,mirror
2003,210410,Sopas e caldos,620,Portugal,46585,3.06,mirror
2003,210410,Sopas e caldos,384,Costa do Marfim,13388,0.879,mirror
