year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,080131,"Cocos, castanhas de caju e nozes",702,Singapura,30917869,53.018,direct
2003,080131,"Cocos, castanhas de caju e nozes",699,Índia,24764478,42.466,direct
2003,080131,"Cocos, castanhas de caju e nozes",591,Panamá,1326105,2.274,direct
2003,080131,"Cocos, castanhas de caju e nozes",156,China,988631,1.695,direct
2003,080131,"Cocos, castanhas de caju e nozes",620,Portugal,318913,0.547,direct
2003,080132,"Cocos, castanhas de caju e nozes",620,Portugal,14,100.0,direct
2003,440399,Madeira em bruto,620,Portugal,197231,88.094,direct
2003,440399,Madeira em bruto,132,Cabo Verde,26655,11.906,direct
2003,030379,Peixe congelado,380,Itália,1839837,75.296,mirror
2003,030379,Peixe congelado,566,Nigéria,483610,19.792,mirror
2003,030379,Peixe congelado,288,Gana,68243,2.793,mirror
2003,030379,Peixe congelado,384,Costa do Marfim,51794,2.12,mirror
2003,080131,"Cocos, castanhas de caju e nozes",699,Índia,50911450,100.0,mirror
2003,080132,"Cocos, castanhas de caju e nozes",620,Portugal,126567,70.074,mirror
2003,080132,"Cocos, castanhas de caju e nozes",842,EUA,51789,28.673,mirror
2003,080132,"Cocos, castanhas de caju e nozes",251,França,2262,1.252,mirror
2003,400122,"Rubber; technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)",724,Espanha,79069,100.0,mirror
2003,440349,Madeira em bruto,620,Portugal,170986,85.952,mirror
2003,440349,Madeira em bruto,764,Tailândia,27945,14.048,mirror
2003,440399,Madeira em bruto,620,Portugal,190480,100.0,mirror
2003,440799,Madeira serrada,620,Portugal,12751,100.0,mirror
2003,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,699,Índia,155808,100.0,mirror
2003,999999,Commodities not specified according to kind,826,Reino Unido,343856,86.91,mirror
2003,999999,Commodities not specified according to kind,842,EUA,46851,11.842,mirror
2003,999999,Commodities not specified according to kind,208,Dinamarca,4937,1.248,mirror
2004,080131,"Cocos, castanhas de caju e nozes",699,Índia,45569794,85.865,direct
2004,080131,"Cocos, castanhas de caju e nozes",702,Singapura,6923355,13.045,direct
2004,080131,"Cocos, castanhas de caju e nozes",500,Montserrat,578206,1.089,direct
2004,080132,"Cocos, castanhas de caju e nozes",528,Países Baixos,30190,100.0,direct
2004,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,270,Gambia,1869,79.974,direct
2004,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,686,Senegal,468,20.026,direct
2004,030379,Peixe congelado,380,Itália,1035229,73.475,mirror
2004,030379,Peixe congelado,764,Tailândia,165248,11.728,mirror
2004,030379,Peixe congelado,410,Coreia do Sul,122382,8.686,mirror
2004,030379,Peixe congelado,120,Camarões,86088,6.11,mirror
2004,080131,"Cocos, castanhas de caju e nozes",699,Índia,69440776,100.0,mirror
2004,080132,"Cocos, castanhas de caju e nozes",528,Países Baixos,375795,58.238,mirror
2004,080132,"Cocos, castanhas de caju e nozes",842,EUA,263257,40.798,mirror
2004,080132,"Cocos, castanhas de caju e nozes",251,França,6220,0.964,mirror
2004,270900,Petróleo bruto,842,EUA,27556218,100.0,mirror
2004,440349,Madeira em bruto,620,Portugal,363579,59.199,mirror
2004,440349,Madeira em bruto,699,Índia,186589,30.381,mirror
2004,440349,Madeira em bruto,276,Alemanha,64000,10.421,mirror
2004,440399,Madeira em bruto,620,Portugal,132987,100.0,mirror
2004,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,699,Índia,428270,93.642,mirror
2004,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,156,China,29080,6.358,mirror
2004,999999,Commodities not specified according to kind,842,EUA,190336,90.616,mirror
2004,999999,Commodities not specified according to kind,208,Dinamarca,17094,8.138,mirror
2004,999999,Commodities not specified according to kind,384,Costa do Marfim,1501,0.715,mirror
2004,999999,Commodities not specified according to kind,512,Omã,780,0.371,mirror
2004,999999,Commodities not specified according to kind,344,Hong Kong (RAEHK),162,0.077,mirror
2004,999999,Commodities not specified according to kind,716,Zimbabué,152,0.072,mirror
2004,999999,Commodities not specified according to kind,586,Paquistão,21,0.01,mirror
2005,080131,"Cocos, castanhas de caju e nozes",699,Índia,20102491,87.725,direct
2005,080131,"Cocos, castanhas de caju e nozes",702,Singapura,2812782,12.275,direct
2005,440399,Madeira em bruto,591,Panamá,49769,100.0,direct
2005,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,699,Índia,1141,75.016,direct
2005,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,324,Guinea,380,24.984,direct
2005,999999,Commodities not specified according to kind,408,Coreia do Norte,47840,49.568,direct
2005,999999,Commodities not specified according to kind,528,Países Baixos,42968,44.52,direct
2005,999999,Commodities not specified according to kind,842,EUA,4753,4.925,direct
2005,999999,Commodities not specified according to kind,620,Portugal,951,0.985,direct
2005,030379,Peixe congelado,380,Itália,716077,70.102,mirror
2005,030379,Peixe congelado,410,Coreia do Sul,294794,28.859,mirror
2005,030379,Peixe congelado,288,Gana,10610,1.039,mirror
2005,080131,"Cocos, castanhas de caju e nozes",699,Índia,92385351,99.981,mirror
2005,080131,"Cocos, castanhas de caju e nozes",620,Portugal,17480,0.019,mirror
2005,080132,"Cocos, castanhas de caju e nozes",842,EUA,47391,64.908,mirror
2005,080132,"Cocos, castanhas de caju e nozes",203,Chéquia,25622,35.092,mirror
2005,120740,"Oil seeds; sesamum seeds, whether or not broken",528,Países Baixos,68374,100.0,mirror
2005,400122,"Rubber; technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)",528,Países Baixos,85779,100.0,mirror
2005,440349,Madeira em bruto,620,Portugal,676472,100.0,mirror
2005,440799,Madeira serrada,620,Portugal,48484,78.994,mirror
2005,440799,Madeira serrada,344,Hong Kong (RAEHK),12893,21.006,mirror
2005,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,490,Taiwan (Prov. China),210797,56.854,mirror
2005,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,699,Índia,97858,26.393,mirror
2005,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,360,Indonésia,62112,16.752,mirror
2005,999999,Commodities not specified according to kind,842,EUA,65102,74.871,mirror
2005,999999,Commodities not specified according to kind,724,Espanha,20451,23.52,mirror
2005,999999,Commodities not specified according to kind,208,Dinamarca,1300,1.495,mirror
2005,999999,Commodities not specified according to kind,458,Malásia,99,0.114,mirror
2006,030379,Peixe congelado,380,Itália,598526,48.866,mirror
2006,030379,Peixe congelado,384,Costa do Marfim,573169,46.796,mirror
2006,030379,Peixe congelado,410,Coreia do Sul,30983,2.53,mirror
2006,030379,Peixe congelado,288,Gana,22158,1.809,mirror
2006,080131,"Cocos, castanhas de caju e nozes",699,Índia,43932970,99.999,mirror
2006,080131,"Cocos, castanhas de caju e nozes",620,Portugal,338,0.001,mirror
2006,080132,"Cocos, castanhas de caju e nozes",620,Portugal,219834,66.976,mirror
2006,080132,"Cocos, castanhas de caju e nozes",710,África do Sul,61008,18.587,mirror
2006,080132,"Cocos, castanhas de caju e nozes",842,EUA,47387,14.437,mirror
2006,400122,"Rubber; technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)",826,Reino Unido,166173,100.0,mirror
2006,440710,Madeira serrada,620,Portugal,103053,100.0,mirror
2006,440799,Madeira serrada,620,Portugal,161004,88.768,mirror
2006,440799,Madeira serrada,344,Hong Kong (RAEHK),20373,11.232,mirror
2006,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,50,Bangladesh,409357,74.246,mirror
2006,720449,Ferrous waste and scrap; n.e.c. in heading no. 7204,699,Índia,141994,25.754,mirror
2006,999999,Commodities not specified according to kind,842,EUA,10728,54.54,mirror
2006,999999,Commodities not specified according to kind,724,Espanha,6529,33.193,mirror
2006,999999,Commodities not specified according to kind,826,Reino Unido,1221,6.207,mirror
