year,partner_code,partner,value,share_pct,rank,basis
2003,702,Singapura,30917869,50.382,1,direct
2003,699,Índia,24764478,40.355,2,direct
2003,620,Portugal,1636878,2.667,3,direct
2003,591,Panamá,1326105,2.161,4,direct
2003,686,Senegal,1138030,1.854,5,direct
2003,156,China,988631,1.611,6,direct
2003,380,Itália,364679,0.594,7,direct
2003,724,Espanha,201021,0.328,8,direct
2003,132,Cabo Verde,29102,0.047,9,direct
2003,699,Índia,51173949,67.284,1,mirror
2003,566,Nigéria,12909586,16.974,2,mirror
2003,380,Itália,5852643,7.695,3,mirror
2003,620,Portugal,2142924,2.818,4,mirror
2003,842,EUA,2114378,2.78,5,mirror
2003,826,Reino Unido,350034,0.46,6,mirror
2003,251,França,244290,0.321,7,mirror
2003,288,Gana,196483,0.258,8,mirror
2003,384,Costa do Marfim,136693,0.18,9,mirror
2003,528,Países Baixos,126698,0.167,10,mirror
2004,699,Índia,45593503,84.238,1,direct
2004,702,Singapura,6923355,12.791,2,direct
2004,686,Senegal,696783,1.287,3,direct
2004,500,Montserrat,578206,1.068,4,direct
2004,724,Espanha,86400,0.16,5,direct
2004,528,Países Baixos,73215,0.135,6,direct
2004,620,Portugal,51216,0.095,7,direct
2004,251,França,29083,0.054,8,direct
2004,478,Mauritânia,25224,0.047,9,direct
2004,591,Panamá,17989,0.033,10,direct
2004,699,Índia,70702103,62.362,1,mirror
2004,842,EUA,28051781,24.743,2,mirror
2004,380,Itália,4261196,3.759,3,mirror
2004,288,Gana,3942977,3.478,4,mirror
2004,410,Coreia do Sul,1383270,1.22,5,mirror
2004,466,Mali,1185649,1.046,6,mirror
2004,620,Portugal,983695,0.868,7,mirror
2004,392,Japão,485311,0.428,8,mirror
2004,528,Países Baixos,466633,0.412,9,mirror
2004,120,Camarões,380413,0.336,10,mirror
2005,699,Índia,20134580,86.619,1,direct
2005,702,Singapura,2812782,12.101,2,direct
2005,620,Portugal,121206,0.521,3,direct
2005,528,Países Baixos,58233,0.251,4,direct
2005,591,Panamá,49769,0.214,5,direct
2005,408,Coreia do Norte,47840,0.206,6,direct
2005,270,Gambia,8176,0.035,7,direct
2005,842,EUA,4753,0.02,8,direct
2005,686,Senegal,4421,0.019,9,direct
2005,132,Cabo Verde,1592,0.007,10,direct
2005,699,Índia,92642674,89.486,1,mirror
2005,380,Itália,2601580,2.513,2,mirror
2005,288,Gana,1714942,1.657,3,mirror
2005,410,Coreia do Sul,1565667,1.512,4,mirror
2005,620,Portugal,1239415,1.197,5,mirror
2005,586,Paquistão,803566,0.776,6,mirror
2005,466,Mali,783366,0.757,7,mirror
2005,120,Camarões,533989,0.516,8,mirror
2005,490,Taiwan (Prov. China),302872,0.293,9,mirror
2005,344,Hong Kong (RAEHK),250968,0.242,10,mirror
2006,699,Índia,44075187,82.03,1,mirror
2006,380,Itália,2016095,3.752,2,mirror
2006,620,Portugal,1462085,2.721,3,mirror
2006,410,Coreia do Sul,1280045,2.382,4,mirror
2006,566,Nigéria,1032617,1.922,5,mirror
2006,288,Gana,809739,1.507,6,mirror
2006,384,Costa do Marfim,590197,1.098,7,mirror
