year,partner_code,partner,value,share_pct,rank,basis
2003,620,Portugal,23924710,37.46,1,direct
2003,156,China,12291236,19.245,2,direct
2003,686,Senegal,8205814,12.848,3,direct
2003,764,Tailândia,3274479,5.127,4,direct
2003,380,Itália,2682503,4.2,5,direct
2003,704,Vietname,2487278,3.894,6,direct
2003,500,Montserrat,1465405,2.294,7,direct
2003,504,Marrocos,1373429,2.15,8,direct
2003,28,Antigua and Barbuda,1215608,1.903,9,direct
2003,392,Japão,1141784,1.788,10,direct
2003,686,Senegal,27194832,25.742,1,mirror
2003,620,Portugal,19229695,18.202,2,mirror
2003,156,China,12350232,11.69,3,mirror
2003,380,Itália,11458387,10.846,4,mirror
2003,724,Espanha,6401530,6.059,5,mirror
2003,528,Países Baixos,4166712,3.944,6,mirror
2003,251,França,3796266,3.593,7,mirror
2003,699,Índia,3367176,3.187,8,mirror
2003,764,Tailândia,2362819,2.237,9,mirror
2003,56,Bélgica,2356290,2.23,10,mirror
2004,620,Portugal,27238817,47.665,1,direct
2004,686,Senegal,17170908,30.047,2,direct
2004,156,China,5818599,10.182,3,direct
2004,528,Países Baixos,2650091,4.637,4,direct
2004,764,Tailândia,1873266,3.278,5,direct
2004,270,Gambia,572467,1.002,6,direct
2004,643,Rússia,459368,0.804,7,direct
2004,392,Japão,308552,0.54,8,direct
2004,251,França,265929,0.465,9,direct
2004,724,Espanha,238955,0.418,10,direct
2004,686,Senegal,46020736,41.209,1,mirror
2004,620,Portugal,22132086,19.818,2,mirror
2004,528,Países Baixos,6374765,5.708,3,mirror
2004,156,China,5994304,5.368,4,mirror
2004,380,Itália,5625552,5.037,5,mirror
2004,724,Espanha,3737083,3.346,6,mirror
2004,56,Bélgica,3674457,3.29,7,mirror
2004,251,França,3559362,3.187,8,mirror
2004,764,Tailândia,1935456,1.733,9,mirror
2004,752,Suécia,1514573,1.356,10,mirror
2005,686,Senegal,45723375,40.94,1,direct
2005,620,Portugal,41559000,37.211,2,direct
2005,764,Tailândia,7798237,6.982,3,direct
2005,528,Países Baixos,6671598,5.974,4,direct
2005,251,França,3613920,3.236,5,direct
2005,156,China,2665848,2.387,6,direct
2005,270,Gambia,1752337,1.569,7,direct
2005,504,Marrocos,559681,0.501,8,direct
2005,324,Guinea,382478,0.342,9,direct
2005,724,Espanha,364480,0.326,10,direct
