year,hs6,description_pt,value,share_pct,rank,basis
2003,080131,Castanha de caju com casca,58315996,95.029,1,direct
2003,842649,Outras gruas autopropelidas,1031885,1.682,2,direct
2003,140420,Produtos vegetais diversos,453785,0.739,3,direct
2003,844190,Partes de máquinas para papel,343953,0.56,4,direct
2003,844180,Máquinas para papel e cartão,306778,0.5,5,direct
2003,440399,Outra madeira em bruto,223886,0.365,6,direct
2003,200819,Frutos de casca rija preparados,187450,0.305,7,direct
2003,843143,Partes de máquinas de perfuração (8430),175801,0.286,8,direct
2003,841381,Outras bombas para líquidos,83121,0.135,9,direct
2003,848490,Juntas e gaxetas,70117,0.114,10,direct
2003,080131,Castanha de caju com casca,50911450,66.938,1,mirror
2003,853210,Condensadores elétricos,3655985,4.807,2,mirror
2003,030379,Outro peixe congelado (ed. antiga),2443484,3.213,3,mirror
2003,271112,Propano liquefeito,2008326,2.641,4,mirror
2003,030749,Chocos e lulas secos ou salgados,1773996,2.332,5,mirror
2003,520100,Algodão em fibra,1589608,2.09,6,mirror
2003,030759,Polvo seco ou salgado,1246652,1.639,7,mirror
2003,850211,Grupos geradores diesel até 75 kVA,1203755,1.583,8,mirror
2003,730820,Torres e mastros de ferro ou aço,1118086,1.47,9,mirror
2003,930400,Outras armas de fogo,1082435,1.423,10,mirror
2004,080131,Castanha de caju com casca,53071355,98.054,1,direct
2004,271000,Óleos de petróleo (ed. antiga),438353,0.81,2,direct
2004,100640,Arroz partido,141454,0.261,3,direct
2004,170191,Açúcar com aromatizantes ou corantes,72972,0.135,4,direct
2004,140420,Produtos vegetais diversos,56132,0.104,5,direct
2004,720410,Sucata de ferro fundido,43856,0.081,6,direct
2004,110100,Farinha de trigo,39648,0.073,7,direct
2004,080132,Castanha de caju sem casca,30190,0.056,8,direct
2004,200820,Ananás preparado ou conservado,29790,0.055,9,direct
2004,080222,Avelãs sem casca,28085,0.052,10,direct
2004,080131,Castanha de caju com casca,69440776,61.249,1,mirror
2004,270900,Petróleo bruto,27556218,24.306,2,mirror
2004,030749,Chocos e lulas secos ou salgados,1913477,1.688,3,mirror
2004,030759,Polvo seco ou salgado,1470124,1.297,4,mirror
2004,030379,Outro peixe congelado (ed. antiga),1408947,1.243,5,mirror
2004,030339,Outros peixes chatos congelados,1163930,1.027,6,mirror
2004,080132,Castanha de caju sem casca,645272,0.569,7,mirror
2004,440349,Madeira tropical em bruto,614168,0.542,8,mirror
2004,720449,Outra sucata ferrosa,457350,0.403,9,mirror
2004,030613,Camarões congelados,425059,0.375,10,mirror
2005,080131,Castanha de caju com casca,22915273,98.582,1,direct
2005,720410,Sucata de ferro fundido,130668,0.562,2,direct
2005,999999,Mercadorias não especificadas,96513,0.415,3,direct
2005,440399,Outra madeira em bruto,49769,0.214,4,direct
2005,200820,Ananás preparado ou conservado,15265,0.066,5,direct
2005,720429,Sucata de aços-liga,13982,0.06,6,direct
2005,842959,Outras escavadoras e pás carregadoras,7130,0.031,7,direct
2005,392510,Artigos de plástico para construção,2852,0.012,8,direct
2005,842919,Outros buldózeres,2282,0.01,9,direct
2005,871190,Outros motociclos,1521,0.007,10,direct
2005,080131,Castanha de caju com casca,92402831,89.254,1,mirror
2005,030374,Cavala congelada (ed. antiga),2087694,2.017,2,mirror
2005,030339,Outros peixes chatos congelados,1284621,1.241,3,mirror
2005,030379,Outro peixe congelado (ed. antiga),1021481,0.987,4,mirror
2005,030749,Chocos e lulas secos ou salgados,943625,0.911,5,mirror
2005,440349,Madeira tropical em bruto,676472,0.653,6,mirror
2005,720720,Semiacabados de ferro ou aço (alto carbono),647538,0.625,7,mirror
2005,030613,Camarões congelados,531535,0.513,8,mirror
2005,030759,Polvo seco ou salgado,409378,0.395,9,mirror
2005,720410,Sucata de ferro fundido,396228,0.383,10,mirror
2006,080131,Castanha de caju com casca,43933308,81.766,1,mirror
2006,030339,Outros peixes chatos congelados,1298750,2.417,2,mirror
2006,030379,Outro peixe congelado (ed. antiga),1224836,2.28,3,mirror
2006,030749,Chocos e lulas secos ou salgados,676139,1.258,4,mirror
2006,720449,Outra sucata ferrosa,551351,1.026,5,mirror
2006,030374,Cavala congelada (ed. antiga),507769,0.945,6,mirror
2006,030759,Polvo seco ou salgado,464592,0.865,7,mirror
2006,870899,Outras partes de veículos,351224,0.654,8,mirror
2006,731600,Âncoras e ferros de amarração,350966,0.653,9,mirror
2006,080132,Castanha de caju sem casca,328229,0.611,10,mirror
2007,080131,Castanha de caju com casca,71630299,84.291,1,mirror
2007,030374,Cavala congelada (ed. antiga),3592485,4.227,2,mirror
2007,252329,Cimento Portland,2466015,2.902,3,mirror
2007,720449,Outra sucata ferrosa,1813105,2.134,4,mirror
2007,030339,Outros peixes chatos congelados,1169810,1.377,5,mirror
2007,030559,Peixe seco ou salgado,710044,0.836,6,mirror
2007,030371,Sardinha congelada (ed. antiga),416822,0.49,7,mirror
2007,080132,Castanha de caju sem casca,346282,0.407,8,mirror
2007,090111,Café verde não descafeinado,295486,0.348,9,mirror
2007,030379,Outro peixe congelado (ed. antiga),276614,0.326,10,mirror
2008,080131,Castanha de caju com casca,124862667,87.407,1,mirror
2008,030379,Outro peixe congelado (ed. antiga),6798768,4.759,2,mirror
2008,720449,Outra sucata ferrosa,2306304,1.614,3,mirror
2008,440399,Outra madeira em bruto,1476624,1.034,4,mirror
2008,030333,Linguado congelado,826105,0.578,5,mirror
2008,080132,Castanha de caju sem casca,693248,0.485,6,mirror
2008,400129,"Borracha natural, outras formas",623268,0.436,7,mirror
2008,180100,Cacau,454932,0.318,8,mirror
2008,170199,Açúcar refinado,452251,0.317,9,mirror
2008,030339,Outros peixes chatos congelados,390374,0.273,10,mirror
2009,080131,Castanha de caju com casca,92185578,84.785,1,mirror
2009,030379,Outro peixe congelado (ed. antiga),8086288,7.437,2,mirror
2009,440399,Outra madeira em bruto,1564913,1.439,3,mirror
2009,843149,Partes de máquinas de terraplanagem,465479,0.428,4,mirror
2009,030371,Sardinha congelada (ed. antiga),433827,0.399,5,mirror
2009,730840,Andaimes e escoramentos,380240,0.35,6,mirror
2009,180100,Cacau,376906,0.347,7,mirror
2009,100190,Trigo comum (ed. antiga),318614,0.293,8,mirror
2009,720449,Outra sucata ferrosa,315704,0.29,9,mirror
2009,030339,Outros peixes chatos congelados,296111,0.272,10,mirror
2010,270900,Petróleo bruto,71021409,42.506,1,mirror
