year,hs6,description_pt,value,share_pct,rank,basis
2003,100630,Arroz,22264067,34.86,1,direct
2003,100640,Arroz,5334606,8.353,2,direct
2003,110100,Farinha de trigo,2384004,3.733,3,direct
2003,252329,Cimento,2082691,3.261,4,direct
2003,870323,Automóveis de passageiros,1954994,3.061,5,direct
2003,850164,Motores e geradores elétricos,1790505,2.803,6,direct
2003,220600,"Bebidas fermentadas (sidra, hidromel)",1507546,2.36,7,direct
2003,100620,Arroz,1377481,2.157,8,direct
2003,220421,Vinho,1299491,2.035,9,direct
2003,150790,Óleo de soja,1005421,1.574,10,direct
2003,271019,Combustíveis refinados,12590395,11.918,1,mirror
2003,100630,Arroz,5097429,4.825,2,mirror
2003,890200,Navios de pesca,4013889,3.799,3,mirror
2003,110100,Farinha de trigo,3297245,3.121,4,mirror
2003,681099,Artigos de cimento e betão,3218960,3.047,5,mirror
2003,252329,Cimento,3078905,2.914,6,mirror
2003,340119,Sabão,2802248,2.653,7,mirror
2003,100640,Arroz,2110145,1.997,8,mirror
2003,271011,Combustíveis refinados,1817045,1.72,9,mirror
2003,220300,Cerveja,1742088,1.649,10,mirror
2004,850211,Grupos geradores,6839464,11.968,1,direct
2004,271000,Combustíveis refinados,6765615,11.839,2,direct
2004,220290,Bebidas não alcoólicas,4741023,8.296,3,direct
2004,100630,Arroz,4149876,7.262,4,direct
2004,220600,"Bebidas fermentadas (sidra, hidromel)",2843917,4.977,5,direct
2004,100620,Arroz,2344580,4.103,6,direct
2004,100640,Arroz,1754023,3.069,7,direct
2004,870323,Automóveis de passageiros,1570802,2.749,8,direct
2004,220421,Vinho,1450488,2.538,9,direct
2004,722694,Outros laminados de aços-liga,1273876,2.229,10,direct
2004,271019,Combustíveis refinados,9701904,8.687,1,mirror
2004,100640,Arroz,9631517,8.624,2,mirror
2004,340119,Sabão,3286401,2.943,3,mirror
2004,999999,Mercadorias não especificadas,3158945,2.829,4,mirror
2004,220300,Cerveja,2952457,2.644,5,mirror
2004,271011,Combustíveis refinados,2396987,2.146,6,mirror
2004,721420,Varões de ferro ou aço,2200796,1.971,7,mirror
2004,190190,Preparações para alimentação infantil,1974238,1.768,8,mirror
2004,252329,Cimento,1794359,1.607,9,mirror
2004,220421,Vinho,1792339,1.605,10,mirror
2005,220290,Bebidas não alcoólicas,26219372,23.476,1,direct
2005,271000,Combustíveis refinados,18443084,16.514,2,direct
2005,100640,Arroz,7064390,6.325,3,direct
2005,100630,Arroz,7038402,6.302,4,direct
2005,252329,Cimento,4773226,4.274,5,direct
2005,110100,Farinha de trigo,2631339,2.356,6,direct
2005,220600,"Bebidas fermentadas (sidra, hidromel)",2546962,2.28,7,direct
2005,853890,Partes de aparelhos elétricos,2436253,2.181,8,direct
2005,340119,Sabão,2203851,1.973,9,direct
2005,100620,Arroz,2137310,1.914,10,direct
2005,271019,Combustíveis refinados,46020014,24.594,1,mirror
2005,271011,Combustíveis refinados,22246824,11.889,2,mirror
2005,100640,Arroz,9304451,4.973,3,mirror
2005,100630,Arroz,6751349,3.608,4,mirror
2005,190190,Preparações para alimentação infantil,4927063,2.633,5,mirror
2005,999999,Mercadorias não especificadas,3695244,1.975,6,mirror
2005,220300,Cerveja,3662054,1.957,7,mirror
2005,110100,Farinha de trigo,3435663,1.836,8,mirror
2005,170199,Açúcar de cana ou de beterraba,3352920,1.792,9,mirror
2005,340119,Sabão,3336554,1.783,10,mirror
2006,271019,Combustíveis refinados,26492429,16.871,1,mirror
2006,100640,Arroz,8649851,5.508,2,mirror
2006,170199,Açúcar de cana ou de beterraba,7891241,5.025,3,mirror
2006,271011,Combustíveis refinados,4117553,2.622,4,mirror
2006,110100,Farinha de trigo,3841341,2.446,5,mirror
2006,190190,Preparações para alimentação infantil,3744029,2.384,6,mirror
2006,340119,Sabão,3287344,2.093,7,mirror
2006,220300,Cerveja,3201792,2.039,8,mirror
2006,999999,Mercadorias não especificadas,2597526,1.654,9,mirror
2006,870421,Veículos de mercadorias,2038634,1.298,10,mirror
2007,271019,Combustíveis refinados,16731549,8.127,1,mirror
2007,170199,Açúcar de cana ou de beterraba,9318125,4.526,2,mirror
2007,851762,Aparelhos de telecomunicações,7932915,3.853,3,mirror
2007,252329,Cimento,6778771,3.293,4,mirror
2007,999999,Mercadorias não especificadas,5976697,2.903,5,mirror
2007,151190,Óleo de palma,5863434,2.848,6,mirror
2007,100640,Arroz,5633218,2.736,7,mirror
2007,271011,Combustíveis refinados,4467252,2.17,8,mirror
2007,220300,Cerveja,3914882,1.902,9,mirror
2007,340119,Sabão,3883904,1.886,10,mirror
2008,271019,Combustíveis refinados,31236975,12.964,1,mirror
2008,100640,Arroz,14745087,6.12,2,mirror
2008,252329,Cimento,9713899,4.032,3,mirror
2008,100630,Arroz,7741004,3.213,4,mirror
2008,151190,Óleo de palma,6929630,2.876,5,mirror
2008,271011,Combustíveis refinados,5510523,2.287,6,mirror
2008,460290,Artigos de cestaria,4670247,1.938,7,mirror
2008,170199,Açúcar de cana ou de beterraba,4463819,1.853,8,mirror
2008,210410,Sopas e caldos,4087323,1.696,9,mirror
2008,110100,Farinha de trigo,3764611,1.562,10,mirror
2009,271019,Combustíveis refinados,50296313,17.352,1,mirror
2009,100640,Arroz,25408397,8.766,2,mirror
2009,271011,Combustíveis refinados,25142592,8.674,3,mirror
2009,890200,Navios de pesca,13024746,4.494,4,mirror
2009,100630,Arroz,8545385,2.948,5,mirror
2009,170199,Açúcar de cana ou de beterraba,6920124,2.387,6,mirror
2009,851770,Aparelhos de telecomunicações,6537345,2.255,7,mirror
2009,252329,Cimento,5675556,1.958,8,mirror
2009,220300,Cerveja,5230368,1.804,9,mirror
2009,210410,Sopas e caldos,4007974,1.383,10,mirror
2010,100640,Arroz,15064216,6.476,1,mirror
2010,271019,Combustíveis refinados,14683426,6.312,2,mirror
2010,170199,Açúcar de cana ou de beterraba,13032678,5.602,3,mirror
2010,100630,Arroz,12458176,5.355,4,mirror
2010,252329,Cimento,8202599,3.526,5,mirror
2010,220300,Cerveja,5195542,2.233,6,mirror
2010,271011,Combustíveis refinados,4918344,2.114,7,mirror
2010,190190,Preparações para alimentação infantil,3635455,1.563,8,mirror
