year,basis,exports,imports,trade_volume,balance
2003,direct,61366793,63867748,125234541,-2500955
2003,mirror,76057167,105645294,181702461,-29588127
2004,direct,54124875,57146685,111271560,-3021810
2004,mirror,113374124,111677485,225051609,1696639
2005,direct,23244874,111684811,134929685,-88439937
2005,mirror,103527576,187117549,290645125,-83589973
2006,direct,0,0,0,0
2006,mirror,53730244,157033898,210764142,-103303654
2007,direct,0,0,0,0
2007,mirror,84980153,205879566,290859719,-120899413
2008,direct,0,0,0,0
2008,mirror,142852249,240942478,383794727,-98090229
2009,direct,0,0,0,0
2009,mirror,108728393,289852540,398580933,-181124147
2010,direct,0,0,0,0
2010,mirror,167085426,232625730,399711156,-65540304
2011,direct,0,0,0,0
2011,mirror,385401429,325427766,710829195,59973663
2012,direct,0,0,0,0
2012,mirror,181069919,309522783,490592702,-128452864
2013,direct,0,0,0,0
2013,mirror,303519903,321219407,624739310,-17699504
2014,direct,112073837,135631590,247705427,-23557753
2014,mirror,275464943,409107368,684572311,-133642425
2015,direct,327223975,152753310,479977285,174470665
2015,mirror,297824298,295706536,593530834,2117762
2016,direct,176263505,120971519,297235024,55291986
2016,mirror,360036499,305847440,665883939,54189059
2017,direct,189269289,176913679,366182968,12355610
2017,mirror,346057551,364442985,710500536,-18385434
2018,direct,244798758,165737266,410536024,79061492
2018,mirror,157667988,351189698,508857686,-193521710
2019,direct,0,0,0,0
2019,mirror,250401517,336096657,586498174,-85695140
2020,direct,0,0,0,0
2020,mirror,181307071,330984076,512291147,-149677005
2021,direct,0,0,0,0
2021,mirror,206076418,423780257,629856675,-217703839
2022,direct,0,0,0,0
2022,mirror,226298816,425206403,651505219,-198907587
2023,direct,0,0,0,0
2023,mirror,110896301,571509601,682405902,-460613300
2024,direct,0,0,0,0
2024,mirror,216703782,534484504,751188286,-317780722
