year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",56.0,Bélgica,990837.0,32.635,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",528.0,Países Baixos,783803.0,25.816,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",251.0,França,464064.0,15.285,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",724.0,Espanha,312198.0,10.283,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",76.0,Brasil,187181.0,6.165,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",380.0,Itália,123548.0,4.069,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",826.0,Reino Unido,65560.0,2.159,mirror
2003.0,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",156.0,China,57056.0,1.879,mirror
2003.0,220300,Cerveja,724.0,Espanha,7245358.0,51.293,mirror
2003.0,220300,Cerveja,120.0,Camarões,5566489.0,39.408,mirror
2003.0,220300,Cerveja,528.0,Países Baixos,479556.0,3.395,mirror
2003.0,220300,Cerveja,276.0,Alemanha,461000.0,3.264,mirror
2003.0,220300,Cerveja,266.0,Gabão,358840.0,2.54,mirror
2003.0,220300,Cerveja,620.0,Portugal,10540.0,0.075,mirror
2003.0,220300,Cerveja,251.0,França,1132.0,0.008,mirror
2003.0,220300,Cerveja,826.0,Reino Unido,1103.0,0.008,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",266.0,Gabão,765630.0,35.895,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",156.0,China,535238.0,25.094,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",620.0,Portugal,435485.0,20.417,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",710.0,África do Sul,256008.0,12.002,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",56.0,Bélgica,90452.0,4.241,mirror
2003.0,252329,"Cement; portland, other than white, whether or not artificially coloured",724.0,Espanha,50157.0,2.352,mirror
2003.0,270900,Petróleo bruto,266.0,Gabão,1614.0,98.235,mirror
2003.0,270900,Petróleo bruto,710.0,África do Sul,29.0,1.765,mirror
2003.0,271011,Combustíveis refinados,384.0,Costa do Marfim,728122.0,92.789,mirror
2003.0,271011,Combustíveis refinados,404.0,Quénia,31750.0,4.046,mirror
2003.0,271011,Combustíveis refinados,842.0,EUA,24436.0,3.114,mirror
2003.0,271011,Combustíveis refinados,710.0,África do Sul,398.0,0.051,mirror
2003.0,271019,Combustíveis refinados,384.0,Costa do Marfim,7474363.0,45.937,mirror
2003.0,271019,Combustíveis refinados,826.0,Reino Unido,3558522.0,21.87,mirror
2003.0,271019,Combustíveis refinados,686.0,Senegal,2199828.0,13.52,mirror
