year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,962963237,35.109,1,mirror
2003,724,Espanha,732503990,26.706,2,mirror
2003,156,China,411886532,15.017,3,mirror
2003,124,Canadá,329285725,12.005,4,mirror
2003,380,Itália,183796347,6.701,5,mirror
2003,490,Taiwan (Prov. China),53252000,1.942,6,mirror
2003,251,França,24682318,0.9,7,mirror
2003,120,Camarões,9117640,0.332,8,mirror
2003,826,Reino Unido,8018515,0.292,9,mirror
2003,528,Países Baixos,6510222,0.237,10,mirror
2004,842,EUA,1258840198,29.323,1,mirror
2004,156,China,996649809,23.216,2,mirror
2004,724,Espanha,684463902,15.944,3,mirror
2004,490,Taiwan (Prov. China),638433406,14.871,4,mirror
2004,124,Canadá,262303391,6.11,5,mirror
2004,380,Itália,165596052,3.857,6,mirror
2004,251,França,62236774,1.45,7,mirror
2004,392,Japão,47263819,1.101,8,mirror
2004,528,Países Baixos,42874249,0.999,9,mirror
2004,120,Camarões,32025910,0.746,10,mirror
2005,842,EUA,1674639277,25.223,1,mirror
2005,156,China,1437833974,21.656,2,mirror
2005,724,Espanha,739154901,11.133,3,mirror
2005,490,Taiwan (Prov. China),488952507,7.364,4,mirror
2005,124,Canadá,451842247,6.806,5,mirror
2005,620,Portugal,373311610,5.623,6,mirror
2005,76,Brasil,298218197,4.492,7,mirror
2005,528,Países Baixos,288854272,4.351,8,mirror
2005,380,Itália,239576316,3.608,9,mirror
2005,392,Japão,224581255,3.383,10,mirror
2006,156,China,2537591664,30.039,1,mirror
2006,842,EUA,1825405066,21.608,2,mirror
2006,724,Espanha,1043365960,12.351,3,mirror
2006,490,Taiwan (Prov. China),870282551,10.302,4,mirror
2006,620,Portugal,500511777,5.925,5,mirror
2006,392,Japão,321151074,3.802,6,mirror
2006,124,Canadá,207846937,2.46,7,mirror
2006,380,Itália,193659086,2.292,8,mirror
2006,251,França,187369162,2.218,9,mirror
2006,528,Países Baixos,147332389,1.744,10,mirror
2007,842,EUA,1861818069,19.638,1,mirror
2007,156,China,1697283346,17.903,2,mirror
2007,724,Espanha,1239329788,13.072,3,mirror
2007,490,Taiwan (Prov. China),1213949227,12.805,4,mirror
2007,251,França,667697829,7.043,5,mirror
2007,620,Portugal,585255809,6.173,6,mirror
2007,392,Japão,585025176,6.171,7,mirror
2007,528,Países Baixos,293051454,3.091,8,mirror
2007,124,Canadá,217630055,2.296,9,mirror
2007,76,Brasil,216506509,2.284,10,mirror
2008,842,EUA,3495118929,21.703,1,mirror
2008,724,Espanha,2787809301,17.311,2,mirror
2008,156,China,2267871882,14.082,3,mirror
2008,490,Taiwan (Prov. China),1637194382,10.166,4,mirror
2008,251,França,1202111534,7.464,5,mirror
2008,392,Japão,1135283519,7.049,6,mirror
2008,380,Itália,915406644,5.684,7,mirror
2008,410,Coreia do Sul,834696104,5.183,8,mirror
2008,620,Portugal,406637544,2.525,9,mirror
2008,528,Países Baixos,390316326,2.424,10,mirror
2009,842,EUA,2587063732,28.154,1,mirror
2009,156,China,1055071473,11.482,2,mirror
2009,392,Japão,781212427,8.502,3,mirror
2009,410,Coreia do Sul,700626839,7.625,4,mirror
2009,724,Espanha,639043053,6.954,5,mirror
