year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,335713079,31.124,1,mirror
2003,826,Reino Unido,177850337,16.489,2,mirror
2003,384,Costa do Marfim,131056426,12.15,3,mirror
2003,724,Espanha,91741194,8.505,4,mirror
2003,251,França,89080955,8.259,5,mirror
2003,579,Noruega,64333666,5.964,6,mirror
2003,380,Itália,56521777,5.24,7,mirror
2003,120,Camarões,30557128,2.833,8,mirror
2003,528,Países Baixos,20406031,1.892,9,mirror
2003,56,Bélgica,14676836,1.361,10,mirror
2004,842,EUA,215385602,30.738,1,mirror
2004,724,Espanha,109585965,15.639,2,mirror
2004,826,Reino Unido,62840878,8.968,3,mirror
2004,251,França,42520826,6.068,4,mirror
2004,384,Costa do Marfim,36308355,5.182,5,mirror
2004,380,Itália,34399120,4.909,6,mirror
2004,120,Camarões,29774313,4.249,7,mirror
2004,528,Países Baixos,23130295,3.301,8,mirror
2004,56,Bélgica,16931176,2.416,9,mirror
2004,266,Gabão,13788006,1.968,10,mirror
2005,842,EUA,281472431,27.121,1,mirror
2005,380,Itália,212475764,20.473,2,mirror
2005,724,Espanha,112532552,10.843,3,mirror
2005,384,Costa do Marfim,87536087,8.435,4,mirror
2005,826,Reino Unido,71085169,6.849,5,mirror
2005,251,França,63600687,6.128,6,mirror
2005,528,Países Baixos,24347280,2.346,7,mirror
2005,156,China,18801431,1.812,8,mirror
2005,120,Camarões,18013564,1.736,9,mirror
2005,56,Bélgica,16569614,1.597,10,mirror
2006,842,EUA,551498185,36.676,1,mirror
2006,724,Espanha,145292973,9.662,2,mirror
2006,384,Costa do Marfim,114557737,7.618,3,mirror
2006,251,França,89697848,5.965,4,mirror
2006,410,Coreia do Sul,88838308,5.908,5,mirror
2006,826,Reino Unido,83481473,5.552,6,mirror
2006,380,Itália,72045072,4.791,7,mirror
2006,458,Malásia,54230740,3.606,8,mirror
2006,156,China,41107988,2.734,9,mirror
2006,528,Países Baixos,38363646,2.551,10,mirror
2007,842,EUA,236399700,16.536,1,mirror
2007,724,Espanha,174361520,12.196,2,mirror
2007,120,Camarões,127341117,8.907,3,mirror
2007,251,França,114855801,8.034,4,mirror
2007,384,Costa do Marfim,104855779,7.334,5,mirror
2007,156,China,92790802,6.49,6,mirror
2007,380,Itália,80080160,5.601,7,mirror
2007,826,Reino Unido,77758056,5.439,8,mirror
2007,266,Gabão,48970236,3.425,9,mirror
2007,528,Países Baixos,48928857,3.422,10,mirror
2008,156,China,277390904,16.136,1,mirror
2008,724,Espanha,213398884,12.413,2,mirror
2008,842,EUA,184514829,10.733,3,mirror
2008,251,França,169819807,9.878,4,mirror
2008,384,Costa do Marfim,147795663,8.597,5,mirror
2008,380,Itália,86959088,5.058,6,mirror
2008,826,Reino Unido,79764492,4.64,7,mirror
2008,504,Marrocos,60943833,3.545,8,mirror
2008,120,Camarões,51785805,3.012,9,mirror
2008,56,Bélgica,43510000,2.531,10,mirror
2009,566,Nigéria,3361112624,63.206,1,mirror
2009,156,China,358423820,6.74,2,mirror
2009,842,EUA,305860045,5.752,3,mirror
2009,724,Espanha,271247893,5.101,4,mirror
2009,251,França,164687810,3.097,5,mirror
2009,384,Costa do Marfim,113145287,2.128,6,mirror
2009,380,Itália,87764671,1.65,7,mirror
2009,504,Marrocos,76816579,1.445,8,mirror
2009,826,Reino Unido,68317976,1.285,9,mirror
2009,528,Países Baixos,51335232,0.965,10,mirror
2010,566,Nigéria,2675150791,52.289,1,mirror
2010,156,China,456241241,8.918,2,mirror
2010,724,Espanha,298720008,5.839,3,mirror
2010,842,EUA,272137422,5.319,4,mirror
2010,384,Costa do Marfim,249483098,4.876,5,mirror
2010,251,França,234108606,4.576,6,mirror
2010,826,Reino Unido,175317643,3.427,7,mirror
2010,380,Itália,128092497,2.504,8,mirror
2010,504,Marrocos,93673802,1.831,9,mirror
2010,76,Brasil,47422218,0.927,10,mirror
2011,566,Nigéria,1015253048,29.626,1,mirror
2011,724,Espanha,374215483,10.92,2,mirror
2011,842,EUA,285394250,8.328,3,mirror
2011,251,França,272014672,7.938,4,mirror
2011,156,China,266317114,7.771,5,mirror
2011,380,Itália,148081663,4.321,6,mirror
2011,384,Costa do Marfim,124262222,3.626,7,mirror
2011,178,Congo,108443136,3.164,8,mirror
2011,826,Reino Unido,99030187,2.89,9,mirror
2011,528,Países Baixos,69757322,2.036,10,mirror
2012,724,Espanha,382924551,14.608,1,mirror
2012,156,China,361434154,13.788,2,mirror
2012,266,Gabão,298885216,11.402,3,mirror
2012,842,EUA,233161535,8.895,4,mirror
2012,251,França,166843178,6.365,5,mirror
2012,380,Itália,124375932,4.745,6,mirror
2012,384,Costa do Marfim,110772548,4.226,7,mirror
2012,120,Camarões,99101682,3.78,8,mirror
2012,826,Reino Unido,93862795,3.581,9,mirror
2012,76,Brasil,90514798,3.453,10,mirror
2013,842,EUA,756139906,20.928,1,mirror
2013,266,Gabão,486360453,13.461,2,mirror
2013,724,Espanha,448267771,12.407,3,mirror
2013,156,China,357517241,9.895,4,mirror
2013,702,Singapura,335586285,9.288,5,mirror
2013,251,França,155924981,4.316,6,mirror
2013,380,Itália,138297267,3.828,7,mirror
2013,384,Costa do Marfim,97684098,2.704,8,mirror
2013,620,Portugal,87295709,2.416,9,mirror
