year,hs6,description_pt,value,share_pct,rank,basis
2003.0,270900,Petróleo bruto,2445542814.0,89.162,1.0,mirror
2003.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",125649672.0,4.581,2.0,mirror
2003.0,440349,Madeira em bruto,96895520.0,3.533,3.0,mirror
2003.0,440399,Madeira em bruto,17668050.0,0.644,4.0,mirror
2003.0,999999,Commodities not specified according to kind,13960976.0,0.509,5.0,mirror
2003.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",10728409.0,0.391,6.0,mirror
2003.0,271011,Combustíveis refinados,8255951.0,0.301,7.0,mirror
2003.0,271112,Gás natural e outros gases de petróleo,5497973.0,0.2,8.0,mirror
2003.0,180100,Cacau,4771964.0,0.174,9.0,mirror
2003.0,271113,Gás natural e outros gases de petróleo,2514652.0,0.092,10.0,mirror
2004.0,270900,Petróleo bruto,3988908908.0,92.916,1.0,mirror
2004.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",135224433.0,3.15,2.0,mirror
2004.0,440349,Madeira em bruto,81099578.0,1.889,3.0,mirror
2004.0,999999,Commodities not specified according to kind,30243429.0,0.704,4.0,mirror
2004.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",19049384.0,0.444,5.0,mirror
2004.0,440399,Madeira em bruto,7721045.0,0.18,6.0,mirror
2004.0,180100,Cacau,6457523.0,0.15,7.0,mirror
2004.0,271111,Gás natural e outros gases de petróleo,4133234.0,0.096,8.0,mirror
2004.0,730429,"Iron or steel (excluding cast iron or stainless steel); seamless, casing and tubing, of a kind used in drilling for oil or gas",3357280.0,0.078,9.0,mirror
2004.0,440729,Madeira serrada,1724467.0,0.04,10.0,mirror
2005.0,270900,Petróleo bruto,6145559290.0,92.562,1.0,mirror
2005.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",238797949.0,3.597,2.0,mirror
2005.0,440349,Madeira em bruto,72141256.0,1.087,3.0,mirror
2005.0,271113,Gás natural e outros gases de petróleo,45069472.0,0.679,4.0,mirror
2005.0,271112,Gás natural e outros gases de petróleo,36154233.0,0.545,5.0,mirror
2005.0,999999,Commodities not specified according to kind,26800447.0,0.404,6.0,mirror
2005.0,440399,Madeira em bruto,21254002.0,0.32,7.0,mirror
2005.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",20582579.0,0.31,8.0,mirror
2005.0,271119,Gás natural e outros gases de petróleo,5028524.0,0.076,9.0,mirror
2005.0,843139,"Machinery; parts of the machinery of heading no. 8428, (other than lifts, skip hoists or escalators)",3727206.0,0.056,10.0,mirror
2006.0,270900,Petróleo bruto,7732751519.0,91.537,1.0,mirror
2006.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",221537497.0,2.622,2.0,mirror
2006.0,271112,Gás natural e outros gases de petróleo,191701356.0,2.269,3.0,mirror
2006.0,271113,Gás natural e outros gases de petróleo,89189769.0,1.056,4.0,mirror
2006.0,440349,Madeira em bruto,75731708.0,0.896,5.0,mirror
2006.0,440399,Madeira em bruto,36314068.0,0.43,6.0,mirror
2006.0,271119,Gás natural e outros gases de petróleo,30936385.0,0.366,7.0,mirror
2006.0,999999,Commodities not specified according to kind,24743587.0,0.293,8.0,mirror
2006.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",21041169.0,0.249,9.0,mirror
2006.0,271011,Combustíveis refinados,8700105.0,0.103,10.0,mirror
2007.0,270900,Petróleo bruto,8033636641.0,84.737,1.0,mirror
2007.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",357298802.0,3.769,2.0,mirror
2007.0,271111,Gás natural e outros gases de petróleo,290788807.0,3.067,3.0,mirror
2007.0,999999,Commodities not specified according to kind,220631428.0,2.327,4.0,mirror
2007.0,440349,Madeira em bruto,109536143.0,1.155,5.0,mirror
2007.0,271112,Gás natural e outros gases de petróleo,94061563.0,0.992,6.0,mirror
2007.0,271113,Gás natural e outros gases de petróleo,87199320.0,0.92,7.0,mirror
2007.0,271119,Gás natural e outros gases de petróleo,71729000.0,0.757,8.0,mirror
2007.0,440399,Madeira em bruto,45333017.0,0.478,9.0,mirror
2007.0,890520,Floating or submersible drilling or production platforms,31295236.0,0.33,10.0,mirror
2008.0,270900,Petróleo bruto,12182234007.0,75.645,1.0,mirror
2008.0,271111,Gás natural e outros gases de petróleo,2954329573.0,18.345,2.0,mirror
2008.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",336711946.0,2.091,3.0,mirror
2008.0,271112,Gás natural e outros gases de petróleo,213401976.0,1.325,4.0,mirror
2008.0,271113,Gás natural e outros gases de petróleo,112455736.0,0.698,5.0,mirror
2008.0,440349,Madeira em bruto,63303120.0,0.393,6.0,mirror
2008.0,890190,Navios,43905844.0,0.273,7.0,mirror
2008.0,271011,Combustíveis refinados,28814138.0,0.179,8.0,mirror
2008.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",24472986.0,0.152,9.0,mirror
2008.0,440399,Madeira em bruto,22887280.0,0.142,10.0,mirror
2009.0,270900,Petróleo bruto,6384462305.0,69.479,1.0,mirror
2009.0,271111,Gás natural e outros gases de petróleo,1949541333.0,21.216,2.0,mirror
2009.0,890520,Floating or submersible drilling or production platforms,281036856.0,3.058,3.0,mirror
2009.0,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",178181804.0,1.939,4.0,mirror
2009.0,271112,Gás natural e outros gases de petróleo,162557735.0,1.769,5.0,mirror
2009.0,271113,Gás natural e outros gases de petróleo,58624519.0,0.638,6.0,mirror
2009.0,999999,Commodities not specified according to kind,32590974.0,0.355,7.0,mirror
2009.0,271119,Gás natural e outros gases de petróleo,31910493.0,0.347,8.0,mirror
2009.0,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,8863424.0,0.096,9.0,mirror
2009.0,440839,"Wood, of tropical wood; as in Subheading note 2 to this Chapter, n.e.c. in heading no. 4408.31, sheets for veneer or plywood, other wood sawn length wise, sliced or peeled, whether or not planed, sanded or end-jointed, not thicker than 6mm",5625600.0,0.061,10.0,mirror
2010.0,270900,Petróleo bruto,7124770709.0,74.139,1.0,mirror
2010.0,271111,Gás natural e outros gases de petróleo,1428691269.0,14.867,2.0,mirror
2010.0,890520,Floating or submersible drilling or production platforms,268543135.0,2.794,3.0,mirror
2010.0,271112,Gás natural e outros gases de petróleo,234938552.0,2.445,4.0,mirror
