year,hs6,description_pt,value,share_pct,rank,basis
2003.0,890520,Plataformas de perfuração ou produção,212713072.0,19.721,1.0,mirror
2003.0,843143,Partes de máquinas de perfuração (8430),141125942.0,13.084,2.0,mirror
2003.0,847989,Máquinas de funções diversas,98139494.0,9.099,3.0,mirror
2003.0,830710,Tubos flexíveis de metal,46231955.0,4.286,4.0,mirror
2003.0,880240,Aviões +15.000 kg,40000000.0,3.708,5.0,mirror
2003.0,841182,Turbinas a gás +5.000 kW,24900877.0,2.309,6.0,mirror
2003.0,999999,Mercadorias não especificadas,23852965.0,2.211,7.0,mirror
2003.0,940600,Construções pré-fabricadas,16453924.0,1.525,8.0,mirror
2003.0,271019,Gasóleo e combustíveis médios e pesados,16270965.0,1.508,9.0,mirror
2003.0,271000,Óleos de petróleo (ed. antiga),14532024.0,1.347,10.0,mirror
2004.0,843143,Partes de máquinas de perfuração (8430),104102432.0,14.856,1.0,mirror
2004.0,271019,Gasóleo e combustíveis médios e pesados,38983063.0,5.563,2.0,mirror
2004.0,999999,Mercadorias não especificadas,20395101.0,2.911,3.0,mirror
2004.0,841182,Turbinas a gás +5.000 kW,16868597.0,2.407,4.0,mirror
2004.0,271000,Óleos de petróleo (ed. antiga),15682928.0,2.238,5.0,mirror
2004.0,220300,Cerveja,14729451.0,2.102,6.0,mirror
2004.0,903281,Instrumentos de regulação automática,11696888.0,1.669,7.0,mirror
2004.0,730421,Tubos sem costura de perfuração (ed. antiga),10596742.0,1.512,8.0,mirror
2004.0,160413,Sardinha em conserva,9203348.0,1.313,9.0,mirror
2004.0,730429,Tubos sem costura de revestimento,9053545.0,1.292,10.0,mirror
2005.0,843143,Partes de máquinas de perfuração (8430),99338343.0,9.572,1.0,mirror
2005.0,843049,Outras máquinas de perfuração,88843527.0,8.561,2.0,mirror
2005.0,271019,Gasóleo e combustíveis médios e pesados,80303578.0,7.738,3.0,mirror
2005.0,841480,Outras bombas e compressores de ar,78399219.0,7.554,4.0,mirror
2005.0,841199,Partes de turbinas a gás,65031274.0,6.266,5.0,mirror
2005.0,271011,Óleos leves de petróleo (ed. antiga),23476362.0,2.262,6.0,mirror
2005.0,999999,Mercadorias não especificadas,18913013.0,1.822,7.0,mirror
2005.0,220300,Cerveja,16019273.0,1.544,8.0,mirror
2005.0,848190,Partes de válvulas,14592945.0,1.406,9.0,mirror
2005.0,730120,Perfis de ferro ou aço soldados,14361680.0,1.384,10.0,mirror
2006.0,843143,Partes de máquinas de perfuração (8430),243898587.0,16.22,1.0,mirror
2006.0,843049,Outras máquinas de perfuração,120789940.0,8.033,2.0,mirror
2006.0,271019,Gasóleo e combustíveis médios e pesados,103600277.0,6.89,3.0,mirror
2006.0,890520,Plataformas de perfuração ou produção,87651652.0,5.829,4.0,mirror
2006.0,890590,Navios-farol e outros auxiliares,53181919.0,3.537,5.0,mirror
2006.0,730429,Tubos sem costura de revestimento,37219777.0,2.475,6.0,mirror
2006.0,999999,Mercadorias não especificadas,30375003.0,2.02,7.0,mirror
2006.0,220300,Cerveja,19346229.0,1.287,8.0,mirror
2006.0,940600,Construções pré-fabricadas,16664090.0,1.108,9.0,mirror
2006.0,271011,Óleos leves de petróleo (ed. antiga),15625482.0,1.039,10.0,mirror
2007.0,271019,Gasóleo e combustíveis médios e pesados,110653566.0,7.74,1.0,mirror
2007.0,843143,Partes de máquinas de perfuração (8430),110275058.0,7.713,2.0,mirror
2007.0,847989,Máquinas de funções diversas,68141915.0,4.766,3.0,mirror
2007.0,270900,Petróleo bruto,36793974.0,2.574,4.0,mirror
2007.0,999999,Mercadorias não especificadas,30939673.0,2.164,5.0,mirror
2007.0,271011,Óleos leves de petróleo (ed. antiga),30748575.0,2.151,6.0,mirror
2007.0,220300,Cerveja,28309573.0,1.98,7.0,mirror
2007.0,721420,Varões de ferro com saliências (betão armado),21026671.0,1.471,8.0,mirror
2007.0,870423,Camiões diesel +20 t,18871886.0,1.32,9.0,mirror
2007.0,730890,Outras estruturas de ferro ou aço,17070014.0,1.194,10.0,mirror
2008.0,271019,Gasóleo e combustíveis médios e pesados,158191985.0,9.202,1.0,mirror
2008.0,880230,Aviões 2.000–15.000 kg,49869666.0,2.901,2.0,mirror
2008.0,843143,Partes de máquinas de perfuração (8430),43331201.0,2.521,3.0,mirror
2008.0,721420,Varões de ferro com saliências (betão armado),35899552.0,2.088,4.0,mirror
2008.0,854449,Condutores elétricos até 1.000 V,34316962.0,1.996,5.0,mirror
2008.0,761410,Cabos de alumínio,28884834.0,1.68,6.0,mirror
2008.0,271011,Óleos leves de petróleo (ed. antiga),27251197.0,1.585,7.0,mirror
2008.0,730890,Outras estruturas de ferro ou aço,25088664.0,1.459,8.0,mirror
2008.0,999999,Mercadorias não especificadas,24513558.0,1.426,9.0,mirror
2008.0,870423,Camiões diesel +20 t,24302297.0,1.414,10.0,mirror
2009.0,270900,Petróleo bruto,3358183345.0,63.151,1.0,mirror
2009.0,271019,Gasóleo e combustíveis médios e pesados,105509523.0,1.984,2.0,mirror
2009.0,843143,Partes de máquinas de perfuração (8430),77729475.0,1.462,3.0,mirror
2009.0,999999,Mercadorias não especificadas,68287114.0,1.284,4.0,mirror
