year,basis,exports,imports,trade_volume,balance
2003,mirror,2742819503,1078629613,3821449116,1664189890
2004,mirror,4293023954,700725114,4993749068,3592298840
2005,mirror,6639367616,1037827346,7677194962,5601540270
2006,mirror,8447638393,1503715395,9951353788,6943922998
2007,mirror,9480632089,1429647642,10910279731,8050984447
2008,mirror,16104500821,1719117310,17823618131,14385383511
2009,mirror,9189028053,5317687746,14506715799,3871340307
2010,mirror,9609962702,5116074720,14726037422,4493887982
2011,mirror,13317787015,3426875998,16744663013,9890911017
2012,mirror,15625797746,2621412404,18247210150,13004385342
2013,mirror,14702479336,3613023967,18315503303,11089455369
2014,mirror,13042341421,2969192669,16011534090,10073148752
2015,mirror,6847827738,2946767880,9794595618,3901059858
2016,mirror,4647830635,1486223899,6134054534,3161606736
2017,mirror,5344886059,878627936,6223513995,4466258123
2018,mirror,6595891495,1076741191,7672632686,5519150304
2019,mirror,5132711837,1054499961,6187211798,4078211876
2020,mirror,3145831099,1290637080,4436468179,1855194019
2021,mirror,5251970244,1004852386,6256822630,4247117858
2022,mirror,8137132148,1112117349,9249249497,7025014799
2023,mirror,5216973041,1035251086,6252224127,4181721955
2024,mirror,4495783288,1049643556,5545426844,3446139732
