year,partner_code,partner,exports,imports,trade_volume,balance,basis
2003,24,Angola,21581176,522420,22103596,21058756,direct
2003,76,Brasil,570466847,754286436,1324753283,-183819589,direct
2003,76,Brasil,267591266,693248188,960839454,-425656922,mirror
2003,132,Cabo Verde,550296,6,550302,550290,direct
2003,132,Cabo Verde,167357,0,167357,167357,mirror
2003,226,Guiné Equatorial,1145794,0,1145794,1145794,direct
2003,508,Moçambique,9363185,16091289,25454474,-6728104,direct
2003,508,Moçambique,5046292,6249407,11295699,-1203115,mirror
2003,620,Portugal,120821803,51475663,172297466,69346140,direct
2003,620,Portugal,25851714,60712939,86564653,-34861225,mirror
2003,624,Guiné-Bissau,57824,102576,160400,-44752,direct
2003,678,São Tomé e Príncipe,45802,3985,49787,41817,direct
2004,24,Angola,18465732,451650,18917382,18014082,direct
2004,24,Angola,9216072,21958,9238030,9194114,mirror
2004,76,Brasil,833781769,877549967,1711331736,-43768198,direct
2004,76,Brasil,367752146,766692337,1134444483,-398940191,mirror
2004,132,Cabo Verde,352277,34849,387126,317428,direct
2004,132,Cabo Verde,278800,0,278800,278800,mirror
2004,226,Guiné Equatorial,3256822,0,3256822,3256822,direct
2004,508,Moçambique,4548078,11619809,16167887,-7071731,direct
2004,508,Moçambique,16528134,3539931,20068065,12988203,mirror
2004,620,Portugal,150115081,64216192,214331273,85898889,direct
2004,620,Portugal,36965127,74868692,111833819,-37903565,mirror
2004,624,Guiné-Bissau,129535,162,129697,129373,direct
2004,626,Timor-Leste,314007,25070,339077,288937,mirror
2004,678,São Tomé e Príncipe,105791,0,105791,105791,direct
2004,678,São Tomé e Príncipe,44444,0,44444,44444,mirror
2005,24,Angola,28657452,87884313,116541765,-59226861,direct
2005,24,Angola,16996479,54414377,71410856,-37417898,mirror
2005,76,Brasil,1003761856,919751232,1923513088,84010624,direct
2005,76,Brasil,422080756,889183597,1311264353,-467102841,mirror
2005,132,Cabo Verde,646485,893,647378,645592,direct
2005,132,Cabo Verde,301948,0,301948,301948,mirror
2005,226,Guiné Equatorial,2370539,2395,2372934,2368144,direct
2005,508,Moçambique,3882481,2839614,6722095,1042867,direct
2005,508,Moçambique,7886860,2028517,9915377,5858343,mirror
2005,620,Portugal,183347180,102950693,286297873,80396487,direct
2005,620,Portugal,38416191,124519959,162936150,-86103768,mirror
2005,624,Guiné-Bissau,55308,250968,306276,-195660,direct
2005,626,Timor-Leste,415110,5090,420200,410020,mirror
2005,678,São Tomé e Príncipe,41243,9581,50824,31662,direct
2006,24,Angola,32054625,150229107,182283732,-118174482,direct
2006,24,Angola,42990101,140,42990241,42989961,mirror
2006,76,Brasil,1174894409,1083246483,2258140892,91647926,direct
2006,76,Brasil,707469048,1031304686,1738773734,-323835638,mirror
2006,132,Cabo Verde,133088,0,133088,133088,direct
2006,132,Cabo Verde,162133,0,162133,162133,mirror
2006,226,Guiné Equatorial,2440747,100,2440847,2440647,direct
2006,508,Moçambique,3809734,2172366,5982100,1637368,direct
2006,508,Moçambique,7123722,1634437,8758159,5489285,mirror
2006,620,Portugal,180806618,95122636,275929254,85683982,direct
2006,620,Portugal,38272494,115008786,153281280,-76736292,mirror
2006,624,Guiné-Bissau,55903,20373,76276,35530,direct
2006,678,São Tomé e Príncipe,168681,1945,170626,166736,direct
2006,678,São Tomé e Príncipe,0,702,702,-702,mirror
2007,24,Angola,43352826,49819847,93172673,-6467021,direct
2007,24,Angola,37726434,963887,38690321,36762547,mirror
2007,76,Brasil,1330590470,1428741352,2759331822,-98150882,direct
2007,76,Brasil,649148382,1335007498,1984155880,-685859116,mirror
2007,132,Cabo Verde,109611,903,110514,108708,direct
2007,132,Cabo Verde,82684,0,82684,82684,mirror
2007,226,Guiné Equatorial,1575739,35718,1611457,1540021,direct
2007,508,Moçambique,2429957,8018239,10448196,-5588282,direct
2007,508,Moçambique,8406849,1097587,9504436,7309262,mirror
2007,620,Portugal,248311302,61220624,309531926,187090678,direct
2007,620,Portugal,55723006,75003594,130726600,-19280588,mirror
2007,624,Guiné-Bissau,4357681,846603,5204284,3511078,direct
2007,678,São Tomé e Príncipe,17347,28075,45422,-10728,direct
2008,24,Angola,64313787,121658472,185972259,-57344685,direct
2008,24,Angola,53816267,5865,53822132,53810402,mirror
2008,76,Brasil,1647493334,1825971371,3473464705,-178478037,direct
2008,76,Brasil,854165456,1807030337,2661195793,-952864881,mirror
2008,132,Cabo Verde,156727,0,156727,156727,direct
2008,132,Cabo Verde,76134,0,76134,76134,mirror
2008,226,Guiné Equatorial,1057851,0,1057851,1057851,direct
2008,508,Moçambique,3822109,10717110,14539219,-6895001,direct
2008,508,Moçambique,8455045,863396,9318441,7591649,mirror
2008,620,Portugal,273898145,79927038,353825183,193971107,direct
2008,620,Portugal,73443144,85146740,158589884,-11703596,mirror
2008,624,Guiné-Bissau,149225,117869,267094,31356,direct
2008,678,São Tomé e Príncipe,32622,17908,50530,14714,direct
2009,24,Angola,54304811,133600550,187905361,-79295739,direct
2009,24,Angola,65790501,11779014,77569515,54011487,mirror
2009,76,Brasil,1179708376,1938130793,3117839169,-758422417,direct
2009,76,Brasil,567834779,1863760284,2431595063,-1295925505,mirror
2009,132,Cabo Verde,57979,0,57979,57979,direct
2009,132,Cabo Verde,96961,0,96961,96961,mirror
2009,226,Guiné Equatorial,1454332,7911,1462243,1446421,direct
2009,508,Moçambique,5983622,10830031,16813653,-4846409,direct
2009,508,Moçambique,11314312,5998891,17313203,5315421,mirror
2009,620,Portugal,195160858,67674637,262835495,127486221,direct
2009,620,Portugal,40568307,104163276,144731583,-63594969,mirror
2009,624,Guiné-Bissau,467773,257142,724915,210631,direct
2009,678,São Tomé e Príncipe,1406,1347,2753,59,direct
2009,678,São Tomé e Príncipe,660971,0,660971,660971,mirror
2010,24,Angola,31432960,1150532,32583492,30282428,direct
2010,24,Angola,22055934,6026066,28082000,16029868,mirror
2010,76,Brasil,1663439784,1775254004,3438693788,-111814220,direct
2010,76,Brasil,793554816,1720997608,2514552424,-927442792,mirror
2010,132,Cabo Verde,476175,172,476347,476003,direct
2010,132,Cabo Verde,341,0,341,341,mirror
2010,226,Guiné Equatorial,3409918,0,3409918,3409918,direct
2010,508,Moçambique,6880515,12408453,19288968,-5527938,direct
2010,508,Moçambique,11413529,1181275,12594804,10232254,mirror
2010,620,Portugal,205592492,105140015,310732507,100452477,direct
2010,620,Portugal,44523597,150137883,194661480,-105614286,mirror
2010,624,Guiné-Bissau,378292,10170,388462,368122,direct
2010,678,São Tomé e Príncipe,82998,1103,84101,81895,direct
2010,678,São Tomé e Príncipe,199763,0,199763,199763,mirror
2011,24,Angola,34327288,4477935,38805223,29849353,direct
2011,24,Angola,40870060,107418291,148288351,-66548231,mirror
2011,76,Brasil,2061940227,2099208072,4161148299,-37267845,direct
2011,76,Brasil,1059850276,2175828883,3235679159,-1115978607,mirror
2011,132,Cabo Verde,2513400,7884,2521284,2505516,direct
2011,132,Cabo Verde,97086,20899,117985,76187,mirror
2011,226,Guiné Equatorial,4726962,471,4727433,4726491,direct
2011,508,Moçambique,18963244,4382114,23345358,14581130,direct
2011,508,Moçambique,25558000,1048000,26606000,24510000,mirror
2011,620,Portugal,247047527,122055631,369103158,124991896,direct
2011,620,Portugal,39614165,155144153,194758318,-115529988,mirror
2011,624,Guiné-Bissau,1448469,3004,1451473,1445465,direct
2011,678,São Tomé e Príncipe,360806,244,361050,360562,direct
2012,24,Angola,61286012,106796517,168082529,-45510505,direct
2012,24,Angola,73219126,68913667,142132793,4305459,mirror
2012,76,Brasil,1977346784,2319758265,4297105049,-342411481,direct
2012,76,Brasil,916233230,2456371629,3372604859,-1540138399,mirror
2012,132,Cabo Verde,3889779,10392,3900171,3879387,direct
2012,132,Cabo Verde,19025,0,19025,19025,mirror
2012,226,Guiné Equatorial,6372747,631,6373378,6372116,direct
2012,508,Moçambique,25659997,6290721,31950718,19369276,direct
2012,508,Moçambique,25047330,997585,26044915,24049745,mirror
2012,620,Portugal,232591470,131301720,363893190,101289750,direct
2012,620,Portugal,39954019,159437316,199391335,-119483297,mirror
2012,624,Guiné-Bissau,379886,118612,498498,261274,direct
2012,678,São Tomé e Príncipe,35494,3025,38519,32469,direct
2013,24,Angola,76933376,1356775,78290151,75576601,direct
2013,24,Angola,80894277,103851203,184745480,-22956926,mirror
2013,76,Brasil,1961112483,2740053567,4701166050,-778941084,direct
