year,partner_code,partner,exports,imports,trade_volume,balance,basis
2003,76,Brasil,73784,4736662,4810446,-4662878,direct
2003,76,Brasil,7182398,202317,7384715,6980081,mirror
2003,508,Moçambique,22492,0,22492,22492,mirror
2003,620,Portugal,4001073,11532734,15533807,-7531661,direct
2003,620,Portugal,2400717,11620149,14020866,-9219432,mirror
2004,24,Angola,580275,0,580275,580275,direct
2004,24,Angola,556122,0,556122,556122,mirror
2004,76,Brasil,26553,11548820,11575373,-11522267,direct
2004,76,Brasil,10303107,347111,10650218,9955996,mirror
2004,620,Portugal,2692640,14530525,17223165,-11837885,direct
2004,620,Portugal,2509486,14706901,17216387,-12197415,mirror
2004,626,Timor-Leste,2493,0,2493,2493,direct
2004,626,Timor-Leste,8577,0,8577,8577,mirror
2005,24,Angola,23000,0,23000,23000,mirror
2005,76,Brasil,320869,6871355,7192224,-6550486,direct
2005,76,Brasil,9322224,356034,9678258,8966190,mirror
2005,508,Moçambique,13624,0,13624,13624,mirror
2005,620,Portugal,1411370,13130539,14541909,-11719169,direct
2005,620,Portugal,913443,12018533,12931976,-11105090,mirror
2005,626,Timor-Leste,0,38351,38351,-38351,direct
2005,626,Timor-Leste,46921,18717,65638,28204,mirror
2006,24,Angola,2354,0,2354,2354,mirror
2006,76,Brasil,2709351,7841199,10550550,-5131848,direct
2006,76,Brasil,6123123,578019,6701142,5545104,mirror
2006,508,Moçambique,450,878,1328,-428,direct
2006,508,Moçambique,225973,1566,227539,224407,mirror
2006,620,Portugal,881617,16815503,17697120,-15933886,direct
2006,620,Portugal,1065131,16749715,17814846,-15684584,mirror
2006,626,Timor-Leste,0,79268,79268,-79268,direct
2007,24,Angola,1354,0,1354,1354,direct
2007,24,Angola,51677,0,51677,51677,mirror
2007,76,Brasil,347896,12793089,13140985,-12445193,direct
2007,76,Brasil,8949635,711731,9661366,8237904,mirror
2007,132,Cabo Verde,0,72,72,-72,direct
2007,508,Moçambique,0,309737,309737,-309737,direct
