year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,156,China,240120,Tabaco destalado,716,Zimbabué,156104364,60.894,1,0,256354827
2003,156,China,240120,Tabaco destalado,76,Brasil,85849916,33.489,2,0,256354827
2003,156,China,240120,Tabaco destalado,124,Canadá,10620250,4.143,3,0,256354827
2003,156,China,240120,Tabaco destalado,842,EUA,2290008,0.893,4,0,256354827
2003,156,China,240120,Tabaco destalado,764,Tailândia,472712,0.184,5,0,256354827
2003,156,China,270119,Outros carvões minerais,36,Austrália,4611601,98.714,1,0,4671672
2003,156,China,270119,Outros carvões minerais,496,Mongolia,37906,0.811,2,0,4671672
2003,156,China,270119,Outros carvões minerais,104,Myanmar,18521,0.396,3,0,4671672
2003,156,China,270119,Outros carvões minerais,124,Canadá,3592,0.077,4,0,4671672
2003,156,China,270119,Outros carvões minerais,360,Indonésia,52,0.001,5,0,4671672
2003,156,China,270400,Coque,392,Japão,114612,42.593,1,0,269089
2003,156,China,270400,Coque,842,EUA,69275,25.744,2,0,269089
2003,156,China,270400,Coque,56,Bélgica,32355,12.024,3,0,269089
2003,156,China,270400,Coque,156,China,19695,7.319,4,0,269089
2003,156,China,270400,Coque,276,Alemanha,13432,4.992,5,0,269089
2003,156,China,271111,Gás natural liquefeito (GNL),344,Hong Kong (RAEHK),5331,59.378,1,0,8978
2003,156,China,271111,Gás natural liquefeito (GNL),392,Japão,3647,40.622,2,0,8978
2003,156,China,271121,Gás natural em estado gasoso,842,EUA,499,66.533,1,0,750
2003,156,China,271121,Gás natural em estado gasoso,702,Singapura,244,32.533,2,0,750
2003,156,China,271121,Gás natural em estado gasoso,826,Reino Unido,7,0.933,3,0,750
2003,156,China,271600,Energia elétrica,344,Hong Kong (RAEHK),148891993,97.536,1,0,152654029
2003,156,China,271600,Energia elétrica,643,Rússia,2959415,1.939,2,0,152654029
2003,156,China,271600,Energia elétrica,408,Coreia do Norte,769334,0.504,3,0,152654029
2003,156,China,271600,Energia elétrica,417,Kyrgyzstan,33287,0.022,4,0,152654029
2003,156,China,760110,"Alumínio não ligado, em bruto",156,China,348197016,45.506,1,0,765161519
2003,156,China,760110,"Alumínio não ligado, em bruto",36,Austrália,167636476,21.909,2,0,765161519
2003,156,China,760110,"Alumínio não ligado, em bruto",643,Rússia,127249299,16.63,3,0,765161519
2003,156,China,760110,"Alumínio não ligado, em bruto",710,África do Sul,34489532,4.507,4,0,765161519
2003,156,China,760110,"Alumínio não ligado, em bruto",702,Singapura,26273807,3.434,5,0,765161519
2003,156,China,760410,Varões e perfis de alumínio não ligado,490,Taiwan (Prov. China),12127661,36.235,1,0,33469123
2003,156,China,760410,Varões e perfis de alumínio não ligado,36,Austrália,6542714,19.549,2,0,33469123
2003,156,China,760410,Varões e perfis de alumínio não ligado,392,Japão,4208601,12.575,3,0,33469123
2003,156,China,760410,Varões e perfis de alumínio não ligado,410,Coreia do Sul,4151217,12.403,4,0,33469123
2003,156,China,760410,Varões e perfis de alumínio não ligado,276,Alemanha,1928736,5.763,5,0,33469123
2003,528,Países Baixos,240120,Tabaco destalado,842,EUA,111148897,34.619,1,0,321059734
2003,528,Países Baixos,240120,Tabaco destalado,76,Brasil,68773062,21.421,2,0,321059734
2003,528,Países Baixos,240120,Tabaco destalado,276,Alemanha,31140469,9.699,3,0,321059734
2003,528,Países Baixos,240120,Tabaco destalado,454,Malawi,13948052,4.344,4,0,321059734
2003,528,Países Baixos,240120,Tabaco destalado,32,Argentina,12487636,3.89,5,0,321059734
2003,528,Países Baixos,240120,Tabaco destalado,508,Moçambique,9662957,3.01,8,1,321059734
