year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,156,China,100630,Arroz,384,Costa do Marfim,146527078,32.615,1,0,449267733
2003,156,China,100630,Arroz,643,Rússia,63127945,14.051,2,0,449267733
2003,156,China,100630,Arroz,392,Japão,35531343,7.909,3,0,449267733
2003,156,China,100630,Arroz,598,Papua New Guinea,28349821,6.31,4,0,449267733
2003,156,China,100630,Arroz,360,Indonésia,22735722,5.061,5,0,449267733
2003,156,China,100630,Arroz,508,Moçambique,696000,0.155,35,1,449267733
2003,156,China,271019,Combustíveis refinados,704,Vietname,283222088,20.71,1,0,1367566375
2003,156,China,271019,Combustíveis refinados,344,Hong Kong (RAEHK),250484004,18.316,2,0,1367566375
2003,156,China,271019,Combustíveis refinados,702,Singapura,123354003,9.02,3,0,1367566375
2003,156,China,271019,Combustíveis refinados,392,Japão,100864400,7.375,4,0,1367566375
2003,156,China,271019,Combustíveis refinados,591,Panamá,100213637,7.328,5,0,1367566375
2003,156,China,271600,Energia elétrica,344,Hong Kong (RAEHK),664581672,97.242,1,0,683429548
2003,156,China,271600,Energia elétrica,446,Macau (RAEM),17271789,2.527,2,0,683429548
2003,156,China,271600,Energia elétrica,408,Coreia do Norte,789137,0.115,3,0,683429548
2003,156,China,271600,Energia elétrica,104,Myanmar,435120,0.064,4,0,683429548
2003,156,China,271600,Energia elétrica,496,Mongolia,351830,0.051,5,0,683429548
2003,156,China,760110,Alumínio em bruto,410,Coreia do Sul,690733357,46.889,1,0,1473138912
2003,156,China,760110,Alumínio em bruto,344,Hong Kong (RAEHK),361708669,24.554,2,0,1473138912
2003,156,China,760110,Alumínio em bruto,392,Japão,234671049,15.93,3,0,1473138912
2003,156,China,760110,Alumínio em bruto,490,Taiwan (Prov. China),112514865,7.638,4,0,1473138912
2003,156,China,760110,Alumínio em bruto,702,Singapura,33541115,2.277,5,0,1473138912
2003,156,China,870421,Veículos de mercadorias,12,Argélia,13710527,37.93,1,0,36147364
2003,156,China,870421,Veículos de mercadorias,586,Paquistão,4560151,12.615,2,0,36147364
2003,156,China,870421,Veículos de mercadorias,704,Vietname,3702258,10.242,3,0,36147364
2003,156,China,870421,Veículos de mercadorias,760,Syria,2218517,6.137,4,0,36147364
2003,156,China,870421,Veículos de mercadorias,792,Turquia,1397448,3.866,5,0,36147364
2003,156,China,870421,Veículos de mercadorias,508,Moçambique,17020,0.047,56,1,36147364
2003,156,China,890590,Plataformas e dragas,826,Reino Unido,43795471,69.052,1,0,63423819
2003,156,China,890590,Plataformas e dragas,724,Espanha,7458296,11.759,2,0,63423819
2003,156,China,890590,Plataformas e dragas,392,Japão,5910340,9.319,3,0,63423819
2003,156,China,890590,Plataformas e dragas,344,Hong Kong (RAEHK),4475093,7.056,4,0,63423819
2003,156,China,890590,Plataformas e dragas,586,Paquistão,1084335,1.71,5,0,63423819
2003,156,China,999999,Mercadorias não especificadas,414,Kuwait,280226138,29.29,1,0,956734548
2003,156,China,999999,Mercadorias não especificadas,586,Paquistão,277674435,29.023,2,0,956734548
2003,156,China,999999,Mercadorias não especificadas,392,Japão,56686187,5.925,3,0,956734548
2003,156,China,999999,Mercadorias não especificadas,364,Irão,52880203,5.527,4,0,956734548
2003,156,China,999999,Mercadorias não especificadas,792,Turquia,38833762,4.059,5,0,956734548
2003,156,China,999999,Mercadorias não especificadas,508,Moçambique,574823,0.06,35,1,956734548
2003,528,Países Baixos,100630,Arroz,276,Alemanha,18303448,37.134,1,0,49290255
2003,528,Países Baixos,100630,Arroz,826,Reino Unido,14357286,29.128,2,0,49290255
2003,528,Países Baixos,100630,Arroz,251,França,5492278,11.143,3,0,49290255
2003,528,Países Baixos,100630,Arroz,56,Bélgica,4159926,8.44,4,0,49290255
2003,528,Países Baixos,100630,Arroz,724,Espanha,2260928,4.587,5,0,49290255
2003,528,Países Baixos,271019,Combustíveis refinados,276,Alemanha,2805272820,32.758,1,0,8563742389
2003,528,Países Baixos,271019,Combustíveis refinados,56,Bélgica,2695588988,31.477,2,0,8563742389
2003,528,Países Baixos,271019,Combustíveis refinados,837,Bunkers,992658071,11.591,3,0,8563742389
2003,528,Países Baixos,271019,Combustíveis refinados,251,França,640415951,7.478,4,0,8563742389
2003,528,Países Baixos,271019,Combustíveis refinados,757,Suíça,229488113,2.68,5,0,8563742389
2003,528,Países Baixos,271600,Energia elétrica,56,Bélgica,577764844,79.352,1,0,728102393
2003,528,Países Baixos,271600,Energia elétrica,276,Alemanha,142088953,19.515,2,0,728102393
2003,528,Países Baixos,271600,Energia elétrica,442,Luxemburgo,5993324,0.823,3,0,728102393
2003,528,Países Baixos,271600,Energia elétrica,251,França,1313125,0.18,4,0,728102393
2003,528,Países Baixos,271600,Energia elétrica,724,Espanha,938754,0.129,5,0,728102393
2003,528,Países Baixos,760110,Alumínio em bruto,276,Alemanha,214826580,30.864,1,0,696052415
2003,528,Países Baixos,760110,Alumínio em bruto,56,Bélgica,167793856,24.106,2,0,696052415
2003,528,Países Baixos,760110,Alumínio em bruto,826,Reino Unido,97448356,14.0,3,0,696052415
2003,528,Países Baixos,760110,Alumínio em bruto,380,Itália,93556484,13.441,4,0,696052415
2003,528,Países Baixos,760110,Alumínio em bruto,251,França,42295973,6.077,5,0,696052415
2003,528,Países Baixos,870421,Veículos de mercadorias,616,Polónia,17723230,15.951,1,0,111111188
2003,528,Países Baixos,870421,Veículos de mercadorias,804,Ucrânia,12280716,11.053,2,0,111111188
2003,528,Países Baixos,870421,Veículos de mercadorias,276,Alemanha,7990722,7.192,3,0,111111188
2003,528,Países Baixos,870421,Veículos de mercadorias,566,Nigéria,7418421,6.677,4,0,111111188
2003,528,Países Baixos,870421,Veículos de mercadorias,24,Angola,5821408,5.239,5,0,111111188
2003,528,Países Baixos,870421,Veículos de mercadorias,508,Moçambique,9048,0.008,93,1,111111188
