year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,100190,Trigo comum (ed. antiga),842,EUA,20259205,46.327,direct
2003,100190,Trigo comum (ed. antiga),276,Alemanha,8813414,20.154,direct
2003,100190,Trigo comum (ed. antiga),710,África do Sul,5968895,13.649,direct
2003,100190,Trigo comum (ed. antiga),60,Bermuda,3053189,6.982,direct
2003,100190,Trigo comum (ed. antiga),32,Argentina,2460449,5.626,direct
2003,100190,Trigo comum (ed. antiga),586,Paquistão,1324758,3.029,direct
2003,100190,Trigo comum (ed. antiga),826,Reino Unido,1056238,2.415,direct
2003,100190,Trigo comum (ed. antiga),450,Madagáscar,794619,1.817,direct
2003,100630,Arroz semibranqueado ou branqueado,699,Índia,30889808,52.888,direct
2003,100630,Arroz semibranqueado ou branqueado,586,Paquistão,9877070,16.911,direct
2003,100630,Arroz semibranqueado ou branqueado,156,China,8602967,14.73,direct
2003,100630,Arroz semibranqueado ou branqueado,764,Tailândia,3576161,6.123,direct
2003,100630,Arroz semibranqueado ou branqueado,842,EUA,1855799,3.177,direct
2003,100630,Arroz semibranqueado ou branqueado,704,Vietname,1030899,1.765,direct
2003,100630,Arroz semibranqueado ou branqueado,804,Ucrânia,864133,1.48,direct
2003,100630,Arroz semibranqueado ou branqueado,784,Emirados Árabes Unidos,588189,1.007,direct
2003,151110,Óleo de palma em bruto,458,Malásia,3090158,49.21,direct
2003,151110,Óleo de palma em bruto,710,África do Sul,2437104,38.811,direct
2003,151110,Óleo de palma em bruto,360,Indonésia,599172,9.542,direct
2003,151110,Óleo de palma em bruto,156,China,125867,2.004,direct
2003,151110,Óleo de palma em bruto,504,Marrocos,14657,0.233,direct
2003,151110,Óleo de palma em bruto,757,Suíça,12525,0.199,direct
2003,252310,Clínquer,699,Índia,2114681,36.409,direct
2003,252310,Clínquer,818,Egito,1629142,28.05,direct
2003,252310,Clínquer,620,Portugal,1395142,24.021,direct
2003,252310,Clínquer,44,Bahamas,354059,6.096,direct
2003,252310,Clínquer,360,Indonésia,314445,5.414,direct
2003,252310,Clínquer,784,Emirados Árabes Unidos,317,0.005,direct
2003,252310,Clínquer,710,África do Sul,265,0.005,direct
2003,271011,Óleos leves de petróleo (ed. antiga),899,"Areas, nes",45197016,93.654,direct
2003,271011,Óleos leves de petróleo (ed. antiga),710,África do Sul,2677757,5.549,direct
2003,271011,Óleos leves de petróleo (ed. antiga),842,EUA,246601,0.511,direct
2003,271011,Óleos leves de petróleo (ed. antiga),620,Portugal,113077,0.234,direct
2003,271011,Óleos leves de petróleo (ed. antiga),414,Kuwait,12574,0.026,direct
2003,271011,Óleos leves de petróleo (ed. antiga),826,Reino Unido,5192,0.011,direct
2003,271011,Óleos leves de petróleo (ed. antiga),757,Suíça,5162,0.011,direct
2003,271011,Óleos leves de petróleo (ed. antiga),528,Países Baixos,2047,0.004,direct
2003,271019,Gasóleo e combustíveis médios e pesados,899,"Areas, nes",119046400,68.433,direct
2003,271019,Gasóleo e combustíveis médios e pesados,710,África do Sul,34642461,19.914,direct
2003,271019,Gasóleo e combustíveis médios e pesados,682,Arábia Saudita,16837405,9.679,direct
2003,271019,Gasóleo e combustíveis médios e pesados,757,Suíça,1444576,0.83,direct
2003,271019,Gasóleo e combustíveis médios e pesados,620,Portugal,1143399,0.657,direct
2003,271019,Gasóleo e combustíveis médios e pesados,414,Kuwait,712615,0.41,direct
2003,271019,Gasóleo e combustíveis médios e pesados,251,França,44947,0.026,direct
2003,271019,Gasóleo e combustíveis médios e pesados,842,EUA,37210,0.021,direct
2003,271113,Butano liquefeito,899,"Areas, nes",2300844,99.961,direct
2003,271113,Butano liquefeito,710,África do Sul,705,0.031,direct
2003,271113,Butano liquefeito,784,Emirados Árabes Unidos,193,0.008,direct
2003,271312,Coque de petróleo e betume,710,África do Sul,13204,100.0,direct
2003,271600,Energia elétrica,710,África do Sul,49542952,99.992,direct
2003,271600,Energia elétrica,454,Malawi,2255,0.005,direct
2003,271600,Energia elétrica,716,Zimbabué,1639,0.003,direct
2003,300490,Medicamentos,699,Índia,5288633,39.397,direct
2003,300490,Medicamentos,620,Portugal,1762884,13.133,direct
2003,300490,Medicamentos,710,África do Sul,1638381,12.205,direct
2003,300490,Medicamentos,156,China,979458,7.296,direct
2003,300490,Medicamentos,208,Dinamarca,867648,6.464,direct
2003,300490,Medicamentos,752,Suécia,836455,6.231,direct
2003,300490,Medicamentos,818,Egito,570479,4.25,direct
2003,300490,Medicamentos,842,EUA,347361,2.588,direct
2003,630900,Vestuário usado,124,Canadá,3132194,36.242,direct
2003,630900,Vestuário usado,842,EUA,1946257,22.52,direct
2003,630900,Vestuário usado,36,Austrália,1084198,12.545,direct
2003,630900,Vestuário usado,380,Itália,432434,5.004,direct
2003,630900,Vestuário usado,724,Espanha,401917,4.651,direct
2003,630900,Vestuário usado,276,Alemanha,391000,4.524,direct
2003,630900,Vestuário usado,208,Dinamarca,358205,4.145,direct
2003,630900,Vestuário usado,784,Emirados Árabes Unidos,144166,1.668,direct
2003,721420,Varões de ferro com saliências (betão armado),710,África do Sul,2049082,91.474,direct
2003,721420,Varões de ferro com saliências (betão armado),156,China,171640,7.662,direct
2003,721420,Varões de ferro com saliências (betão armado),899,"Areas, nes",15932,0.711,direct
2003,721420,Varões de ferro com saliências (betão armado),251,França,3423,0.153,direct
2003,730890,Outras estruturas de ferro ou aço,710,África do Sul,6057496,72.65,direct
2003,730890,Outras estruturas de ferro ou aço,699,Índia,532453,6.386,direct
2003,730890,Outras estruturas de ferro ou aço,724,Espanha,511535,6.135,direct
2003,730890,Outras estruturas de ferro ou aço,620,Portugal,248614,2.982,direct
2003,730890,Outras estruturas de ferro ou aço,842,EUA,202549,2.429,direct
2003,730890,Outras estruturas de ferro ou aço,251,França,198909,2.386,direct
2003,730890,Outras estruturas de ferro ou aço,246,Finlândia,180950,2.17,direct
2003,730890,Outras estruturas de ferro ou aço,276,Alemanha,115238,1.382,direct
2003,760110,"Alumínio não ligado, em bruto",724,Espanha,722,100.0,direct
2003,870120,Tratores rodoviários,710,África do Sul,5128949,48.916,direct
2003,870120,Tratores rodoviários,842,EUA,4074294,38.858,direct
2003,870120,Tratores rodoviários,380,Itália,314284,2.997,direct
2003,870120,Tratores rodoviários,826,Reino Unido,272681,2.601,direct
2003,870120,Tratores rodoviários,276,Alemanha,216458,2.064,direct
2003,870120,Tratores rodoviários,392,Japão,137032,1.307,direct
2003,870120,Tratores rodoviários,716,Zimbabué,80682,0.769,direct
2003,870120,Tratores rodoviários,620,Portugal,59200,0.565,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,392,Japão,3322110,41.788,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,710,África do Sul,2410114,30.316,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,410,Coreia do Sul,1705148,21.449,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,251,França,194106,2.442,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,702,Singapura,126567,1.592,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,724,Espanha,99641,1.253,direct
2003,870322,Automóveis a gasolina 1.000–1.500 cm³,620,Portugal,24748,0.311,direct
