year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,030613,Camarões congelados,724,Espanha,37279101,49.215,direct
2003,030613,Camarões congelados,620,Portugal,15461425,20.412,direct
2003,030613,Camarões congelados,710,África do Sul,8725043,11.519,direct
2003,030613,Camarões congelados,392,Japão,6864684,9.063,direct
2003,030613,Camarões congelados,899,"Areas, nes",3893799,5.14,direct
2003,030613,Camarões congelados,344,Hong Kong (RAEHK),1246735,1.646,direct
2003,030613,Camarões congelados,380,Itália,714039,0.943,direct
2003,030613,Camarões congelados,251,França,671288,0.886,direct
2003,071390,Outras leguminosas secas,699,Índia,48479,54.541,direct
2003,071390,Outras leguminosas secas,454,Malawi,40406,45.459,direct
2003,080131,Castanha de caju com casca,899,"Areas, nes",7532770,87.802,direct
2003,080131,Castanha de caju com casca,699,Índia,676647,7.887,direct
2003,080131,Castanha de caju com casca,702,Singapura,369400,4.306,direct
2003,080131,Castanha de caju com casca,710,África do Sul,489,0.006,direct
2003,120740,Sementes de sésamo (gergelim),392,Japão,1996451,69.551,direct
2003,120740,Sementes de sésamo (gergelim),792,Turquia,538387,18.756,direct
2003,120740,Sementes de sésamo (gergelim),380,Itália,163326,5.69,direct
2003,120740,Sementes de sésamo (gergelim),899,"Areas, nes",50390,1.755,direct
2003,120740,Sementes de sésamo (gergelim),156,China,49004,1.707,direct
2003,120740,Sementes de sésamo (gergelim),699,Índia,48485,1.689,direct
2003,120740,Sementes de sésamo (gergelim),710,África do Sul,24427,0.851,direct
2003,170111,"Açúcar de cana, em bruto",620,Portugal,6842171,42.516,direct
2003,170111,"Açúcar de cana, em bruto",842,EUA,5103266,31.711,direct
2003,170111,"Açúcar de cana, em bruto",899,"Areas, nes",2109451,13.108,direct
2003,170111,"Açúcar de cana, em bruto",826,Reino Unido,1370819,8.518,direct
2003,170111,"Açúcar de cana, em bruto",404,Quénia,545203,3.388,direct
2003,170111,"Açúcar de cana, em bruto",178,Congo,75214,0.467,direct
2003,170111,"Açúcar de cana, em bruto",450,Madagáscar,47028,0.292,direct
2003,170111,"Açúcar de cana, em bruto",454,Malawi,139,0.001,direct
2003,240120,Tabaco destalado,710,África do Sul,1211874,100.0,direct
2003,250590,Areias naturais,710,África do Sul,72,100.0,direct
2003,261400,Minério de titânio,710,África do Sul,2437,95.27,direct
2003,261400,Minério de titânio,899,"Areas, nes",121,4.73,direct
2003,270119,Outros carvões minerais,454,Malawi,371193,71.373,direct
2003,270119,Outros carvões minerais,716,Zimbabué,84643,16.275,direct
2003,270119,Outros carvões minerais,894,Zâmbia,64235,12.351,direct
2003,270119,Outros carvões minerais,710,África do Sul,4,0.001,direct
2003,271019,Gasóleo e combustíveis médios e pesados,899,"Areas, nes",13533142,74.772,direct
