year,partner_code,partner,value,share_pct,rank,basis
2003,899,"Areas, nes",634711994,60.801,1,direct
2003,710,África do Sul,169636392,16.25,2,direct
2003,724,Espanha,41602863,3.985,3,direct
2003,620,Portugal,38909683,3.727,4,direct
2003,454,Malawi,32836908,3.146,5,direct
2003,716,Zimbabué,29467994,2.823,6,direct
2003,748,Eswatini,17454361,1.672,7,direct
2003,842,EUA,15881724,1.521,8,direct
2003,392,Japão,9201497,0.881,9,direct
2003,344,Hong Kong (RAEHK),6249407,0.599,10,direct
2003,56,Bélgica,309987179,28.347,1,mirror
2003,380,Itália,111944877,10.237,2,mirror
2003,724,Espanha,109214610,9.987,3,mirror
2003,276,Alemanha,97394000,8.906,4,mirror
2003,826,Reino Unido,46182380,4.223,5,mirror
2003,620,Portugal,43444279,3.973,6,mirror
2003,454,Malawi,41986169,3.84,7,mirror
2003,528,Países Baixos,41303430,3.777,8,mirror
2003,748,Eswatini,37986152,3.474,9,mirror
2003,710,África do Sul,37096025,3.392,10,mirror
2004,528,Países Baixos,916534971,60.946,1,direct
2004,710,África do Sul,211429991,14.059,2,direct
2004,899,"Areas, nes",57580818,3.829,3,direct
2004,454,Malawi,49528774,3.293,4,direct
2004,620,Portugal,46960614,3.123,5,direct
2004,724,Espanha,37936038,2.523,6,direct
2004,716,Zimbabué,33393334,2.221,7,direct
2004,699,Índia,32954412,2.191,8,direct
2004,156,China,21390760,1.422,9,direct
2004,392,Japão,12784046,0.85,10,direct
2004,56,Bélgica,468464105,27.937,1,mirror
2004,380,Itália,211706835,12.625,2,mirror
2004,724,Espanha,185612205,11.069,3,mirror
2004,276,Alemanha,151711000,9.047,4,mirror
2004,454,Malawi,125934108,7.51,5,mirror
2004,716,Zimbabué,107677052,6.421,6,mirror
2004,826,Reino Unido,90748881,5.412,7,mirror
2004,156,China,44286108,2.641,8,mirror
2004,699,Índia,36999858,2.207,9,mirror
2004,620,Portugal,32424392,1.934,10,mirror
2005,528,Países Baixos,1042900074,59.756,1,direct
2005,710,África do Sul,280369236,16.065,2,direct
2005,899,"Areas, nes",109825033,6.293,3,direct
2005,454,Malawi,49385039,2.83,4,direct
2005,716,Zimbabué,45977266,2.634,5,direct
2005,156,China,34130204,1.956,6,direct
2005,724,Espanha,32887469,1.884,7,direct
2005,699,Índia,26582413,1.523,8,direct
2005,620,Portugal,21903230,1.255,9,direct
2005,842,EUA,17760518,1.018,10,direct
2005,56,Bélgica,509814026,24.107,1,mirror
2005,724,Espanha,252592700,11.944,2,mirror
2005,380,Itália,232198298,10.98,3,mirror
2005,716,Zimbabué,162428872,7.681,4,mirror
2005,276,Alemanha,153576000,7.262,5,mirror
2005,454,Malawi,148391313,7.017,6,mirror
2005,826,Reino Unido,132043768,6.244,7,mirror
2005,156,China,73527324,3.477,8,mirror
2005,528,Países Baixos,70609568,3.339,9,mirror
2005,748,Eswatini,57314781,2.71,10,mirror
2006,899,"Areas, nes",1522607543,63.945,1,direct
2006,710,África do Sul,361707189,15.191,2,direct
2006,716,Zimbabué,76128166,3.197,3,direct
2006,757,Suíça,52635930,2.211,4,direct
2006,724,Espanha,43495362,1.827,5,direct
2006,156,China,32939441,1.383,6,direct
2006,699,Índia,30197013,1.268,7,direct
2006,620,Portugal,29738125,1.249,8,direct
2006,276,Alemanha,25871073,1.087,9,direct
2006,454,Malawi,24738387,1.039,10,direct
2006,56,Bélgica,565927641,21.741,1,mirror
2006,380,Itália,424495868,16.308,2,mirror
2006,724,Espanha,254353492,9.771,3,mirror
2006,826,Reino Unido,242061292,9.299,4,mirror
2006,716,Zimbabué,184880101,7.102,5,mirror
2006,454,Malawi,151671201,5.827,6,mirror
2006,276,Alemanha,150101000,5.766,7,mirror
2006,156,China,79772228,3.065,8,mirror
2006,757,Suíça,52368426,2.012,9,mirror
2006,710,África do Sul,47610611,1.829,10,mirror
2007,899,"Areas, nes",1584053214,65.672,1,direct
2007,710,África do Sul,429339068,17.8,2,direct
2007,716,Zimbabué,73328576,3.04,3,direct
2007,156,China,44040728,1.826,4,direct
2007,620,Portugal,39937682,1.656,5,direct
2007,724,Espanha,33837122,1.403,6,direct
2007,826,Reino Unido,24685073,1.023,7,direct
2007,404,Quénia,22090092,0.916,8,direct
2007,454,Malawi,17425987,0.722,9,direct
2007,699,Índia,15915095,0.66,10,direct
2007,380,Itália,585425646,18.382,1,mirror
2007,56,Bélgica,555464121,17.441,2,mirror
2007,724,Espanha,376921579,11.835,3,mirror
2007,710,África do Sul,340048461,10.677,4,mirror
2007,826,Reino Unido,220041230,6.909,5,mirror
2007,454,Malawi,166453219,5.227,6,mirror
2007,276,Alemanha,156638000,4.918,7,mirror
2007,156,China,124248069,3.901,8,mirror
2007,716,Zimbabué,123124047,3.866,9,mirror
2007,757,Suíça,75624845,2.375,10,mirror
2008,528,Países Baixos,1476381111,55.644,1,direct
2008,899,"Areas, nes",321160028,12.104,2,direct
2008,710,África do Sul,265540514,10.008,3,direct
2008,716,Zimbabué,81346658,3.066,4,direct
2008,156,China,51604163,1.945,5,direct
2008,724,Espanha,51047849,1.924,6,direct
2008,454,Malawi,46767848,1.763,7,direct
2008,699,Índia,28401005,1.07,8,direct
2008,620,Portugal,26412548,0.995,9,direct
2008,56,Bélgica,25016569,0.943,10,direct
2008,710,África do Sul,398463870,14.068,1,mirror
2008,380,Itália,383284005,13.532,2,mirror
2008,56,Bélgica,296632807,10.473,3,mirror
2008,724,Espanha,294575790,10.4,4,mirror
2008,454,Malawi,278915662,9.847,5,mirror
2008,826,Reino Unido,134438608,4.746,6,mirror
2008,276,Alemanha,133299130,4.706,7,mirror
2008,156,China,125882374,4.444,8,mirror
2008,757,Suíça,118373764,4.179,9,mirror
2008,716,Zimbabué,65886252,2.326,10,mirror
2009,528,Países Baixos,893933251,41.633,1,direct
2009,710,África do Sul,460308742,21.438,2,direct
2009,899,"Areas, nes",88437089,4.119,3,direct
2009,156,China,74477597,3.469,4,direct
2009,716,Zimbabué,73797826,3.437,5,direct
2009,699,Índia,56511897,2.632,6,direct
2009,454,Malawi,46708698,2.175,7,direct
2009,842,EUA,41431353,1.93,8,direct
2009,620,Portugal,32189271,1.499,9,direct
2009,724,Espanha,31442818,1.464,10,direct
2009,710,África do Sul,420011728,16.752,1,mirror
2009,56,Bélgica,294796988,11.758,2,mirror
2009,454,Malawi,259234854,10.339,3,mirror
2009,380,Itália,224170238,8.941,4,mirror
2009,724,Espanha,184565726,7.361,5,mirror
2009,156,China,177554369,7.082,6,mirror
2009,716,Zimbabué,104571587,4.171,7,mirror
2009,276,Alemanha,100452725,4.006,8,mirror
2009,826,Reino Unido,71444555,2.849,9,mirror
2009,792,Turquia,66179337,2.639,10,mirror
2010,528,Países Baixos,1181947785,52.693,1,direct
2010,710,África do Sul,467224448,20.83,2,direct
2010,620,Portugal,108344256,4.83,3,direct
2010,156,China,79567735,3.547,4,direct
2010,716,Zimbabué,72069109,3.213,5,direct
2010,724,Espanha,30602490,1.364,6,direct
2010,699,Índia,30434646,1.357,7,direct
2010,454,Malawi,26969616,1.202,8,direct
2010,276,Alemanha,20398700,0.909,9,direct
2010,899,"Areas, nes",19378003,0.864,10,direct
2010,710,África do Sul,526391644,17.471,1,mirror
2010,380,Itália,440193375,14.61,2,mirror
2010,724,Espanha,252943605,8.395,3,mirror
2010,156,China,201077529,6.674,4,mirror
2010,276,Alemanha,185996963,6.173,5,mirror
2010,56,Bélgica,173450282,5.757,6,mirror
2010,716,Zimbabué,164727816,5.467,7,mirror
2010,826,Reino Unido,108717242,3.608,8,mirror
2010,246,Finlândia,89760880,2.979,9,mirror
2010,699,Índia,86736461,2.879,10,mirror
2011,528,Países Baixos,1402144000,38.904,1,direct
2011,710,África do Sul,583952000,16.202,2,direct
2011,826,Reino Unido,198723000,5.514,3,direct
2011,156,China,167692000,4.653,4,direct
2011,364,Irão,151722000,4.21,5,direct
2011,458,Malásia,139829000,3.88,6,direct
2011,716,Zimbabué,127273000,3.531,7,direct
2011,757,Suíça,99812000,2.769,8,direct
2011,699,Índia,87226000,2.42,9,direct
2011,724,Espanha,83364000,2.313,10,direct
2011,710,África do Sul,1052718850,27.689,1,mirror
2011,380,Itália,459792365,12.093,2,mirror
2011,724,Espanha,329376341,8.663,3,mirror
2011,156,China,257241199,6.766,4,mirror
2011,276,Alemanha,179208969,4.714,5,mirror
2011,716,Zimbabué,168770417,4.439,6,mirror
2011,826,Reino Unido,124483996,3.274,7,mirror
2011,699,Índia,122543641,3.223,8,mirror
2011,251,França,73403373,1.931,9,mirror
2011,705,Eslovénia,72938060,1.918,10,mirror
2012,528,Países Baixos,921432365,26.555,1,direct
2012,710,África do Sul,666799860,19.217,2,direct
2012,156,China,637337269,18.368,3,direct
2012,826,Reino Unido,177193653,5.107,4,direct
2012,699,Índia,155071477,4.469,5,direct
2012,380,Itália,107959152,3.111,6,direct
2012,757,Suíça,87165827,2.512,7,direct
2012,716,Zimbabué,82910322,2.389,8,direct
2012,842,EUA,61943447,1.785,9,direct
2012,724,Espanha,50911153,1.467,10,direct
2012,710,África do Sul,1269667468,27.686,1,mirror
2012,156,China,403320479,8.795,2,mirror
2012,380,Itália,353832257,7.716,3,mirror
2012,724,Espanha,281112175,6.13,4,mirror
2012,699,Índia,267569053,5.835,5,mirror
2012,454,Malawi,247552073,5.398,6,mirror
2012,276,Alemanha,161353613,3.518,7,mirror
2012,716,Zimbabué,157895994,3.443,8,mirror
2012,792,Turquia,156385102,3.41,9,mirror
2012,56,Bélgica,94220802,2.055,10,mirror
2013,528,Países Baixos,1150608451,28.596,1,direct
2013,710,África do Sul,901547774,22.406,2,direct
2013,699,Índia,679568019,16.889,3,direct
2013,842,EUA,143562228,3.568,4,direct
2013,156,China,104979956,2.609,5,direct
2013,620,Portugal,104239244,2.591,6,direct
