year,partner_code,partner,value,share_pct,rank,basis
2003,710,África do Sul,587719950,33.527,1,direct
2003,899,"Areas, nes",544601274,31.067,2,direct
2003,699,Índia,68041120,3.881,3,direct
2003,620,Portugal,62250025,3.551,4,direct
2003,842,EUA,60903485,3.474,5,direct
2003,156,China,40625460,2.317,6,direct
2003,276,Alemanha,36585357,2.087,7,direct
2003,251,França,35362908,2.017,8,direct
2003,392,Japão,29786993,1.699,9,direct
2003,724,Espanha,27583668,1.574,10,direct
2003,710,África do Sul,745571909,43.796,1,mirror
2003,36,Austrália,146317617,8.595,2,mirror
2003,748,Eswatini,120818292,7.097,3,mirror
2003,842,EUA,62076734,3.646,4,mirror
2003,620,Portugal,61230079,3.597,5,mirror
2003,699,Índia,60109269,3.531,6,mirror
2003,156,China,45028314,2.645,7,mirror
2003,716,Zimbabué,40994988,2.408,8,mirror
2003,251,França,37311839,2.192,9,mirror
2003,276,Alemanha,33079000,1.943,10,mirror
2004,710,África do Sul,666856563,32.775,1,direct
2004,899,"Areas, nes",616859846,30.317,2,direct
2004,620,Portugal,70589807,3.469,3,direct
2004,699,Índia,63715738,3.131,4,direct
2004,842,EUA,48433610,2.38,5,direct
2004,156,China,40270002,1.979,6,direct
2004,251,França,35746492,1.757,7,direct
2004,208,Dinamarca,34778319,1.709,8,direct
2004,764,Tailândia,30820513,1.515,9,direct
2004,724,Espanha,25770913,1.267,10,direct
2004,710,África do Sul,787662744,35.827,1,mirror
2004,36,Austrália,261183984,11.88,2,mirror
2004,748,Eswatini,159911431,7.274,3,mirror
2004,716,Zimbabué,118594661,5.394,4,mirror
2004,842,EUA,76450499,3.477,5,mirror
2004,156,China,75154316,3.418,6,mirror
2004,699,Índia,73939275,3.363,7,mirror
2004,620,Portugal,68222981,3.103,8,mirror
2004,32,Argentina,48614126,2.211,9,mirror
2004,251,França,41682597,1.896,10,mirror
2005,710,África do Sul,980800761,40.728,1,direct
2005,528,Países Baixos,300406435,12.474,2,direct
2005,699,Índia,96724302,4.016,3,direct
2005,899,"Areas, nes",94929626,3.942,4,direct
2005,620,Portugal,85357778,3.544,5,direct
2005,842,EUA,70894801,2.944,6,direct
2005,156,China,68288924,2.836,7,direct
2005,392,Japão,62593616,2.599,8,direct
2005,764,Tailândia,42560919,1.767,9,direct
2005,784,Emirados Árabes Unidos,37885254,1.573,10,direct
2005,710,África do Sul,991828776,39.863,1,mirror
2005,36,Austrália,321763796,12.932,2,mirror
2005,699,Índia,112017603,4.502,3,mirror
2005,748,Eswatini,96604554,3.883,4,mirror
2005,156,China,91477874,3.677,5,mirror
2005,620,Portugal,80015819,3.216,6,mirror
2005,716,Zimbabué,68950298,2.771,7,mirror
2005,842,EUA,62825299,2.525,8,mirror
2005,586,Paquistão,43356634,1.743,9,mirror
2005,764,Tailândia,42533138,1.709,10,mirror
2006,710,África do Sul,947936434,33.037,1,direct
2006,528,Países Baixos,371111137,12.934,2,direct
2006,899,"Areas, nes",180793807,6.301,3,direct
2006,699,Índia,136842428,4.769,4,direct
2006,784,Emirados Árabes Unidos,114184199,3.979,5,direct
2006,842,EUA,101588433,3.54,6,direct
2006,620,Portugal,89512783,3.12,7,direct
2006,156,China,82660330,2.881,8,direct
2006,392,Japão,67344989,2.347,9,direct
2006,276,Alemanha,61626495,2.148,10,direct
2006,710,África do Sul,908804347,32.914,1,mirror
2006,36,Austrália,315570123,11.429,2,mirror
2006,748,Eswatini,247437315,8.961,3,mirror
2006,699,Índia,174934745,6.336,4,mirror
2006,156,China,127940363,4.634,5,mirror
