year,hs6,description_pt,value,share_pct,rank,basis
2003,760110,Alumínio em bruto,567600000,54.372,1,direct
2003,271600,Energia elétrica,113219289,10.846,2,direct
2003,030613,Crustáceos,75747916,7.256,3,direct
2003,240110,Tabaco não manufaturado,20250934,1.94,4,direct
2003,520100,Algodão em fibra,20168825,1.932,5,direct
2003,271019,Combustíveis refinados,18099303,1.734,6,direct
2003,520300,Algodão cardado ou penteado,17081726,1.636,7,direct
2003,170111,Açúcar de cana ou de beterraba,16093291,1.542,8,direct
2003,030219,Peixe fresco ou refrigerado,14202161,1.36,9,direct
2003,610910,T-shirts e camisetas de malha,9478132,0.908,10,direct
2003,760110,Alumínio em bruto,586214981,53.608,1,mirror
2003,030613,Crustáceos,83417826,7.628,2,mirror
2003,760120,Alumínio em bruto,65738578,6.012,3,mirror
2003,271600,Energia elétrica,41191515,3.767,4,mirror
2003,240120,Tabaco não manufaturado,40427337,3.697,5,mirror
2003,520100,Algodão em fibra,34177234,3.125,6,mirror
2003,080131,"Cocos, castanhas de caju e nozes",20515669,1.876,7,mirror
2003,999999,Mercadorias não especificadas,16942922,1.549,8,mirror
2003,170111,Açúcar de cana ou de beterraba,16765172,1.533,9,mirror
2003,270119,Carvão mineral,7552125,0.691,10,mirror
2004,760429,Varões e perfis de alumínio,915014125,60.845,1,direct
2004,271600,Energia elétrica,102251931,6.799,2,direct
2004,030613,Crustáceos,91505574,6.085,3,direct
2004,271019,Combustíveis refinados,39963482,2.657,4,direct
2004,271121,Gás natural e outros gases de petróleo,31273032,2.08,5,direct
2004,240110,Tabaco não manufaturado,30309915,2.015,6,direct
2004,170111,Açúcar de cana ou de beterraba,23576399,1.568,7,direct
2004,080131,"Cocos, castanhas de caju e nozes",21209189,1.41,8,direct
2004,520100,Algodão em fibra,19922435,1.325,9,direct
2004,440399,Madeira em bruto,14848951,0.987,10,direct
2004,760110,Alumínio em bruto,987894622,58.914,1,mirror
2004,760120,Alumínio em bruto,93402942,5.57,2,mirror
2004,030613,Crustáceos,78143560,4.66,3,mirror
2004,240120,Tabaco não manufaturado,44775709,2.67,4,mirror
2004,271019,Combustíveis refinados,31237440,1.863,5,mirror
2004,080131,"Cocos, castanhas de caju e nozes",29763930,1.775,6,mirror
2004,520100,Algodão em fibra,28217865,1.683,7,mirror
2004,170111,Açúcar de cana ou de beterraba,22172946,1.322,8,mirror
2004,270119,Carvão mineral,12537357,0.748,9,mirror
2004,120740,Outras sementes oleaginosas,10072867,0.601,10,mirror
2005,760110,Alumínio em bruto,1020548586,58.476,1,direct
2005,271600,Energia elétrica,141800425,8.125,2,direct
2005,271121,Gás natural e outros gases de petróleo,100158083,5.739,3,direct
2005,030613,Crustáceos,71670586,4.107,4,direct
2005,520100,Algodão em fibra,40377712,2.314,5,direct
2005,240110,Tabaco não manufaturado,38736128,2.22,6,direct
2005,170111,Açúcar de cana ou de beterraba,37700267,2.16,7,direct
2005,490700,Selos e títulos de valor,18548017,1.063,8,direct
2005,080131,"Cocos, castanhas de caju e nozes",17531806,1.005,9,direct
2005,090240,Chá,16993858,0.974,10,direct
2005,760110,Alumínio em bruto,1172106924,55.425,1,mirror
2005,271600,Energia elétrica,157886245,7.466,2,mirror
2005,760120,Alumínio em bruto,114985137,5.437,3,mirror
2005,030613,Crustáceos,103066396,4.874,4,mirror
2005,240120,Tabaco não manufaturado,69277842,3.276,5,mirror
2005,170111,Açúcar de cana ou de beterraba,34179462,1.616,6,mirror
2005,080131,"Cocos, castanhas de caju e nozes",27683576,1.309,7,mirror
2005,520100,Algodão em fibra,27275273,1.29,8,mirror
2005,270119,Carvão mineral,20729033,0.98,9,mirror
2005,271019,Combustíveis refinados,13720049,0.649,10,mirror
2006,760110,Alumínio em bruto,1401314661,58.851,1,direct
2006,271600,Energia elétrica,177829989,7.468,2,direct
2006,271121,Gás natural e outros gases de petróleo,109605547,4.603,3,direct
2006,030613,Crustáceos,86268693,3.623,4,direct
2006,240120,Tabaco não manufaturado,78842114,3.311,5,direct
2006,271019,Combustíveis refinados,48781332,2.049,6,direct
2006,999999,Mercadorias não especificadas,37600646,1.579,7,direct
2006,520100,Algodão em fibra,36841473,1.547,8,direct
2006,240110,Tabaco não manufaturado,31466751,1.322,9,direct
2006,170111,Açúcar de cana ou de beterraba,30535299,1.282,10,direct
2006,760110,Alumínio em bruto,1528176794,58.707,1,mirror
2006,760120,Alumínio em bruto,117170054,4.501,2,mirror
2006,240120,Tabaco não manufaturado,110664523,4.251,3,mirror
2006,271019,Combustíveis refinados,108299313,4.16,4,mirror
2006,030613,Crustáceos,95951677,3.686,5,mirror
2006,999999,Mercadorias não especificadas,49895889,1.917,6,mirror
2006,170111,Açúcar de cana ou de beterraba,41732774,1.603,7,mirror
2006,520100,Algodão em fibra,37493878,1.44,8,mirror
2006,080131,"Cocos, castanhas de caju e nozes",20145457,0.774,9,mirror
2006,271600,Energia elétrica,14681309,0.564,10,mirror
2007,760110,Alumínio em bruto,1515924885,62.847,1,direct
2007,271600,Energia elétrica,225286769,9.34,2,direct
2007,271121,Gás natural e outros gases de petróleo,110889096,4.597,3,direct
2007,030613,Crustáceos,61690736,2.558,4,direct
2007,170111,Açúcar de cana ou de beterraba,59029369,2.447,5,direct
2007,240120,Tabaco não manufaturado,43314523,1.796,6,direct
2007,271019,Combustíveis refinados,29677875,1.23,7,direct
2007,520100,Algodão em fibra,19597177,0.812,8,direct
2007,490700,Selos e títulos de valor,17791720,0.738,9,direct
2007,999999,Mercadorias não especificadas,17730929,0.735,10,direct
2007,760110,Alumínio em bruto,1603959571,50.364,1,mirror
2007,240120,Tabaco não manufaturado,151703378,4.763,2,mirror
2007,760120,Alumínio em bruto,148289560,4.656,3,mirror
2007,271111,Gás natural e outros gases de petróleo,118361692,3.717,4,mirror
2007,271600,Energia elétrica,117730024,3.697,5,mirror
2007,271019,Combustíveis refinados,106423860,3.342,6,mirror
2007,030613,Crustáceos,96039059,3.016,7,mirror
