year,hs6,description_pt,value,share_pct,rank,basis
2003,999999,Mercadorias não especificadas,338413892,19.305,1,direct
2003,271019,Gasóleo e combustíveis médios e pesados,173960109,9.924,2,direct
2003,100630,Arroz semibranqueado ou branqueado,58406080,3.332,3,direct
2003,271600,Energia elétrica,49546846,2.826,4,direct
2003,271011,Óleos leves de petróleo (ed. antiga),48259433,2.753,5,direct
2003,100190,Trigo comum (ed. antiga),43730768,2.495,6,direct
2003,870421,Camiões diesel até 5 t,38310749,2.185,7,direct
2003,870323,Automóveis a gasolina 1.500–3.000 cm³,28740436,1.64,8,direct
2003,320890,Tintas e vernizes,25530767,1.456,9,direct
2003,851730,Aparelhos de comutação telefónica,16670814,0.951,10,direct
2003,271011,Óleos leves de petróleo (ed. antiga),109614445,6.439,1,mirror
2003,100190,Trigo comum (ed. antiga),54143060,3.18,2,mirror
2003,100630,Arroz semibranqueado ou branqueado,34909727,2.051,3,mirror
2003,870421,Camiões diesel até 5 t,23549057,1.383,4,mirror
2003,999999,Mercadorias não especificadas,15073496,0.885,5,mirror
2003,730890,Outras estruturas de ferro ou aço,11212682,0.659,6,mirror
2003,271312,Coque de petróleo e betume,10820879,0.636,7,mirror
2003,870323,Automóveis a gasolina 1.500–3.000 cm³,10012912,0.588,8,mirror
2003,630900,Vestuário usado,9361996,0.55,9,mirror
2003,300490,Medicamentos,8249219,0.485,10,mirror
2004,999999,Mercadorias não especificadas,317480888,15.604,1,direct
2004,271019,Gasóleo e combustíveis médios e pesados,168994617,8.306,2,direct
2004,100630,Arroz semibranqueado ou branqueado,82523791,4.056,3,direct
2004,271600,Energia elétrica,67492452,3.317,4,direct
2004,271011,Óleos leves de petróleo (ed. antiga),67010444,3.293,5,direct
2004,100190,Trigo comum (ed. antiga),53312449,2.62,6,direct
2004,870421,Camiões diesel até 5 t,51697206,2.541,7,direct
2004,900719,Câmaras cinematográficas,39281225,1.931,8,direct
2004,401511,Luvas e vestuário de borracha,27322836,1.343,9,direct
2004,030379,Outro peixe congelado (ed. antiga),24653162,1.212,10,direct
2004,271011,Óleos leves de petróleo (ed. antiga),163212283,7.424,1,mirror
2004,100190,Trigo comum (ed. antiga),82483178,3.752,2,mirror
2004,100630,Arroz semibranqueado ou branqueado,58425649,2.658,3,mirror
2004,870421,Camiões diesel até 5 t,23239846,1.057,4,mirror
2004,300490,Medicamentos,15216150,0.692,5,mirror
2004,999999,Mercadorias não especificadas,12559262,0.571,6,mirror
2004,271019,Gasóleo e combustíveis médios e pesados,11966366,0.544,7,mirror
2004,630900,Vestuário usado,11293680,0.514,8,mirror
2004,870323,Automóveis a gasolina 1.500–3.000 cm³,10075791,0.458,9,mirror
2004,730890,Outras estruturas de ferro ou aço,8973292,0.408,10,mirror
2005,999999,Mercadorias não especificadas,631617167,26.228,1,direct
2005,100630,Arroz semibranqueado ou branqueado,108450206,4.503,2,direct
2005,870421,Camiões diesel até 5 t,83479247,3.466,3,direct
2005,271600,Energia elétrica,79773662,3.313,4,direct
2005,100190,Trigo comum (ed. antiga),49111721,2.039,5,direct
2005,271019,Gasóleo e combustíveis médios e pesados,28653767,1.19,6,direct
