year,basis,exports,imports,trade_volume,balance
2003,direct,1043912538,1752997456,2796909994,-709084918
2003,mirror,1093528127,1702369468,2795897595,-608841341
2004,direct,1503846229,2034671767,3538517996,-530825538
2004,mirror,1676851731,2198506285,3875358016,-521654554
2005,direct,1745256187,2408195310,4153451497,-662939123
2005,mirror,2114760461,2488115730,4602876191,-373355269
2006,direct,2381131616,2869326549,5250458165,-488194933
2006,mirror,2603058572,2761122412,5364180984,-158063840
2007,direct,2412078629,3049746128,5461824757,-637667499
2007,mirror,3184753797,3711261651,6896015448,-526507854
2008,direct,2653259648,4007763192,6661022840,-1354503544
2008,mirror,2832457927,4323369174,7155827101,-1490911247
2009,direct,2147169453,3764206586,5911376039,-1617037133
2009,mirror,2507283755,4456063348,6963347103,-1948779593
2010,direct,2243068881,3564229509,5807298390,-1321160628
2010,mirror,3012998182,5279513515,8292511697,-2266515333
2011,direct,3604118000,6305647000,9909765000,-2701529000
2011,mirror,3801998090,7217084396,11019082486,-3415086306
2012,direct,3469851707,6177209677,9647061384,-2707357970
2012,mirror,4585973065,7888580656,12474553721,-3302607591
2013,direct,4023718958,10099147182,14122866140,-6075428224
2013,mirror,5221442965,10220053078,15441496043,-4998610113
2014,direct,4725331362,8743074259,13468405621,-4017742897
2014,mirror,6067266099,12203761721,18271027820,-6136495622
2015,direct,3230743671,7907621609,11138365280,-4676877938
2015,mirror,4359005691,9596380318,13955386009,-5237374627
2016,direct,3352109244,5295312574,8647421818,-1943203330
2016,mirror,4354557856,7393218281,11747776137,-3038660425
2017,direct,4754835920,5741355863,10496191783,-986519943
2017,mirror,6052592942,8648684030,14701276972,-2596091088
2018,direct,6036569691,7729704927,13766274618,-1693135236
2018,mirror,6719923628,9956660840,16676584468,-3236737212
2019,direct,4786746249,7698925389,12485671638,-2912179140
2019,mirror,6132796217,12320474568,18453270785,-6187678351
2020,direct,3719930900,6514086230,10234017130,-2794155330
2020,mirror,4929129115,10994368688,15923497803,-6065239573
2021,direct,5704483311,8758084048,14462567359,-3053600737
2021,mirror,7387955552,17232355967,24620311519,-9844400415
2022,direct,8298873676,14670984876,22969858552,-6372111200
2022,mirror,11367716622,18149709165,29517425787,-6781992543
2023,direct,8275973000,10091853000,18367826000,-1815880000
2023,mirror,10823693613,18593145002,29416838615,-7769451389
2024,direct,8211288502,9212646956,17423935458,-1001358454
2024,mirror,10700345617,15395639448,26095985065,-4695293831
