year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,251,França,220421,Vinho,620,Portugal,108145740,34.818,1,1,310604312
2003,251,França,220421,Vinho,380,Itália,49794405,16.031,2,0,310604312
2003,251,França,220421,Vinho,251,França,27623974,8.894,3,0,310604312
2003,251,França,220421,Vinho,724,Espanha,27003071,8.694,4,0,310604312
2003,251,França,220421,Vinho,36,Austrália,17956432,5.781,5,0,310604312
2003,251,França,220421,Vinho,826,Reino Unido,13212007,4.254,6,0,310604312
2003,251,França,271019,Combustíveis refinados,643,Rússia,1065904278,19.559,1,0,5449597749
2003,251,França,271019,Combustíveis refinados,276,Alemanha,559888483,10.274,2,0,5449597749
2003,251,França,271019,Combustíveis refinados,826,Reino Unido,555729901,10.198,3,0,5449597749
2003,251,França,271019,Combustíveis refinados,380,Itália,520249069,9.547,4,0,5449597749
2003,251,França,271019,Combustíveis refinados,56,Bélgica,416716562,7.647,5,0,5449597749
2003,251,França,271019,Combustíveis refinados,620,Portugal,4629066,0.085,43,1,5449597749
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",276,Alemanha,190611644,18.063,1,0,1055241482
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",380,Itália,181496015,17.199,2,0,1055241482
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",724,Espanha,132791867,12.584,3,0,1055241482
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",826,Reino Unido,64808050,6.142,4,0,1055241482
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",203,Chéquia,53786734,5.097,5,0,1055241482
2003,251,França,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",620,Portugal,36217095,3.432,10,1,1055241482
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",380,Itália,301286236,22.746,1,0,1324561942
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",620,Portugal,181360299,13.692,2,1,1324561942
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",704,Vietname,170239458,12.853,3,0,1324561942
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",724,Espanha,137298787,10.366,4,0,1324561942
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",156,China,120834107,9.123,5,0,1324561942
2003,251,França,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",528,Países Baixos,83751819,6.323,6,0,1324561942
2003,251,França,870322,Automóveis de passageiros,724,Espanha,1119054275,51.392,1,0,2177477178
2003,251,França,870322,Automóveis de passageiros,276,Alemanha,272276821,12.504,2,0,2177477178
2003,251,França,870322,Automóveis de passageiros,380,Itália,258051464,11.851,3,0,2177477178
2003,251,França,870322,Automóveis de passageiros,826,Reino Unido,146518465,6.729,4,0,2177477178
2003,251,França,870322,Automóveis de passageiros,705,Eslovénia,91337244,4.195,5,0,2177477178
2003,251,França,870322,Automóveis de passageiros,620,Portugal,1932830,0.089,18,1,2177477178
2003,251,França,870332,Automóveis de passageiros,276,Alemanha,4346503738,38.427,1,0,11311121264
2003,251,França,870332,Automóveis de passageiros,724,Espanha,3260866273,28.829,2,0,11311121264
2003,251,França,870332,Automóveis de passageiros,826,Reino Unido,849206780,7.508,3,0,11311121264
2003,251,França,870332,Automóveis de passageiros,392,Japão,723495925,6.396,4,0,11311121264
2003,251,França,870332,Automóveis de passageiros,56,Bélgica,578366292,5.113,5,0,11311121264
2003,251,França,870332,Automóveis de passageiros,620,Portugal,53012019,0.469,17,1,11311121264
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,276,Alemanha,1432469047,34.548,1,0,4146299200
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,724,Espanha,742711128,17.913,2,0,4146299200
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,380,Itália,579411310,13.974,3,0,4146299200
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,826,Reino Unido,268331993,6.472,4,0,4146299200
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,392,Japão,184913811,4.46,5,0,4146299200
2003,251,França,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620,Portugal,86891396,2.096,8,1,4146299200
2003,276,Alemanha,220421,Vinho,380,Itália,535238000,37.741,1,0,1418204000
2003,276,Alemanha,220421,Vinho,251,França,426380000,30.065,2,0,1418204000
2003,276,Alemanha,220421,Vinho,724,Espanha,145592000,10.266,3,0,1418204000
2003,276,Alemanha,220421,Vinho,842,EUA,71560000,5.046,4,0,1418204000
2003,276,Alemanha,220421,Vinho,36,Austrália,44882000,3.165,5,0,1418204000
2003,276,Alemanha,220421,Vinho,620,Portugal,29376000,2.071,9,1,1418204000
2003,276,Alemanha,271019,Combustíveis refinados,528,Países Baixos,2468828000,50.179,1,0,4920011000
2003,276,Alemanha,271019,Combustíveis refinados,56,Bélgica,798073000,16.221,2,0,4920011000
2003,276,Alemanha,271019,Combustíveis refinados,643,Rússia,631388000,12.833,3,0,4920011000
2003,276,Alemanha,271019,Combustíveis refinados,251,França,200781000,4.081,4,0,4920011000
2003,276,Alemanha,271019,Combustíveis refinados,752,Suécia,191827000,3.899,5,0,4920011000
2003,276,Alemanha,271019,Combustíveis refinados,620,Portugal,6000,0.0,37,1,4920011000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",251,França,468967000,25.562,1,0,1834592000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",392,Japão,157411000,8.58,2,0,1834592000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",620,Portugal,129767000,7.073,3,1,1834592000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",380,Itália,127149000,6.931,4,0,1834592000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",203,Chéquia,118864000,6.479,5,0,1834592000
2003,276,Alemanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",724,Espanha,107511000,5.86,6,0,1834592000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",380,Itália,301043000,15.342,1,0,1962151000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",704,Vietname,234836000,11.968,2,0,1962151000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",620,Portugal,228609000,11.651,3,1,1962151000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",40,Áustria,161907000,8.252,4,0,1962151000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",156,China,109781000,5.595,5,0,1962151000
2003,276,Alemanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",724,Espanha,105798000,5.392,6,0,1962151000
2003,276,Alemanha,870322,Automóveis de passageiros,251,França,2038522000,30.479,1,0,6688340000
2003,276,Alemanha,870322,Automóveis de passageiros,724,Espanha,1348001000,20.154,2,0,6688340000
2003,276,Alemanha,870322,Automóveis de passageiros,703,Eslováquia,913996000,13.666,3,0,6688340000
2003,276,Alemanha,870322,Automóveis de passageiros,380,Itália,500434000,7.482,4,0,6688340000
2003,276,Alemanha,870322,Automóveis de passageiros,392,Japão,366299000,5.477,5,0,6688340000
2003,276,Alemanha,870322,Automóveis de passageiros,620,Portugal,14346000,0.214,15,1,6688340000
2003,276,Alemanha,870332,Automóveis de passageiros,56,Bélgica,1720205000,22.222,1,0,7740983000
2003,276,Alemanha,870332,Automóveis de passageiros,251,França,1206844000,15.59,2,0,7740983000
2003,276,Alemanha,870332,Automóveis de passageiros,724,Espanha,679945000,8.784,3,0,7740983000
2003,276,Alemanha,870332,Automóveis de passageiros,392,Japão,594430000,7.679,4,0,7740983000
2003,276,Alemanha,870332,Automóveis de passageiros,620,Portugal,541982000,7.001,5,1,7740983000
2003,276,Alemanha,870332,Automóveis de passageiros,826,Reino Unido,476435000,6.155,6,0,7740983000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,251,França,744122000,15.266,1,0,4874374000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,380,Itália,562246000,11.535,2,0,4874374000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,40,Áustria,475759000,9.76,3,0,4874374000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,203,Chéquia,427352000,8.767,4,0,4874374000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,724,Espanha,369744000,7.585,5,0,4874374000
2003,276,Alemanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620,Portugal,50914000,1.045,18,1,4874374000
2003,724,Espanha,220421,Vinho,380,Itália,16797210,33.9,1,0,49549353
2003,724,Espanha,220421,Vinho,620,Portugal,14232467,28.724,2,1,49549353
2003,724,Espanha,220421,Vinho,251,França,8204319,16.558,3,0,49549353
2003,724,Espanha,220421,Vinho,528,Países Baixos,2019855,4.076,4,0,49549353
2003,724,Espanha,220421,Vinho,152,Chile,2016777,4.07,5,0,49549353
2003,724,Espanha,220421,Vinho,276,Alemanha,1574832,3.178,6,0,49549353
2003,724,Espanha,271019,Combustíveis refinados,380,Itália,1129385827,30.413,1,0,3713515590
2003,724,Espanha,271019,Combustíveis refinados,643,Rússia,590324323,15.897,2,0,3713515590
2003,724,Espanha,271019,Combustíveis refinados,826,Reino Unido,289533736,7.797,3,0,3713515590
2003,724,Espanha,271019,Combustíveis refinados,12,Argélia,279624789,7.53,4,0,3713515590
2003,724,Espanha,271019,Combustíveis refinados,682,Arábia Saudita,182563786,4.916,5,0,3713515590
2003,724,Espanha,271019,Combustíveis refinados,620,Portugal,32339277,0.871,17,1,3713515590
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",251,França,147381755,21.042,1,0,700408604
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",276,Alemanha,145194552,20.73,2,0,700408604
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",620,Portugal,54968506,7.848,3,1,700408604
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",380,Itália,52179168,7.45,4,0,700408604
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",410,Coreia do Sul,50856052,7.261,5,0,700408604
2003,724,Espanha,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",826,Reino Unido,48775984,6.964,6,0,700408604
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",704,Vietname,69877200,19.979,1,0,349761329
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",528,Países Baixos,49911816,14.27,2,0,349761329
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",156,China,39370177,11.256,3,0,349761329
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",360,Indonésia,33666374,9.626,4,0,349761329
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",380,Itália,33588844,9.603,5,0,349761329
2003,724,Espanha,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",620,Portugal,26419489,7.554,6,1,349761329
2003,724,Espanha,870322,Automóveis de passageiros,380,Itália,182887233,20.53,1,0,890820397
2003,724,Espanha,870322,Automóveis de passageiros,410,Coreia do Sul,173857429,19.517,2,0,890820397
2003,724,Espanha,870322,Automóveis de passageiros,251,França,172446957,19.358,3,0,890820397
2003,724,Espanha,870322,Automóveis de passageiros,826,Reino Unido,128475523,14.422,4,0,890820397
2003,724,Espanha,870322,Automóveis de passageiros,276,Alemanha,110991955,12.46,5,0,890820397
2003,724,Espanha,870322,Automóveis de passageiros,620,Portugal,831872,0.093,14,1,890820397
2003,724,Espanha,870332,Automóveis de passageiros,251,França,2623132915,31.779,1,0,8254403684
2003,724,Espanha,870332,Automóveis de passageiros,276,Alemanha,2620107085,31.742,2,0,8254403684
2003,724,Espanha,870332,Automóveis de passageiros,56,Bélgica,744639491,9.021,3,0,8254403684
2003,724,Espanha,870332,Automóveis de passageiros,392,Japão,529191930,6.411,4,0,8254403684
2003,724,Espanha,870332,Automóveis de passageiros,380,Itália,434009949,5.258,5,0,8254403684
2003,724,Espanha,870332,Automóveis de passageiros,620,Portugal,130911233,1.586,9,1,8254403684
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,251,França,5391615385,53.549,1,0,10068635029
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,276,Alemanha,2465398101,24.486,2,0,10068635029
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,380,Itália,516733772,5.132,3,0,10068635029
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,826,Reino Unido,437863189,4.349,4,0,10068635029
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620,Portugal,407653642,4.049,5,1,10068635029
2003,724,Espanha,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,56,Bélgica,197276554,1.959,6,0,10068635029
2003,826,Reino Unido,220421,Vinho,36,Austrália,923985049,25.702,1,0,3594952947
2003,826,Reino Unido,220421,Vinho,251,França,783367293,21.791,2,0,3594952947
2003,826,Reino Unido,220421,Vinho,842,EUA,429234294,11.94,3,0,3594952947
2003,826,Reino Unido,220421,Vinho,710,África do Sul,280399980,7.8,4,0,3594952947
2003,826,Reino Unido,220421,Vinho,380,Itália,272276675,7.574,5,0,3594952947
2003,826,Reino Unido,220421,Vinho,620,Portugal,79430519,2.21,10,1,3594952947
2003,826,Reino Unido,271019,Combustíveis refinados,643,Rússia,938624464,19.113,1,0,4910829134
2003,826,Reino Unido,271019,Combustíveis refinados,414,Kuwait,465718016,9.483,2,0,4910829134
2003,826,Reino Unido,271019,Combustíveis refinados,251,França,395435597,8.052,3,0,4910829134
2003,826,Reino Unido,271019,Combustíveis refinados,682,Arábia Saudita,387406657,7.889,4,0,4910829134
2003,826,Reino Unido,271019,Combustíveis refinados,276,Alemanha,355769410,7.245,5,0,4910829134
2003,826,Reino Unido,271019,Combustíveis refinados,620,Portugal,7428743,0.151,34,1,4910829134
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",276,Alemanha,225956831,19.637,1,0,1150662105
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",251,França,147430276,12.813,2,0,1150662105
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",528,Países Baixos,107746990,9.364,3,0,1150662105
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",410,Coreia do Sul,81722686,7.102,4,0,1150662105
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",392,Japão,81393736,7.074,5,0,1150662105
2003,826,Reino Unido,401110,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",620,Portugal,22241905,1.933,15,1,1150662105
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",704,Vietname,343621702,19.615,1,0,1751809657
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",380,Itália,239833013,13.691,2,0,1751809657
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",620,Portugal,186549099,10.649,3,1,1751809657
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",156,China,149579139,8.539,4,0,1751809657
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",724,Espanha,125030693,7.137,5,0,1751809657
2003,826,Reino Unido,640399,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",528,Países Baixos,109442013,6.247,6,0,1751809657
2003,826,Reino Unido,870322,Automóveis de passageiros,251,França,1255802237,28.88,1,0,4348340342
2003,826,Reino Unido,870322,Automóveis de passageiros,724,Espanha,942345596,21.671,2,0,4348340342
2003,826,Reino Unido,870322,Automóveis de passageiros,276,Alemanha,691592129,15.905,3,0,4348340342
2003,826,Reino Unido,870322,Automóveis de passageiros,392,Japão,425041265,9.775,4,0,4348340342
2003,826,Reino Unido,870322,Automóveis de passageiros,203,Chéquia,377168229,8.674,5,0,4348340342
2003,826,Reino Unido,870322,Automóveis de passageiros,620,Portugal,2493708,0.057,18,1,4348340342
2003,826,Reino Unido,870332,Automóveis de passageiros,276,Alemanha,1806343719,27.296,1,0,6617658791
2003,826,Reino Unido,870332,Automóveis de passageiros,251,França,1062109496,16.05,2,0,6617658791
2003,826,Reino Unido,870332,Automóveis de passageiros,56,Bélgica,953672121,14.411,3,0,6617658791
2003,826,Reino Unido,870332,Automóveis de passageiros,380,Itália,556556137,8.41,4,0,6617658791
2003,826,Reino Unido,870332,Automóveis de passageiros,724,Espanha,552853192,8.354,5,0,6617658791
2003,826,Reino Unido,870332,Automóveis de passageiros,620,Portugal,400495902,6.052,7,1,6617658791
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,276,Alemanha,2160216312,35.36,1,0,6109146730
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,251,França,1721553478,28.18,2,0,6109146730
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,724,Espanha,380466707,6.228,3,0,6109146730
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,392,Japão,309353010,5.064,4,0,6109146730
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,380,Itália,301296249,4.932,5,0,6109146730
2003,826,Reino Unido,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620,Portugal,57585085,0.943,11,1,6109146730
2003,842,EUA,220421,Vinho,380,Itália,879728232,30.636,1,0,2871551883
2003,842,EUA,220421,Vinho,251,França,782787636,27.26,2,0,2871551883
2003,842,EUA,220421,Vinho,36,Austrália,651344315,22.683,3,0,2871551883
2003,842,EUA,220421,Vinho,152,Chile,150507279,5.241,4,0,2871551883
2003,842,EUA,220421,Vinho,724,Espanha,122242638,4.257,5,0,2871551883
2003,842,EUA,220421,Vinho,620,Portugal,53226898,1.854,7,1,2871551883
2003,842,EUA,271019,Combustíveis refinados,124,Canadá,2656175300,18.266,1,0,14541866136
