year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,100590,Milho,32,Argentina,71858783,39.6,direct
2003,100590,Milho,251,França,71735228,39.532,direct
2003,100590,Milho,76,Brasil,18806743,10.364,direct
2003,100590,Milho,724,Espanha,14661751,8.08,direct
2003,100590,Milho,276,Alemanha,4106874,2.263,direct
2003,100590,Milho,842,EUA,249802,0.138,direct
2003,100590,Milho,528,Países Baixos,26092,0.014,direct
2003,100590,Milho,124,Canadá,9714,0.005,direct
2003,270900,Petróleo bruto,566,Nigéria,708762387,26.045,direct
2003,270900,Petróleo bruto,434,Libya,354630618,13.032,direct
2003,270900,Petróleo bruto,682,Arábia Saudita,348021239,12.789,direct
2003,270900,Petróleo bruto,643,Rússia,301800220,11.09,direct
2003,270900,Petróleo bruto,826,Reino Unido,297090289,10.917,direct
2003,270900,Petróleo bruto,12,Argélia,183878777,6.757,direct
2003,270900,Petróleo bruto,76,Brasil,183000890,6.725,direct
2003,270900,Petróleo bruto,484,México,113297368,4.163,direct
2003,271019,Gasóleo e combustíveis médios e pesados,724,Espanha,112577666,18.2,direct
2003,271019,Gasóleo e combustíveis médios e pesados,643,Rússia,89097978,14.404,direct
2003,271019,Gasóleo e combustíveis médios e pesados,528,Países Baixos,74210351,11.997,direct
2003,271019,Gasóleo e combustíveis médios e pesados,826,Reino Unido,63864047,10.325,direct
2003,271019,Gasóleo e combustíveis médios e pesados,380,Itália,50341187,8.138,direct
2003,271019,Gasóleo e combustíveis médios e pesados,233,Estónia,37675176,6.091,direct
2003,271019,Gasóleo e combustíveis médios e pesados,752,Suécia,32015388,5.176,direct
2003,271019,Gasóleo e combustíveis médios e pesados,440,Lituânia,29605938,4.786,direct
2003,271111,Gás natural liquefeito (GNL),724,Espanha,103208501,76.248,direct
2003,271111,Gás natural liquefeito (GNL),566,Nigéria,32151064,23.752,direct
2003,271111,Gás natural liquefeito (GNL),528,Países Baixos,158,0.0,direct
2003,271121,Gás natural em estado gasoso,724,Espanha,390571288,100.0,direct
2003,271600,Energia elétrica,724,Espanha,152387840,99.876,direct
2003,271600,Energia elétrica,380,Itália,114011,0.075,direct
2003,271600,Energia elétrica,826,Reino Unido,53167,0.035,direct
2003,271600,Energia elétrica,251,França,22129,0.015,direct
2003,300490,Medicamentos,826,Reino Unido,156913020,14.696,direct
2003,300490,Medicamentos,276,Alemanha,156106882,14.621,direct
2003,300490,Medicamentos,56,Bélgica,125439597,11.749,direct
2003,300490,Medicamentos,251,França,122587894,11.482,direct
2003,300490,Medicamentos,757,Suíça,105167419,9.85,direct
2003,300490,Medicamentos,724,Espanha,104815703,9.817,direct
2003,300490,Medicamentos,528,Países Baixos,98192908,9.197,direct
2003,300490,Medicamentos,372,Irlanda,74620267,6.989,direct
2003,381512,Catalisadores,392,Japão,683271,34.103,direct
2003,381512,Catalisadores,380,Itália,543388,27.121,direct
2003,381512,Catalisadores,276,Alemanha,477771,23.846,direct
2003,381512,Catalisadores,826,Reino Unido,243017,12.129,direct
2003,381512,Catalisadores,752,Suécia,55683,2.779,direct
2003,381512,Catalisadores,724,Espanha,363,0.018,direct
2003,381512,Catalisadores,56,Bélgica,76,0.004,direct
2003,392690,Outros artigos de plástico,724,Espanha,69111948,31.223,direct
2003,392690,Outros artigos de plástico,276,Alemanha,44997313,20.328,direct
2003,392690,Outros artigos de plástico,251,França,35753689,16.152,direct
2003,392690,Outros artigos de plástico,380,Itália,22380759,10.111,direct
2003,392690,Outros artigos de plástico,826,Reino Unido,9808149,4.431,direct
2003,392690,Outros artigos de plástico,528,Países Baixos,8236417,3.721,direct
2003,392690,Outros artigos de plástico,40,Áustria,6349499,2.869,direct
2003,392690,Outros artigos de plástico,56,Bélgica,3829720,1.73,direct
2003,720449,Outra sucata ferrosa,372,Irlanda,10903978,33.189,direct
2003,720449,Outra sucata ferrosa,251,França,5307230,16.154,direct
2003,720449,Outra sucata ferrosa,826,Reino Unido,4431697,13.489,direct
2003,720449,Outra sucata ferrosa,208,Dinamarca,2363542,7.194,direct
2003,720449,Outra sucata ferrosa,724,Espanha,1898196,5.778,direct
2003,720449,Outra sucata ferrosa,686,Senegal,1421726,4.327,direct
2003,720449,Outra sucata ferrosa,842,EUA,1159648,3.53,direct
2003,720449,Outra sucata ferrosa,643,Rússia,1084110,3.3,direct
