year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,220421,Vinho tranquilo até 2 L,251,França,114269840,20.987,direct
2003,220421,Vinho tranquilo até 2 L,826,Reino Unido,86792843,15.94,direct
2003,220421,Vinho tranquilo até 2 L,528,Países Baixos,61211580,11.242,direct
2003,220421,Vinho tranquilo até 2 L,56,Bélgica,50197105,9.219,direct
2003,220421,Vinho tranquilo até 2 L,842,EUA,42866103,7.873,direct
2003,220421,Vinho tranquilo até 2 L,124,Canadá,33610998,6.173,direct
2003,220421,Vinho tranquilo até 2 L,276,Alemanha,26330640,4.836,direct
2003,220421,Vinho tranquilo até 2 L,24,Angola,16818859,3.089,direct
2003,240220,Cigarros,380,Itália,29954844,35.34,direct
2003,240220,Cigarros,528,Países Baixos,24109801,28.444,direct
2003,240220,Cigarros,724,Espanha,12735627,15.025,direct
2003,240220,Cigarros,826,Reino Unido,10491802,12.378,direct
2003,240220,Cigarros,56,Bélgica,2030723,2.396,direct
2003,240220,Cigarros,251,França,1955648,2.307,direct
2003,240220,Cigarros,579,Noruega,1083560,1.278,direct
2003,240220,Cigarros,372,Irlanda,804362,0.949,direct
2003,271019,Gasóleo e combustíveis médios e pesados,837,Bunkers,116128770,42.047,direct
2003,271019,Gasóleo e combustíveis médios e pesados,899,"Areas, nes",38734191,14.025,direct
2003,271019,Gasóleo e combustíveis médios e pesados,826,Reino Unido,28898904,10.464,direct
2003,271019,Gasóleo e combustíveis médios e pesados,842,EUA,26143338,9.466,direct
2003,271019,Gasóleo e combustíveis médios e pesados,380,Itália,12834554,4.647,direct
2003,271019,Gasóleo e combustíveis médios e pesados,76,Brasil,12496809,4.525,direct
2003,271019,Gasóleo e combustíveis médios e pesados,724,Espanha,12484012,4.52,direct
2003,271019,Gasóleo e combustíveis médios e pesados,292,Gibraltar,4914189,1.779,direct
2003,300490,Medicamentos,826,Reino Unido,32408897,17.139,direct
2003,300490,Medicamentos,276,Alemanha,28148333,14.886,direct
2003,300490,Medicamentos,724,Espanha,22790989,12.053,direct
2003,300490,Medicamentos,251,França,16366920,8.656,direct
2003,300490,Medicamentos,528,Países Baixos,9149491,4.839,direct
2003,300490,Medicamentos,616,Polónia,6878966,3.638,direct
2003,300490,Medicamentos,56,Bélgica,6504726,3.44,direct
2003,300490,Medicamentos,757,Suíça,5747811,3.04,direct
2003,401110,Pneus novos,276,Alemanha,119080636,32.22,direct
2003,401110,Pneus novos,724,Espanha,66481864,17.988,direct
2003,401110,Pneus novos,251,França,45079751,12.197,direct
2003,401110,Pneus novos,380,Itália,22293813,6.032,direct
2003,401110,Pneus novos,826,Reino Unido,21624243,5.851,direct
2003,401110,Pneus novos,757,Suíça,14749978,3.991,direct
2003,401110,Pneus novos,528,Países Baixos,13972406,3.781,direct
2003,401110,Pneus novos,56,Bélgica,13810899,3.737,direct
2003,450310,Rolhas de cortiça,251,França,158198727,28.789,direct
2003,450310,Rolhas de cortiça,842,EUA,92919503,16.909,direct
2003,450310,Rolhas de cortiça,724,Espanha,59188136,10.771,direct
2003,450310,Rolhas de cortiça,36,Austrália,53891081,9.807,direct
2003,450310,Rolhas de cortiça,276,Alemanha,45807937,8.336,direct
2003,450310,Rolhas de cortiça,380,Itália,23920924,4.353,direct
2003,450310,Rolhas de cortiça,152,Chile,22286915,4.056,direct
2003,450310,Rolhas de cortiça,32,Argentina,16155533,2.94,direct
2003,450410,Cortiça aglomerada,842,EUA,54994023,18.394,direct
2003,450410,Cortiça aglomerada,251,França,47415389,15.86,direct
2003,450410,Cortiça aglomerada,276,Alemanha,43507201,14.552,direct
2003,450410,Cortiça aglomerada,724,Espanha,26579133,8.89,direct
2003,450410,Cortiça aglomerada,380,Itália,23361102,7.814,direct
2003,450410,Cortiça aglomerada,36,Austrália,12947386,4.331,direct
2003,450410,Cortiça aglomerada,40,Áustria,8032183,2.687,direct
2003,450410,Cortiça aglomerada,392,Japão,7830529,2.619,direct
2003,470329,Pasta de madeira química,276,Alemanha,103379540,28.448,direct
2003,470329,Pasta de madeira química,528,Países Baixos,75730504,20.839,direct
2003,470329,Pasta de madeira química,724,Espanha,44904691,12.357,direct
2003,470329,Pasta de madeira química,251,França,27903359,7.678,direct
2003,470329,Pasta de madeira química,380,Itália,27194200,7.483,direct
