year,partner_code,partner,value,share_pct,rank,basis
2003,724,Espanha,7578388816,23.806,1,direct
2003,276,Alemanha,4704370715,14.778,2,direct
2003,251,França,4195980183,13.181,3,direct
2003,826,Reino Unido,3272410534,10.28,4,direct
2003,842,EUA,1813238350,5.696,5,direct
2003,380,Itália,1512011746,4.75,6,direct
2003,56,Bélgica,1410125025,4.43,7,direct
2003,528,Países Baixos,1197163620,3.761,8,direct
2003,24,Angola,738560447,2.32,9,direct
2003,752,Suécia,423958606,1.332,10,direct
2003,724,Espanha,6848182465,21.273,1,mirror
2003,276,Alemanha,5834812000,18.125,2,mirror
2003,251,França,3910247385,12.147,3,mirror
2003,826,Reino Unido,3219396003,10.001,4,mirror
2003,842,EUA,2044758486,6.352,5,mirror
2003,56,Bélgica,1660624977,5.159,6,mirror
2003,380,Itália,1493373173,4.639,7,mirror
2003,528,Países Baixos,1258406189,3.909,8,mirror
2003,40,Áustria,494219714,1.535,9,mirror
2003,752,Suécia,368707907,1.145,10,mirror
2004,724,Espanha,9366737210,21.118,1,direct
2004,899,"Areas, nes",7677666529,17.31,2,direct
2004,251,França,5072478883,11.436,3,direct
2004,276,Alemanha,4909842584,11.069,4,direct
2004,826,Reino Unido,3481864580,7.85,5,direct
2004,842,EUA,2169351991,4.891,6,direct
2004,380,Itália,1591045343,3.587,7,direct
2004,56,Bélgica,1542763007,3.478,8,direct
2004,528,Países Baixos,1482921011,3.343,9,direct
2004,24,Angola,833540566,1.879,10,direct
2004,724,Espanha,8356275154,22.415,1,mirror
2004,276,Alemanha,5760427000,15.452,2,mirror
2004,251,França,4523585446,12.134,3,mirror
2004,826,Reino Unido,3545357812,9.51,4,mirror
2004,842,EUA,2332877626,6.258,5,mirror
2004,56,Bélgica,1759330865,4.719,6,mirror
2004,380,Itália,1657822768,4.447,7,mirror
2004,528,Países Baixos,1411232881,3.786,8,mirror
2004,24,Angola,850041660,2.28,9,mirror
2004,40,Áustria,552342259,1.482,10,mirror
2005,724,Espanha,10625898103,27.477,1,direct
2005,251,França,5196560617,13.438,2,direct
2005,276,Alemanha,4738211509,12.252,3,direct
2005,826,Reino Unido,3162604881,8.178,4,direct
2005,842,EUA,2048554299,5.297,5,direct
2005,380,Itália,1670306063,4.319,6,direct
2005,56,Bélgica,1507673288,3.899,7,direct
2005,528,Países Baixos,1481154934,3.83,8,direct
2005,24,Angola,996493794,2.577,9,direct
2005,702,Singapura,472933233,1.223,10,direct
2005,724,Espanha,9339521872,24.408,1,mirror
2005,276,Alemanha,5017596000,13.113,2,mirror
2005,251,França,4561731166,11.922,3,mirror
2005,826,Reino Unido,3364798027,8.794,4,mirror
2005,842,EUA,2415187911,6.312,5,mirror
2005,56,Bélgica,1766285399,4.616,6,mirror
2005,380,Itália,1717244024,4.488,7,mirror
2005,528,Países Baixos,1494059074,3.905,8,mirror
2005,24,Angola,1016803387,2.657,9,mirror
2005,40,Áustria,483970005,1.265,10,mirror
2006,724,Espanha,12690487991,28.341,1,direct
2006,276,Alemanha,5772631697,12.892,2,direct
2006,251,França,5588308306,12.48,3,direct
2006,826,Reino Unido,3045264382,6.801,4,direct
2006,842,EUA,2642915533,5.902,5,direct
2006,380,Itália,1793809077,4.006,6,direct
2006,528,Países Baixos,1600228601,3.574,7,direct
2006,24,Angola,1518680047,3.392,8,direct
2006,56,Bélgica,1392184025,3.109,9,direct
2006,702,Singapura,879559170,1.964,10,direct
2006,724,Espanha,10713783384,24.07,1,mirror
2006,826,Reino Unido,5390108189,12.11,2,mirror
2006,276,Alemanha,5150708000,11.572,3,mirror
2006,251,França,4957008101,11.137,4,mirror
2006,842,EUA,3144623882,7.065,5,mirror
2006,380,Itália,1989437108,4.47,6,mirror
2006,24,Angola,1591975361,3.577,7,mirror
2006,528,Países Baixos,1584817856,3.561,8,mirror
2006,56,Bélgica,1330083104,2.988,9,mirror
2006,40,Áustria,500541985,1.125,10,mirror
2007,724,Espanha,15024904975,28.628,1,direct
2007,276,Alemanha,6697587587,12.761,2,direct
2007,251,França,6566308303,12.511,3,direct
2007,826,Reino Unido,3138236758,5.979,4,direct
2007,842,EUA,2411806297,4.595,5,direct
2007,24,Angola,2302804957,4.388,6,direct
2007,380,Itália,2148696757,4.094,7,direct
2007,528,Países Baixos,1779102148,3.39,8,direct
2007,56,Bélgica,1321795817,2.518,9,direct
2007,702,Singapura,969475447,1.847,10,direct
2007,724,Espanha,12722770111,26.514,1,mirror
2007,276,Alemanha,5668187000,11.812,2,mirror
2007,251,França,5647642029,11.77,3,mirror
2007,842,EUA,3174914215,6.616,4,mirror
2007,826,Reino Unido,3036507059,6.328,5,mirror
2007,24,Angola,2424951483,5.054,6,mirror
2007,380,Itália,2086089653,4.347,7,mirror
2007,528,Países Baixos,1687253221,3.516,8,mirror
2007,56,Bélgica,1475022458,3.074,9,mirror
2007,752,Suécia,656730922,1.369,10,mirror
2008,724,Espanha,15899942977,27.775,1,direct
2008,276,Alemanha,7200883446,12.579,2,direct
2008,251,França,6720737746,11.74,3,direct
2008,24,Angola,3325748025,5.81,4,direct
2008,826,Reino Unido,3105945768,5.426,5,direct
2008,380,Itália,2083373423,3.639,6,direct
2008,842,EUA,1936666099,3.383,7,direct
2008,528,Países Baixos,1861660659,3.252,8,direct
2008,56,Bélgica,1409377810,2.462,9,direct
2008,702,Singapura,1280720785,2.237,10,direct
2008,724,Espanha,13746126393,26.136,1,mirror
2008,251,França,6030558826,11.466,2,mirror
2008,276,Alemanha,5981081506,11.372,3,mirror
2008,24,Angola,3582413933,6.811,4,mirror
2008,826,Reino Unido,3192779337,6.071,5,mirror
2008,842,EUA,2536178939,4.822,6,mirror
2008,380,Itália,2066343192,3.929,7,mirror
2008,528,Países Baixos,1920986149,3.652,8,mirror
2008,56,Bélgica,1607000206,3.055,9,mirror
2008,752,Suécia,666079354,1.266,10,mirror
2009,724,Espanha,12032665025,27.192,1,direct
2009,276,Alemanha,5705152305,12.893,2,direct
2009,251,França,5464601048,12.349,3,direct
2009,24,Angola,3123562899,7.059,4,direct
2009,826,Reino Unido,2475805904,5.595,5,direct
2009,380,Itália,1650539998,3.73,6,direct
2009,528,Países Baixos,1590722468,3.595,7,direct
2009,842,EUA,1398941025,3.161,8,direct
2009,56,Bélgica,1088357668,2.46,9,direct
2009,837,Bunkers,784866884,1.774,10,direct
2009,724,Espanha,10207644486,24.672,1,mirror
2009,251,França,5012944645,12.116,2,mirror
2009,276,Alemanha,4825031978,11.662,3,mirror
2009,24,Angola,3704037715,8.953,4,mirror
2009,826,Reino Unido,2224149786,5.376,5,mirror
2009,842,EUA,1629320674,3.938,6,mirror
2009,380,Itália,1573327572,3.803,7,mirror
2009,528,Países Baixos,1517174374,3.667,8,mirror
2009,56,Bélgica,1242277728,3.003,9,mirror
2009,156,China,480929852,1.162,10,mirror
2010,724,Espanha,13341214190,26.999,1,direct
2010,276,Alemanha,6408000748,12.968,2,direct
2010,251,França,5907174969,11.954,3,direct
2010,826,Reino Unido,2686876931,5.437,4,direct
2010,24,Angola,2521239154,5.102,5,direct
2010,528,Países Baixos,1903515272,3.852,6,direct
2010,380,Itália,1820467961,3.684,7,direct
2010,842,EUA,1742427323,3.526,8,direct
2010,56,Bélgica,1276320939,2.583,9,direct
2010,837,Bunkers,1074270791,2.174,10,direct
2010,724,Espanha,11210074657,24.105,1,mirror
2010,251,França,5579443506,11.997,2,mirror
2010,276,Alemanha,5327870322,11.456,3,mirror
2010,826,Reino Unido,2685315606,5.774,4,mirror
2010,24,Angola,2607038140,5.606,5,mirror
2010,842,EUA,2225064682,4.785,6,mirror
