year,partner_code,partner,value,share_pct,rank,basis
2003,724,Espanha,14168716603,30.04,1,direct
2003,276,Alemanha,6893635807,14.616,2,direct
2003,251,França,4615906226,9.786,3,direct
2003,380,Itália,3023316241,6.41,4,direct
2003,826,Reino Unido,2306021910,4.889,5,direct
2003,528,Países Baixos,2211570012,4.689,6,direct
2003,56,Bélgica,1368323882,2.901,7,direct
2003,842,EUA,892532178,1.892,8,direct
2003,392,Japão,756713398,1.604,9,direct
2003,566,Nigéria,752850962,1.596,10,direct
2003,724,Espanha,15168488707,31.485,1,mirror
2003,276,Alemanha,7135798000,14.812,2,mirror
2003,251,França,4840369297,10.047,3,mirror
2003,380,Itália,3701384432,7.683,4,mirror
2003,826,Reino Unido,2458656101,5.103,5,mirror
2003,528,Países Baixos,2135436533,4.432,6,mirror
2003,56,Bélgica,1617570437,3.358,7,mirror
2003,842,EUA,862461378,1.79,8,mirror
2003,757,Suíça,664286532,1.379,9,mirror
2003,392,Japão,648917440,1.347,10,mirror
2004,724,Espanha,17092700863,25.055,1,direct
2004,899,"Areas, nes",11212025698,16.435,2,direct
2004,276,Alemanha,8086331305,11.853,3,direct
2004,251,França,5318684860,7.796,4,direct
2004,380,Itália,3432526585,5.031,5,direct
2004,528,Países Baixos,2631324858,3.857,6,direct
2004,826,Reino Unido,2621757295,3.843,7,direct
2004,56,Bélgica,1646007465,2.413,8,direct
2004,842,EUA,1315358905,1.928,9,direct
2004,76,Brasil,1066032733,1.563,10,direct
2004,724,Espanha,17522027866,30.892,1,mirror
2004,276,Alemanha,8454654000,14.906,2,mirror
2004,251,França,5453480575,9.615,3,mirror
2004,380,Itália,4214927392,7.431,4,mirror
2004,826,Reino Unido,2912104311,5.134,5,mirror
2004,528,Países Baixos,2457442096,4.333,6,mirror
2004,56,Bélgica,1930369963,3.403,7,mirror
2004,842,EUA,1046078629,1.844,8,mirror
2004,76,Brasil,960578935,1.694,9,mirror
2004,392,Japão,944081640,1.664,10,mirror
2005,724,Espanha,19615727628,30.696,1,direct
2005,276,Alemanha,9160671545,14.335,2,direct
2005,251,França,5532334503,8.657,3,direct
2005,380,Itália,3743527520,5.858,4,direct
2005,528,Países Baixos,2853628727,4.466,5,direct
2005,826,Reino Unido,2750367423,4.304,6,direct
2005,56,Bélgica,1840139658,2.88,7,direct
2005,12,Argélia,1362698278,2.132,8,direct
2005,842,EUA,1327927590,2.078,9,direct
2005,76,Brasil,1220179648,1.909,10,direct
2005,724,Espanha,18456011326,30.161,1,mirror
2005,276,Alemanha,9143387000,14.942,2,mirror
2005,251,França,5750895191,9.398,3,mirror
2005,380,Itália,4096845949,6.695,4,mirror
2005,826,Reino Unido,3067672731,5.013,5,mirror
2005,528,Países Baixos,2537340546,4.147,6,mirror
2005,56,Bélgica,2115242289,3.457,7,mirror
2005,12,Argélia,1670179373,2.729,8,mirror
2005,643,Rússia,1138000063,1.86,9,mirror
2005,842,EUA,1131865366,1.85,10,mirror
2006,724,Espanha,21822728856,30.864,1,direct
2006,276,Alemanha,10076739768,14.251,2,direct
2006,251,França,6000464829,8.486,3,direct
2006,380,Itália,4181823303,5.914,4,direct
2006,528,Países Baixos,3359849331,4.752,5,direct
2006,826,Reino Unido,2922476483,4.133,6,direct
2006,56,Bélgica,1966335521,2.781,7,direct
2006,76,Brasil,1544175744,2.184,8,direct
2006,12,Argélia,1124572809,1.59,9,direct
2006,842,EUA,978084305,1.383,10,direct
2006,724,Espanha,19051266408,28.185,1,mirror
2006,276,Alemanha,9259326000,13.699,2,mirror
2006,251,França,6083012442,8.999,3,mirror
2006,380,Itália,4691344112,6.941,4,mirror
2006,826,Reino Unido,4391997201,6.498,5,mirror
2006,528,Países Baixos,2697227175,3.99,6,mirror
2006,56,Bélgica,2178652011,3.223,7,mirror
2006,12,Argélia,1614567145,2.389,8,mirror
2006,842,EUA,1470639542,2.176,9,mirror
2006,76,Brasil,1467973943,2.172,10,mirror
2007,724,Espanha,25540696851,31.046,1,direct
2007,276,Alemanha,11443989030,13.911,2,direct
2007,251,França,7124237930,8.66,3,direct
2007,380,Itália,4520850692,5.495,4,direct
2007,528,Países Baixos,3884431712,4.722,5,direct
2007,826,Reino Unido,3029348588,3.682,6,direct
2007,56,Bélgica,2381202833,2.894,7,direct
2007,76,Brasil,1876530438,2.281,8,direct
2007,156,China,1438797759,1.749,9,direct
2007,566,Nigéria,1381849213,1.68,10,direct
2007,724,Espanha,21949585688,28.571,1,mirror
2007,276,Alemanha,10747439000,13.99,2,mirror
2007,251,França,6817923046,8.875,3,mirror
2007,380,Itália,4869072946,6.338,4,mirror
2007,528,Países Baixos,3243483092,4.222,5,mirror
2007,826,Reino Unido,3005359840,3.912,6,mirror
2007,56,Bélgica,2670049311,3.476,7,mirror
2007,842,EUA,2478490112,3.226,8,mirror
2007,156,China,1834752144,2.388,9,mirror
2007,76,Brasil,1803740021,2.348,10,mirror
2008,724,Espanha,29095115802,30.771,1,direct
2008,276,Alemanha,12621538721,13.349,2,direct
2008,251,França,7633032477,8.073,3,direct
2008,380,Itália,5075176323,5.368,4,direct
2008,528,Países Baixos,4420566647,4.675,5,direct
2008,826,Reino Unido,3115308435,3.295,6,direct
2008,56,Bélgica,2707998390,2.864,7,direct
2008,566,Nigéria,2552502047,2.7,8,direct
2008,76,Brasil,1991635987,2.106,9,direct
2008,156,China,1956539189,2.069,10,direct
2008,724,Espanha,24669295312,28.583,1,mirror
2008,276,Alemanha,11975243814,13.875,2,mirror
2008,251,França,7565441936,8.766,3,mirror
2008,380,Itália,5285366404,6.124,4,mirror
2008,528,Países Baixos,3625133454,4.2,5,mirror
2008,826,Reino Unido,2994652811,3.47,6,mirror
2008,56,Bélgica,2922943567,3.387,7,mirror
2008,842,EUA,2645968856,3.066,8,mirror
2008,156,China,2317102263,2.685,9,mirror
2008,12,Argélia,2045085049,2.37,10,mirror
2009,724,Espanha,23516768433,32.748,1,direct
2009,276,Alemanha,9478357015,13.199,2,direct
2009,251,França,5982242193,8.331,3,direct
2009,380,Itália,4171932321,5.81,4,direct
2009,528,Países Baixos,3842608860,5.351,5,direct
2009,826,Reino Unido,2353751810,3.278,6,direct
2009,56,Bélgica,2043723487,2.846,7,direct
2009,566,Nigéria,1737131585,2.419,8,direct
2009,156,China,1548054597,2.156,9,direct
2009,76,Brasil,1238470865,1.725,10,direct
2009,724,Espanha,20523079715,30.346,1,mirror
2009,276,Alemanha,8636018105,12.769,2,mirror
2009,251,França,6022592019,8.905,3,mirror
2009,380,Itália,5408347299,7.997,4,mirror
2009,528,Países Baixos,3366487265,4.978,5,mirror
2009,826,Reino Unido,2372145552,3.507,6,mirror
2009,56,Bélgica,2358886034,3.488,7,mirror
2009,156,China,1923516206,2.844,8,mirror
2009,76,Brasil,1276847179,1.888,9,mirror
2009,842,EUA,1085268721,1.605,10,mirror
2010,724,Espanha,24886916151,32.037,1,direct
2010,276,Alemanha,10761951521,13.854,2,direct
2010,251,França,5589804258,7.196,3,direct
2010,380,Itália,4406819116,5.673,4,direct
2010,528,Países Baixos,4033787899,5.193,5,direct
2010,826,Reino Unido,2932743881,3.775,6,direct
2010,156,China,2081979618,2.68,7,direct
2010,56,Bélgica,2079461497,2.677,8,direct
2010,566,Nigéria,1824580099,2.349,9,direct
2010,76,Brasil,1384700075,1.783,10,direct
2010,724,Espanha,21790426039,29.487,1,mirror
2010,276,Alemanha,10247441955,13.867,2,mirror
2010,251,França,5547469004,7.507,3,mirror
2010,380,Itália,4539666759,6.143,4,mirror
2010,528,Países Baixos,3836637966,5.192,5,mirror
2010,826,Reino Unido,2778535135,3.76,6,mirror
2010,156,China,2513317692,3.401,7,mirror
2010,566,Nigéria,1906880783,2.58,8,mirror
2010,56,Bélgica,1589245670,2.151,9,mirror
2010,76,Brasil,1505179571,2.037,10,mirror
2011,724,Espanha,26674916038,32.168,1,direct
2011,276,Alemanha,10173846642,12.269,2,direct
2011,251,França,5581716873,6.731,3,direct
2011,380,Itália,4487633911,5.412,4,direct
2011,528,Países Baixos,4005251362,4.83,5,direct
2011,826,Reino Unido,2740296472,3.305,6,direct
2011,566,Nigéria,2128710113,2.567,7,direct
2011,156,China,2124872846,2.562,8,direct
2011,56,Bélgica,2095316109,2.527,9,direct
2011,76,Brasil,2035811861,2.455,10,direct
2011,724,Espanha,24436538821,30.893,1,mirror
2011,276,Alemanha,9714352369,12.281,2,mirror
2011,251,França,5524876558,6.985,3,mirror
2011,380,Itália,4574069374,5.783,4,mirror
2011,528,Países Baixos,3530147874,4.463,5,mirror
2011,156,China,2801433742,3.542,6,mirror
2011,826,Reino Unido,2788999057,3.526,7,mirror
2011,76,Brasil,2054837826,2.598,8,mirror
2011,566,Nigéria,1942437006,2.456,9,mirror
2011,12,Argélia,1848518827,2.337,10,mirror
2012,724,Espanha,23086446027,31.841,1,direct
2012,276,Alemanha,8220117539,11.337,2,direct
2012,251,França,4773465813,6.584,3,direct
2012,380,Itália,3770677301,5.2,4,direct
2012,528,Países Baixos,3470444867,4.786,5,direct
2012,24,Angola,2290610271,3.159,6,direct
2012,826,Reino Unido,2151866596,2.968,7,direct
2012,56,Bélgica,1845727736,2.546,8,direct
2012,156,China,1789520668,2.468,9,direct
2012,76,Brasil,1760577964,2.428,10,direct
2012,724,Espanha,20346175455,30.346,1,mirror
2012,276,Alemanha,7870354954,11.738,2,mirror
2012,251,França,4646112377,6.93,3,mirror
2012,380,Itália,3884005936,5.793,4,mirror
2012,528,Países Baixos,3190804702,4.759,5,mirror
2012,156,China,2501157554,3.73,6,mirror
2012,826,Reino Unido,2058162070,3.07,7,mirror
2012,24,Angola,2008649718,2.996,8,mirror
2012,12,Argélia,1710968190,2.552,9,mirror
2012,76,Brasil,1624614531,2.423,10,mirror
2013,724,Espanha,24427596525,32.263,1,direct
2013,276,Alemanha,8615531622,11.379,2,direct
2013,251,França,5092558405,6.726,3,direct
2013,380,Itália,3874565033,5.117,4,direct
2013,528,Países Baixos,3784649048,4.999,5,direct
2013,24,Angola,3495088409,4.616,6,direct
2013,826,Reino Unido,2224110783,2.938,7,direct
2013,56,Bélgica,1896097807,2.504,8,direct
2013,156,China,1819905871,2.404,9,direct
2013,643,Rússia,1328168727,1.754,10,direct
2013,724,Espanha,22864855488,31.351,1,mirror
2013,276,Alemanha,8401935204,11.52,2,mirror
2013,251,França,5339372223,7.321,3,mirror
2013,380,Itália,4021088548,5.514,4,mirror
2013,528,Países Baixos,3372147611,4.624,5,mirror
2013,24,Angola,2987167493,4.096,6,mirror
2013,156,China,2506863699,3.437,7,mirror
2013,826,Reino Unido,2076412014,2.847,8,mirror
2013,12,Argélia,1603741297,2.199,9,mirror
2013,56,Bélgica,1393304385,1.91,10,mirror
2014,724,Espanha,25516987882,32.549,1,direct
2014,276,Alemanha,9654866271,12.316,2,direct
2014,251,França,5552042660,7.082,3,direct
2014,380,Itália,4082018312,5.207,4,direct
2014,528,Países Baixos,4053498512,5.171,5,direct
2014,826,Reino Unido,2413906865,3.079,6,direct
2014,24,Angola,2132511992,2.72,7,direct
2014,156,China,2123608142,2.709,8,direct
2014,56,Bélgica,2084817507,2.659,9,direct
2014,842,EUA,1235500008,1.576,10,direct
2014,724,Espanha,23577910555,31.272,1,mirror
2014,276,Alemanha,9403427395,12.472,2,mirror
2014,251,França,5408532601,7.173,3,mirror
2014,380,Itália,4300614131,5.704,4,mirror
2014,528,Países Baixos,3547684965,4.705,5,mirror
2014,156,China,3137073216,4.161,6,mirror
2014,826,Reino Unido,2191584570,2.907,7,mirror
2014,24,Angola,1926041002,2.555,8,mirror
2014,566,Nigéria,1764529201,2.34,9,mirror
2014,12,Argélia,1760513493,2.335,10,mirror
2015,724,Espanha,22100895559,33.031,1,direct
2015,276,Alemanha,8542150534,12.767,2,direct
2015,251,França,4954532501,7.405,3,direct
2015,380,Itália,3619218264,5.409,4,direct
2015,528,Países Baixos,3418520280,5.109,5,direct
2015,826,Reino Unido,2099290100,3.138,6,direct
2015,156,China,1971045287,2.946,7,direct
2015,56,Bélgica,1883690687,2.815,8,direct
2015,24,Angola,1266536955,1.893,9,direct
2015,842,EUA,1071266098,1.601,10,direct
2015,724,Espanha,19815308583,30.924,1,mirror
2015,276,Alemanha,8335885112,13.009,2,mirror
2015,251,França,4700041267,7.335,3,mirror
2015,380,Itália,3725131501,5.813,4,mirror
2015,156,China,2894923138,4.518,5,mirror
2015,528,Países Baixos,2638960344,4.118,6,mirror
2015,826,Reino Unido,1911095494,2.982,7,mirror
2015,56,Bélgica,1278648732,1.995,8,mirror
2015,24,Angola,1199355049,1.872,9,mirror
2015,842,EUA,942463657,1.471,10,mirror
2016,724,Espanha,22508078073,33.123,1,direct
2016,276,Alemanha,9130899220,13.437,2,direct
2016,251,França,5234801229,7.704,3,direct
2016,380,Itália,3741064800,5.505,4,direct
2016,528,Países Baixos,3465024520,5.099,5,direct
2016,156,China,2012900185,2.962,6,direct
2016,826,Reino Unido,1992777150,2.933,7,direct
2016,56,Bélgica,1917871491,2.822,8,direct
2016,643,Rússia,1313257506,1.933,9,direct
2016,76,Brasil,1166541527,1.717,10,direct
2016,724,Espanha,19956186624,30.509,1,mirror
2016,276,Alemanha,8770698254,13.409,2,mirror
2016,251,França,5051053683,7.722,3,mirror
2016,156,China,4002119526,6.118,4,mirror
2016,380,Itália,3910010435,5.978,5,mirror
2016,528,Países Baixos,2648148249,4.048,6,mirror
2016,826,Reino Unido,1935932142,2.96,7,mirror
2016,56,Bélgica,1404106439,2.147,8,mirror
2016,842,EUA,967344908,1.479,9,mirror
2016,24,Angola,851431606,1.302,10,mirror
2017,724,Espanha,25424360897,32.286,1,direct
2017,276,Alemanha,10761724526,13.666,2,direct
2017,251,França,5770484888,7.328,3,direct
2017,380,Itália,4263699827,5.414,4,direct
2017,528,Países Baixos,4226341918,5.367,5,direct
2017,156,China,2318106446,2.944,6,direct
2017,56,Bélgica,2177689409,2.765,7,direct
2017,826,Reino Unido,2105805573,2.674,8,direct
2017,643,Rússia,1781713859,2.263,9,direct
2017,76,Brasil,1377941803,1.75,10,direct
2017,724,Espanha,22641538716,30.302,1,mirror
2017,276,Alemanha,9926346469,13.285,2,mirror
2017,251,França,5435119412,7.274,3,mirror
