year,hs6,description_pt,value,share_pct,rank,basis
2003,870332,Automóveis de passageiros,1839784708,5.779,1,direct
2003,854221,Circuitos integrados,836906929,2.629,2,direct
2003,852721,Recetores de rádio,766152788,2.407,3,direct
2003,640399,Calçado de couro,746406815,2.345,4,direct
2003,870421,Veículos de mercadorias,633948431,1.991,5,direct
2003,870899,Partes e acessórios de veículos,623314910,1.958,6,direct
2003,610910,T-shirts e camisetas de malha,580531144,1.824,7,direct
2003,854430,Fios e cabos elétricos isolados,557979738,1.753,8,direct
2003,450310,Rolhas de cortiça,549511469,1.726,9,direct
2003,220421,Vinho,544487857,1.71,10,direct
2003,870332,Automóveis de passageiros,2211853851,6.871,1,mirror
2003,999999,Mercadorias não especificadas,1026722853,3.189,2,mirror
2003,640399,Calçado de couro,938677765,2.916,3,mirror
2003,852721,Recetores de rádio,765089274,2.377,4,mirror
2003,870323,Automóveis de passageiros,717731237,2.23,5,mirror
2003,870899,Partes e acessórios de veículos,674076170,2.094,6,mirror
2003,450310,Rolhas de cortiça,597838469,1.857,7,mirror
2003,610910,T-shirts e camisetas de malha,558508554,1.735,8,mirror
2003,220421,Vinho,515633780,1.602,9,mirror
2003,470329,Pasta de madeira química,451909006,1.404,10,mirror
2004,999999,Mercadorias não especificadas,7724102547,17.414,1,direct
2004,870332,Automóveis de passageiros,2117514626,4.774,2,direct
2004,852721,Recetores de rádio,936157410,2.111,3,direct
2004,640399,Calçado de couro,770456536,1.737,4,direct
2004,854221,Circuitos integrados,760902194,1.715,5,direct
2004,870899,Partes e acessórios de veículos,756983240,1.707,6,direct
2004,610910,T-shirts e camisetas de malha,667665463,1.505,7,direct
2004,220421,Vinho,596366397,1.345,8,direct
2004,940190,Assentos e partes,586953013,1.323,9,direct
2004,847330,Partes de computadores,580562524,1.309,10,direct
2004,870332,Automóveis de passageiros,2065551031,5.541,1,mirror
2004,999999,Mercadorias não especificadas,1084299665,2.909,2,mirror
2004,852721,Recetores de rádio,887178434,2.38,3,mirror
2004,640399,Calçado de couro,858829815,2.304,4,mirror
2004,870899,Partes e acessórios de veículos,743733394,1.995,5,mirror
2004,450310,Rolhas de cortiça,623778312,1.673,6,mirror
2004,610910,T-shirts e camisetas de malha,619676695,1.662,7,mirror
2004,220421,Vinho,566481221,1.52,8,mirror
2004,470329,Pasta de madeira química,547931869,1.47,9,mirror
2004,870421,Veículos de mercadorias,534987852,1.435,10,mirror
2005,870332,Automóveis de passageiros,1786039769,4.618,1,direct
2005,852721,Recetores de rádio,1070857059,2.769,2,direct
2005,999999,Mercadorias não especificadas,848602809,2.194,3,direct
2005,870899,Partes e acessórios de veículos,831871131,2.151,4,direct
2005,854221,Circuitos integrados,812342856,2.101,5,direct
2005,271019,Combustíveis refinados,789151858,2.041,6,direct
2005,847330,Partes de computadores,770304482,1.992,7,direct
2005,640399,Calçado de couro,727236117,1.881,8,direct
2005,220421,Vinho,626029962,1.619,9,direct
2005,610910,T-shirts e camisetas de malha,610001290,1.577,10,direct
2005,870332,Automóveis de passageiros,1636531973,4.277,1,mirror
2005,852721,Recetores de rádio,942633558,2.464,2,mirror
2005,999999,Mercadorias não especificadas,935046482,2.444,3,mirror
2005,640399,Calçado de couro,823821863,2.153,4,mirror
2005,870899,Partes e acessórios de veículos,788993304,2.062,5,mirror
2005,220421,Vinho,615656721,1.609,6,mirror
2005,610910,T-shirts e camisetas de malha,613218249,1.603,7,mirror
2005,470329,Pasta de madeira química,606775555,1.586,8,mirror
2005,450310,Rolhas de cortiça,584480283,1.528,9,mirror
2005,870421,Veículos de mercadorias,563093065,1.472,10,mirror
2006,854221,Circuitos integrados,1479392296,3.304,1,direct
2006,870332,Automóveis de passageiros,1361917674,3.042,2,direct
2006,870899,Partes e acessórios de veículos,1067358961,2.384,3,direct
2006,870323,Automóveis de passageiros,1063385033,2.375,4,direct
2006,852721,Recetores de rádio,1059934044,2.367,5,direct
2006,271019,Combustíveis refinados,1046512285,2.337,6,direct
2006,999999,Mercadorias não especificadas,949739644,2.121,7,direct
2006,271011,Combustíveis refinados,875781433,1.956,8,direct
2006,640399,Calçado de couro,695849706,1.554,9,direct
2006,610910,T-shirts e camisetas de malha,650233594,1.452,10,direct
2006,870332,Automóveis de passageiros,1125360887,2.528,1,mirror
2006,999999,Mercadorias não especificadas,966691813,2.172,2,mirror
2006,870899,Partes e acessórios de veículos,961528324,2.16,3,mirror
2006,852721,Recetores de rádio,944455928,2.122,4,mirror
2006,640399,Calçado de couro,806742356,1.812,5,mirror
2006,610910,T-shirts e camisetas de malha,680525590,1.529,6,mirror
2006,470329,Pasta de madeira química,646930888,1.453,7,mirror
2006,220421,Vinho,637874352,1.433,8,mirror
2006,870323,Automóveis de passageiros,601130827,1.351,9,mirror
