year,hs6,description_pt,value,share_pct,rank,basis
2003,270900,Petróleo bruto,2721304954,5.77,1,direct
2003,300490,Medicamentos,1067694257,2.264,2,direct
2003,870332,Automóveis de passageiros,1033761962,2.192,3,direct
2003,854221,854221,966119326,2.048,4,direct
2003,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,942782156,1.999,5,direct
2003,870322,Automóveis de passageiros,888412269,1.884,6,direct
2003,271019,Combustíveis refinados,618557510,1.311,7,direct
2003,870421,Veículos de mercadorias,513886542,1.09,8,direct
2003,840820,"Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of chapter 87",460404232,0.976,9,direct
2003,852520,852520,447141786,0.948,10,direct
2003,270900,Petróleo bruto,1763034556,3.66,1,mirror
2003,999999,Commodities not specified according to kind,1343910151,2.79,2,mirror
2003,870332,Automóveis de passageiros,1062161658,2.205,3,mirror
2003,300490,Medicamentos,984136429,2.043,4,mirror
2003,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,882503988,1.832,5,mirror
2003,271121,Gás natural e outros gases de petróleo,607495228,1.261,6,mirror
2003,870322,Automóveis de passageiros,554150788,1.15,7,mirror
2003,870323,Automóveis de passageiros,508178200,1.055,8,mirror
2003,271019,Combustíveis refinados,469756764,0.975,9,mirror
2003,840820,"Engines; compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of chapter 87",423185704,0.878,10,mirror
2004,999999,Commodities not specified according to kind,11229183190,16.46,1,direct
2004,270900,Petróleo bruto,3713963796,5.444,2,direct
2004,870332,Automóveis de passageiros,1385649387,2.031,3,direct
2004,300490,Medicamentos,1368492781,2.006,4,direct
2004,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1150861861,1.687,5,direct
2004,854221,854221,1094902871,1.605,6,direct
2004,870421,Veículos de mercadorias,807988247,1.184,7,direct
2004,870322,Automóveis de passageiros,711946945,1.044,8,direct
2004,271019,Combustíveis refinados,631184603,0.925,9,direct
2004,870331,Automóveis de passageiros,618079829,0.906,10,direct
2004,999999,Commodities not specified according to kind,1900805697,3.351,1,mirror
2004,270900,Petróleo bruto,1557880738,2.747,2,mirror
2004,870332,Automóveis de passageiros,1483996192,2.616,3,mirror
2004,300490,Medicamentos,1311787322,2.313,4,mirror
2004,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,954323840,1.683,5,mirror
2004,271121,Gás natural e outros gases de petróleo,635846520,1.121,6,mirror
2004,870322,Automóveis de passageiros,567862262,1.001,7,mirror
2004,870331,Automóveis de passageiros,539714083,0.952,8,mirror
2004,870421,Veículos de mercadorias,511158464,0.901,9,mirror
2004,271600,Electrical energy,496592505,0.876,10,mirror
2005,270900,Petróleo bruto,4928855958,7.713,1,direct
2005,870332,Automóveis de passageiros,1952958658,3.056,2,direct
2005,300490,Medicamentos,1417591280,2.218,3,direct
2005,854221,854221,1356374634,2.123,4,direct
2005,271019,Combustíveis refinados,1238053127,1.937,5,direct
2005,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1163934130,1.821,6,direct
2005,870421,Veículos de mercadorias,777967600,1.217,7,direct
2005,999999,Commodities not specified according to kind,744730020,1.165,8,direct
2005,852520,852520,723594838,1.132,9,direct
2005,870322,Automóveis de passageiros,653599952,1.023,10,direct
2005,270900,Petróleo bruto,2286883433,3.737,1,mirror
2005,870332,Automóveis de passageiros,1575347256,2.574,2,mirror
2005,999999,Commodities not specified according to kind,1517868300,2.481,3,mirror
2005,300490,Medicamentos,1332868373,2.178,4,mirror
2005,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1045968484,1.709,5,mirror
2005,271019,Combustíveis refinados,1001799436,1.637,6,mirror
2005,870331,Automóveis de passageiros,642091462,1.049,7,mirror
2005,271121,Gás natural e outros gases de petróleo,607475882,0.993,8,mirror
2005,870323,Automóveis de passageiros,567759845,0.928,9,mirror
2005,870421,Veículos de mercadorias,471194957,0.77,10,mirror
2006,270900,Petróleo bruto,6333785065,8.958,1,direct
2006,300490,Medicamentos,1662589691,2.351,2,direct
2006,854221,854221,1631743671,2.308,3,direct
2006,870332,Automóveis de passageiros,1568585093,2.218,4,direct
2006,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1204425005,1.703,5,direct
2006,271019,Combustíveis refinados,1162865398,1.645,6,direct
2006,870331,Automóveis de passageiros,812923303,1.15,7,direct
2006,870323,Automóveis de passageiros,782794309,1.107,8,direct
2006,870421,Veículos de mercadorias,752152495,1.064,9,direct
2006,999999,Commodities not specified according to kind,688269319,0.973,10,direct
2006,270900,Petróleo bruto,3558691258,5.265,1,mirror
2006,870332,Automóveis de passageiros,1561296778,2.31,2,mirror
2006,300490,Medicamentos,1509917782,2.234,3,mirror
2006,999999,Commodities not specified according to kind,1194245357,1.767,4,mirror
2006,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1123073626,1.662,5,mirror
2006,271019,Combustíveis refinados,680827105,1.007,6,mirror
2006,870331,Automóveis de passageiros,671412050,0.993,7,mirror
2006,271121,Gás natural e outros gases de petróleo,522463204,0.773,8,mirror
2006,870323,Automóveis de passageiros,520878065,0.771,9,mirror
2006,870421,Veículos de mercadorias,493082053,0.729,10,mirror
2007,270900,Petróleo bruto,6462747373,7.856,1,direct
2007,870332,Automóveis de passageiros,1998943913,2.43,2,direct
2007,300490,Medicamentos,1880741374,2.286,3,direct
2007,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1553678013,1.889,4,direct
2007,271019,Combustíveis refinados,1275314750,1.55,5,direct
2007,999999,Commodities not specified according to kind,1064013264,1.293,6,direct
2007,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1031705411,1.254,7,direct
2007,870331,Automóveis de passageiros,981329665,1.193,8,direct
2007,870421,Veículos de mercadorias,901421713,1.096,9,direct
2007,870323,Automóveis de passageiros,877836851,1.067,10,direct
2007,270900,Petróleo bruto,3651994711,4.754,1,mirror
2007,870332,Automóveis de passageiros,1899035643,2.472,2,mirror
2007,300490,Medicamentos,1734217168,2.257,3,mirror
2007,999999,Commodities not specified according to kind,1722884472,2.243,4,mirror
2007,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,957786885,1.247,5,mirror
2007,870331,Automóveis de passageiros,911210067,1.186,6,mirror
2007,271019,Combustíveis refinados,704326404,0.917,7,mirror
2007,851712,851712,662933865,0.863,8,mirror
2007,870421,Veículos de mercadorias,580128768,0.755,9,mirror
2007,870322,Automóveis de passageiros,536380712,0.698,10,mirror
2008,270900,Petróleo bruto,8877422672,9.389,1,direct
2008,870332,Automóveis de passageiros,2637004461,2.789,2,direct
2008,300490,Medicamentos,2166820009,2.292,3,direct
2008,271019,Combustíveis refinados,1609000631,1.702,4,direct
2008,854239,Electronic integrated circuits; n.e.c. in heading no. 8542,1480675910,1.566,5,direct
2008,271121,Gás natural e outros gases de petróleo,1143807777,1.21,6,direct
2008,999999,Commodities not specified according to kind,1074549857,1.136,7,direct
2008,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1062143217,1.123,8,direct
2008,870331,Automóveis de passageiros,1011127880,1.069,9,direct
2008,271600,Electrical energy,942781467,0.997,10,direct
2008,270900,Petróleo bruto,6166013543,7.144,1,mirror
2008,870332,Automóveis de passageiros,2280201141,2.642,2,mirror
2008,300490,Medicamentos,1973471702,2.287,3,mirror
2008,999999,Commodities not specified according to kind,1545843034,1.791,4,mirror
2008,271019,Combustíveis refinados,1120486812,1.298,5,mirror
2008,271121,Gás natural e outros gases de petróleo,976123080,1.131,6,mirror
2008,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,935842280,1.084,7,mirror
2008,870331,Automóveis de passageiros,835021153,0.968,8,mirror
2008,870322,Automóveis de passageiros,701831899,0.813,9,mirror
2008,880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",700595205,0.812,10,mirror
2009,270900,Petróleo bruto,4733235918,6.591,1,direct
2009,300490,Medicamentos,2267058089,3.157,2,direct
2009,870332,Automóveis de passageiros,1685983368,2.348,3,direct
2009,271019,Combustíveis refinados,1213915413,1.69,4,direct
2009,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1161939344,1.618,5,direct
2009,271111,Gás natural e outros gases de petróleo,775811980,1.08,6,direct
2009,271121,Gás natural e outros gases de petróleo,619217564,0.862,7,direct
2009,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",614364688,0.856,8,direct
2009,870331,Automóveis de passageiros,597573518,0.832,9,direct
2009,870322,Automóveis de passageiros,524476037,0.73,10,direct
2009,270900,Petróleo bruto,3357068453,4.964,1,mirror
2009,300490,Medicamentos,2070622953,3.062,2,mirror
2009,870332,Automóveis de passageiros,1482350846,2.192,3,mirror
2009,999999,Commodities not specified according to kind,1456341418,2.153,4,mirror
2009,271019,Combustíveis refinados,688752155,1.018,5,mirror
2009,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,616384079,0.911,6,mirror
2009,271121,Gás natural e outros gases de petróleo,579867212,0.857,7,mirror
2009,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",553463502,0.818,8,mirror
2009,870322,Automóveis de passageiros,509893773,0.754,9,mirror
2009,870331,Automóveis de passageiros,505912645,0.748,10,mirror
2010,270900,Petróleo bruto,6649521200,8.56,1,direct
2010,870332,Automóveis de passageiros,2228263755,2.868,2,direct
2010,300490,Medicamentos,2168059594,2.791,3,direct
2010,271019,Combustíveis refinados,1396691932,1.798,4,direct
2010,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1382736606,1.78,5,direct
2010,890610,Vessels; warships,1327243354,1.709,6,direct
2010,870331,Automóveis de passageiros,933380796,1.202,7,direct
2010,271121,Gás natural e outros gases de petróleo,763320139,0.983,8,direct
2010,271111,Gás natural e outros gases de petróleo,753609756,0.97,9,direct
2010,870322,Automóveis de passageiros,668176740,0.86,10,direct
2010,270900,Petróleo bruto,5039706372,6.82,1,mirror
2010,999999,Commodities not specified according to kind,2393143012,3.238,2,mirror
2010,870332,Automóveis de passageiros,2096066064,2.836,3,mirror
2010,300490,Medicamentos,1867603436,2.527,4,mirror
2010,271019,Combustíveis refinados,1008954960,1.365,5,mirror
2010,870331,Automóveis de passageiros,712538131,0.964,6,mirror
2010,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,662486667,0.896,7,mirror
2010,870322,Automóveis de passageiros,659339703,0.892,8,mirror
2010,271121,Gás natural e outros gases de petróleo,654245876,0.885,9,mirror
2010,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",543411429,0.735,10,mirror
2011,270900,Petróleo bruto,8448644069,10.188,1,direct
2011,300490,Medicamentos,2208391277,2.663,2,direct
2011,271019,Combustíveis refinados,1933849705,2.332,3,direct
2011,870332,Automóveis de passageiros,1927846500,2.325,4,direct
2011,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1713244060,2.066,5,direct
2011,271111,Gás natural e outros gases de petróleo,988932649,1.193,6,direct
2011,271121,Gás natural e outros gases de petróleo,836072437,1.008,7,direct
2011,271011,Combustíveis refinados,677483821,0.817,8,direct
2011,870331,Automóveis de passageiros,668865977,0.807,9,direct
2011,100590,"Cereals; maize (corn), other than seed",495414234,0.597,10,direct
2011,270900,Petróleo bruto,7138760700,9.025,1,mirror
2011,300490,Medicamentos,1948070860,2.463,2,mirror
2011,870332,Automóveis de passageiros,1750616356,2.213,3,mirror
2011,999999,Commodities not specified according to kind,1411368797,1.784,4,mirror
2011,271019,Combustíveis refinados,1023265076,1.294,5,mirror
2011,271121,Gás natural e outros gases de petróleo,880249160,1.113,6,mirror
2011,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,750184279,0.948,7,mirror
2011,870331,Automóveis de passageiros,648614628,0.82,8,mirror
2011,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",495309455,0.626,9,mirror
2011,870322,Automóveis de passageiros,426915688,0.54,10,mirror
2012,270900,Petróleo bruto,9555226184,13.178,1,direct
2012,300490,Medicamentos,2012505804,2.776,2,direct
2012,271019,Combustíveis refinados,1505174537,2.076,3,direct
2012,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1411825459,1.947,4,direct
2012,870332,Automóveis de passageiros,1116331650,1.54,5,direct
2012,271121,Gás natural e outros gases de petróleo,989534404,1.365,6,direct
2012,271111,Gás natural e outros gases de petróleo,762276178,1.051,7,direct
2012,271600,Electrical energy,509109216,0.702,8,direct
2012,851712,851712,475458738,0.656,9,direct
2012,100590,"Cereals; maize (corn), other than seed",469244816,0.647,10,direct
2012,270900,Petróleo bruto,6906255255,10.3,1,mirror
2012,300490,Medicamentos,1770545346,2.641,2,mirror
2012,999999,Commodities not specified according to kind,1072409249,1.599,3,mirror
2012,870332,Automóveis de passageiros,1029865191,1.536,4,mirror
2012,271019,Combustíveis refinados,923315207,1.377,5,mirror
2012,271121,Gás natural e outros gases de petróleo,884171423,1.319,6,mirror
2012,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,667900576,0.996,7,mirror
2012,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",542962405,0.81,8,mirror
2012,100590,"Cereals; maize (corn), other than seed",417110228,0.622,9,mirror
2012,851712,851712,399289274,0.596,10,mirror
2013,270900,Petróleo bruto,9355129303,12.356,1,direct
2013,300490,Medicamentos,1947434028,2.572,2,direct
2013,271019,Combustíveis refinados,1667749665,2.203,3,direct
2013,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1384370047,1.828,4,direct
2013,870332,Automóveis de passageiros,1277568118,1.687,5,direct
2013,271121,Gás natural e outros gases de petróleo,1214062681,1.603,6,direct
2013,271111,Gás natural e outros gases de petróleo,742496502,0.981,7,direct
2013,851712,851712,569965310,0.753,8,direct
2013,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",496039469,0.655,9,direct
2013,100590,"Cereals; maize (corn), other than seed",467363098,0.617,10,direct
2013,270900,Petróleo bruto,7457714337,10.226,1,mirror
2013,300490,Medicamentos,1722479867,2.362,2,mirror
2013,870332,Automóveis de passageiros,1353638605,1.856,3,mirror
2013,999999,Commodities not specified according to kind,1189470439,1.631,4,mirror
2013,271019,Combustíveis refinados,1178138630,1.615,5,mirror
2013,271121,Gás natural e outros gases de petróleo,903871307,1.239,6,mirror
2013,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,748452448,1.026,7,mirror
2013,870331,Automóveis de passageiros,663551633,0.91,8,mirror
2013,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",573678030,0.787,9,mirror
2013,851712,851712,488903061,0.67,10,mirror
2014,270900,Petróleo bruto,8161382620,10.41,1,direct
2014,300490,Medicamentos,1939718158,2.474,2,direct
2014,271019,Combustíveis refinados,1825940848,2.329,3,direct
2014,870332,Automóveis de passageiros,1825425884,2.328,4,direct
2014,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1500793309,1.914,5,direct
2014,271121,Gás natural e outros gases de petróleo,1314256052,1.676,6,direct
2014,870331,Automóveis de passageiros,750466555,0.957,7,direct
2014,851712,851712,640181929,0.817,8,direct
2014,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",494448262,0.631,9,direct
2014,271112,Gás natural e outros gases de petróleo,477215950,0.609,10,direct
2014,270900,Petróleo bruto,5839066799,7.744,1,mirror
2014,870332,Automóveis de passageiros,1763529078,2.339,2,mirror
2014,300490,Medicamentos,1673522150,2.22,3,mirror
2014,999999,Commodities not specified according to kind,1210682546,1.606,4,mirror
2014,271019,Combustíveis refinados,1016421169,1.348,5,mirror
2014,271121,Gás natural e outros gases de petróleo,802912946,1.065,6,mirror
2014,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,775393580,1.028,7,mirror
2014,870331,Automóveis de passageiros,745448337,0.989,8,mirror
2014,851712,851712,593676146,0.787,9,mirror
2014,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",528367640,0.701,10,mirror
2015,270900,Petróleo bruto,5465884986,8.169,1,direct
2015,870332,Automóveis de passageiros,1838383770,2.748,2,direct
2015,300490,Medicamentos,1784697311,2.667,3,direct
2015,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1267853116,1.895,4,direct
2015,870331,Automóveis de passageiros,972767347,1.454,5,direct
2015,271019,Combustíveis refinados,953488090,1.425,6,direct
2015,271121,Gás natural e outros gases de petróleo,929098810,1.389,7,direct
2015,851712,851712,590303881,0.882,8,direct
2015,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",391615756,0.585,9,direct
2015,870322,Automóveis de passageiros,374939555,0.56,10,direct
2015,270900,Petróleo bruto,4344676244,6.78,1,mirror
2015,870332,Automóveis de passageiros,1686640194,2.632,2,mirror
2015,300490,Medicamentos,1508838934,2.355,3,mirror
2015,999999,Commodities not specified according to kind,1231797512,1.922,4,mirror
2015,870331,Automóveis de passageiros,914212111,1.427,5,mirror
2015,271019,Combustíveis refinados,621553688,0.97,6,mirror
2015,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620485494,0.968,7,mirror
2015,851712,851712,601924652,0.939,8,mirror
2015,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",420682805,0.657,9,mirror
2015,870322,Automóveis de passageiros,357268910,0.558,10,mirror
2016,270900,Petróleo bruto,4286734735,6.308,1,direct
2016,870332,Automóveis de passageiros,2007526509,2.954,2,direct
2016,300490,Medicamentos,1856193864,2.732,3,direct
2016,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1203067936,1.77,4,direct
2016,870331,Automóveis de passageiros,1069740389,1.574,5,direct
2016,271019,Combustíveis refinados,758736264,1.117,6,direct
2016,271121,Gás natural e outros gases de petróleo,718534234,1.057,7,direct
2016,851712,851712,611449115,0.9,8,direct
2016,880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",500909286,0.737,9,direct
2016,870322,Automóveis de passageiros,432079115,0.636,10,direct
2016,270900,Petróleo bruto,3076957528,4.704,1,mirror
2016,870332,Automóveis de passageiros,1767987552,2.703,2,mirror
2016,300490,Medicamentos,1534271763,2.346,3,mirror
2016,999999,Commodities not specified according to kind,1146601351,1.753,4,mirror
2016,870331,Automóveis de passageiros,991493192,1.516,5,mirror
2016,851712,851712,647286652,0.99,6,mirror
2016,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,561556403,0.859,7,mirror
2016,271019,Combustíveis refinados,514559353,0.787,8,mirror
2016,870322,Automóveis de passageiros,439183727,0.671,9,mirror
2016,381512,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.c. or included",391330855,0.598,10,mirror
2017,270900,Petróleo bruto,5548688656,7.046,1,direct
2017,870332,Automóveis de passageiros,1992721789,2.531,2,direct
2017,300490,Medicamentos,1792836291,2.277,3,direct
2017,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1334915765,1.695,4,direct
2017,870331,Automóveis de passageiros,1156825064,1.469,5,direct
2017,271019,Combustíveis refinados,972384760,1.235,6,direct
2017,271121,Gás natural e outros gases de petróleo,684725330,0.87,7,direct
2017,271111,Gás natural e outros gases de petróleo,676430054,0.859,8,direct
2017,851712,851712,668822781,0.849,9,direct
2017,880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",588825375,0.748,10,direct
2017,270900,Petróleo bruto,3526223127,4.719,1,mirror
2017,870332,Automóveis de passageiros,1912622705,2.56,2,mirror
2017,300490,Medicamentos,1585014870,2.121,3,mirror
2017,999999,Commodities not specified according to kind,1451283293,1.942,4,mirror
2017,870331,Automóveis de passageiros,1113396768,1.49,5,mirror
2017,271019,Combustíveis refinados,779080944,1.043,6,mirror
2017,851712,851712,694073080,0.929,7,mirror
2017,271111,Gás natural e outros gases de petróleo,647361076,0.866,8,mirror
2017,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,620872837,0.831,9,mirror
2017,870322,Automóveis de passageiros,501848069,0.672,10,mirror
2018,270900,Petróleo bruto,7186604488,7.515,1,direct
2018,300490,Medicamentos,2149085030,2.247,2,direct
2018,870332,Automóveis de passageiros,2037380352,2.13,3,direct
2018,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,1358742706,1.421,4,direct
2018,870331,Automóveis de passageiros,1349898676,1.412,5,direct
