year,basis,exports,imports,trade_volume,balance
2003,direct,31833580815,47166165432,78999746247,-15332584617
2003,mirror,32191541568,48176835559,80368377127,-15985293991
2004,direct,44354988764,68222019741,112577008505,-23867030977
2004,mirror,37279479734,56719629145,93999108879,-19440149411
2005,direct,38672068551,63903733547,102575802098,-25231664996
2005,mirror,38263609145,61191867557,99455476702,-22928258412
2006,direct,44777435756,70707161372,115484597128,-25929725616
2006,mirror,44510643783,67593147290,112103791073,-23082503507
2007,direct,52483606244,82267209952,134750816196,-29783603708
2007,mirror,47985038124,76823685816,124808723940,-28838647692
2008,direct,57246284833,94553785723,151800070556,-37307500890
2008,mirror,52594579105,86306468682,138901047787,-33711889577
2009,direct,44249979857,71810896681,116060876538,-27560916824
2009,mirror,41373139802,67630800258,109003940060,-26257660456
2010,direct,49414051268,77682426213,127096477481,-28268374945
2010,mirror,46505269726,73899101726,120404371452,-27393832000
2011,direct,59588301885,82923617602,142511919487,-23335315717
2011,mirror,56559365999,79101049362,135660415361,-22541683363
2012,direct,58140499722,72506492414,130646992136,-14365992692
2012,mirror,57136143824,67047935285,124184079109,-9911791461
2013,direct,62794139450,75713900496,138508039946,-12919761046
2013,mirror,61319664956,72931049856,134250714812,-11611384900
2014,direct,63834385666,78395890972,142230276638,-14561505306
2014,mirror,62975664807,75397044764,138372709571,-12421379957
2015,direct,55045025717,66909182383,121954208100,-11864156666
2015,mirror,55326742935,64077512504,119404255439,-8750769569
2016,direct,55371549249,67952834136,123324383385,-12581284887
2016,mirror,54901925642,65410709942,120312635584,-10508784300
2017,direct,62116840516,78746119203,140862959719,-16629278687
2017,mirror,60613257768,74719145684,135332403452,-14105887916
2018,direct,74135905807,95629298715,169765204522,-21493392908
2018,mirror,67026433760,83492271180,150518704940,-16465837420
2019,direct,67064074174,89541379731,156605453905,-22477305557
2019,mirror,65661988994,84218408784,149880397778,-18556419790
2020,direct,61400262160,77834419563,139234681723,-16434157403
2020,mirror,61028739559,73897720624,134926460183,-12868981065
2021,direct,75242766894,98337110276,173579877170,-23094343382
2021,mirror,74468286656,93954452485,168422739141,-19486165829
2022,direct,83016781174,116009801908,199026583082,-32993020734
2022,mirror,81557797391,105814642739,187372440130,-24256845348
2023,direct,83624882357,113690524448,197315406805,-30065642091
2023,mirror,83276399236,105457267757,188733666993,-22180868521
2024,direct,82670552247,112374576588,195045128835,-29704024341
2024,mirror,84926035702,106985937197,191911972899,-22059901495
