year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,56,Bélgica,080111,Coco desidratado,608,Filipinas,4647629,29.949,1,0,15518236
2003,56,Bélgica,080111,Coco desidratado,360,Indonésia,4382448,28.241,2,0,15518236
2003,56,Bélgica,080111,Coco desidratado,528,Países Baixos,3112158,20.055,3,0,15518236
2003,56,Bélgica,080111,Coco desidratado,702,Singapura,1898359,12.233,4,0,15518236
2003,56,Bélgica,080111,Coco desidratado,251,França,502260,3.237,5,0,15518236
2003,56,Bélgica,090411,Pimenta do reino,528,Países Baixos,1919394,31.368,1,0,6118963
2003,56,Bélgica,090411,Pimenta do reino,360,Indonésia,1116821,18.252,2,0,6118963
2003,56,Bélgica,090411,Pimenta do reino,251,França,791660,12.938,3,0,6118963
2003,56,Bélgica,090411,Pimenta do reino,276,Alemanha,571534,9.34,4,0,6118963
2003,56,Bélgica,090411,Pimenta do reino,699,Índia,512614,8.377,5,0,6118963
2003,56,Bélgica,151110,Óleo de palma em bruto,528,Países Baixos,14555951,40.058,1,0,36337269
2003,56,Bélgica,151110,Óleo de palma em bruto,826,Reino Unido,7910056,21.768,2,0,36337269
2003,56,Bélgica,151110,Óleo de palma em bruto,458,Malásia,5381729,14.81,3,0,36337269
2003,56,Bélgica,151110,Óleo de palma em bruto,360,Indonésia,4832431,13.299,4,0,36337269
2003,56,Bélgica,151110,Óleo de palma em bruto,598,Papua New Guinea,3190133,8.779,5,0,36337269
2003,56,Bélgica,180100,Cacau,384,Costa do Marfim,130542632,49.03,1,0,266247812
2003,56,Bélgica,180100,Cacau,566,Nigéria,68726676,25.813,2,0,266247812
2003,56,Bélgica,180100,Cacau,288,Gana,21003921,7.889,3,0,266247812
2003,56,Bélgica,180100,Cacau,120,Camarões,14984453,5.628,4,0,266247812
2003,56,Bélgica,180100,Cacau,360,Indonésia,3656529,1.373,5,0,266247812
2003,56,Bélgica,180100,Cacau,678,São Tomé e Príncipe,655747,0.246,16,1,266247812
2003,56,Bélgica,180632,"Chocolate em tabletes, não recheado",276,Alemanha,16279626,48.001,1,0,33915071
2003,56,Bélgica,180632,"Chocolate em tabletes, não recheado",251,França,8298647,24.469,2,0,33915071
2003,56,Bélgica,180632,"Chocolate em tabletes, não recheado",528,Países Baixos,3377348,9.958,3,0,33915071
2003,56,Bélgica,180632,"Chocolate em tabletes, não recheado",703,Eslováquia,1172217,3.456,4,0,33915071
2003,56,Bélgica,180632,"Chocolate em tabletes, não recheado",620,Portugal,969887,2.86,5,0,33915071
