year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",56,Bélgica,154520,45.345,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",620,Portugal,98520,28.911,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",251,França,62841,18.441,direct
2003,020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",899,"Areas, nes",24887,7.303,direct
2003,071333,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried",620,Portugal,294209,100.0,direct
2003,100620,Arroz,392,Japão,1207843,98.446,direct
2003,100620,Arroz,266,Gabão,17112,1.395,direct
2003,100620,Arroz,620,Portugal,1950,0.159,direct
2003,100630,Arroz,266,Gabão,34156,96.044,direct
2003,100630,Arroz,620,Portugal,792,2.227,direct
2003,100630,Arroz,56,Bélgica,367,1.032,direct
2003,100630,Arroz,251,França,249,0.7,direct
2003,110100,Wheat or meslin flour,56,Bélgica,682371,63.701,direct
2003,110100,Wheat or meslin flour,620,Portugal,388193,36.239,direct
2003,110100,Wheat or meslin flour,710,África do Sul,578,0.054,direct
2003,110100,Wheat or meslin flour,251,França,75,0.007,direct
2003,150790,Óleo de soja,620,Portugal,970095,78.581,direct
2003,150790,Óleo de soja,56,Bélgica,262772,21.285,direct
2003,150790,Óleo de soja,710,África do Sul,1600,0.13,direct
2003,150790,Óleo de soja,251,França,26,0.002,direct
2003,150790,Óleo de soja,266,Gabão,19,0.002,direct
2003,160100,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",620,Portugal,439670,99.687,direct
2003,160100,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",56,Bélgica,737,0.167,direct
2003,160100,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products",251,França,644,0.146,direct
2003,170111,Açúcar de cana ou de beterraba,56,Bélgica,462770,92.508,direct
2003,170111,Açúcar de cana ou de beterraba,620,Portugal,37122,7.421,direct
2003,170111,Açúcar de cana ou de beterraba,710,África do Sul,358,0.072,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",620,Portugal,543564,69.027,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",724,Espanha,114518,14.543,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",710,África do Sul,60172,7.641,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",56,Bélgica,34125,4.334,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",528,Países Baixos,33503,4.255,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",251,França,1502,0.191,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",208,Dinamarca,78,0.01,direct
2003,220290,220290,620,Portugal,358816,96.256,direct
2003,220290,220290,724,Espanha,12589,3.377,direct
2003,220290,220290,690,Seychelles,1172,0.314,direct
2003,220290,220290,528,Países Baixos,196,0.053,direct
2003,220300,Cerveja,620,Portugal,1200754,99.362,direct
2003,220300,Cerveja,266,Gabão,5183,0.429,direct
2003,220300,Cerveja,710,África do Sul,1000,0.083,direct
2003,220300,Cerveja,251,França,996,0.082,direct
2003,220300,Cerveja,56,Bélgica,536,0.044,direct
2003,220421,Vinho,620,Portugal,2191571,97.603,direct
2003,220421,Vinho,710,África do Sul,12638,0.563,direct
2003,220421,Vinho,56,Bélgica,8984,0.4,direct
2003,220421,Vinho,528,Países Baixos,8588,0.382,direct
2003,220421,Vinho,251,França,8446,0.376,direct
2003,220421,Vinho,682,Arábia Saudita,7625,0.34,direct
2003,220421,Vinho,44,Bahamas,7551,0.336,direct
2003,220429,Vinho,620,Portugal,67812,100.0,direct
2003,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",620,Portugal,74731,99.544,direct
2003,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",266,Gabão,342,0.456,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",620,Portugal,1253255,79.834,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",266,Gabão,208717,13.296,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",392,Japão,107856,6.871,direct
2003,271000,Combustíveis refinados,24,Angola,4086571,96.742,direct
2003,271000,Combustíveis refinados,620,Portugal,132000,3.125,direct
2003,271000,Combustíveis refinados,392,Japão,1505,0.036,direct
2003,271000,Combustíveis refinados,710,África do Sul,1435,0.034,direct
2003,271000,Combustíveis refinados,266,Gabão,1397,0.033,direct
2003,271000,Combustíveis refinados,56,Bélgica,857,0.02,direct
2003,271000,Combustíveis refinados,686,Senegal,306,0.007,direct
2003,271000,Combustíveis refinados,251,França,76,0.002,direct
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",620,Portugal,468587,96.226,direct
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",360,Indonésia,10617,2.18,direct
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",56,Bélgica,7126,1.463,direct
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",251,França,346,0.071,direct
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",710,África do Sul,287,0.059,direct
2003,630900,"Clothing; worn, and other worn articles",56,Bélgica,230759,66.645,direct
2003,630900,"Clothing; worn, and other worn articles",620,Portugal,96158,27.771,direct
2003,630900,"Clothing; worn, and other worn articles",682,Arábia Saudita,9400,2.715,direct
2003,630900,"Clothing; worn, and other worn articles",380,Itália,4580,1.323,direct
2003,630900,"Clothing; worn, and other worn articles",752,Suécia,3589,1.037,direct
2003,630900,"Clothing; worn, and other worn articles",760,Syria,1641,0.474,direct
2003,630900,"Clothing; worn, and other worn articles",266,Gabão,64,0.018,direct
