year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,080119,"Cocos, castanhas de caju e nozes",24,Angola,38244,94.005,direct
2003,080119,"Cocos, castanhas de caju e nozes",266,Gabão,1236,3.038,direct
2003,080119,"Cocos, castanhas de caju e nozes",566,Nigéria,1204,2.959,direct
2003,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",620,Portugal,22468,100.0,direct
2003,180100,Cacau,528,Países Baixos,2568398,41.578,direct
2003,180100,Cacau,620,Portugal,2165309,35.053,direct
2003,180100,Cacau,56,Bélgica,995681,16.118,direct
2003,180100,Cacau,251,França,256443,4.151,direct
2003,180100,Cacau,842,EUA,191496,3.1,direct
2003,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,620,Portugal,11,100.0,direct
2003,630900,"Clothing; worn, and other worn articles",266,Gabão,1284,100.0,direct
2003,870323,Automóveis de passageiros,392,Japão,5408,100.0,direct
2003,870333,Automóveis de passageiros,24,Angola,24482,100.0,direct
2003,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",620,Portugal,80451,100.0,mirror
2003,180100,Cacau,528,Países Baixos,2970607,38.681,mirror
2003,180100,Cacau,124,Canadá,1906203,24.821,mirror
2003,180100,Cacau,40,Áustria,1038263,13.52,mirror
2003,180100,Cacau,251,França,979421,12.753,mirror
2003,180100,Cacau,56,Bélgica,655747,8.539,mirror
2003,180100,Cacau,757,Suíça,83267,1.084,mirror
2003,180100,Cacau,724,Espanha,34049,0.443,mirror
2003,180100,Cacau,380,Itália,12025,0.157,mirror
2003,180610,"Cocoa; powder, containing added sugar or other sweetening matter",204,Benim,10,100.0,mirror
2003,870323,Automóveis de passageiros,608,Filipinas,57225,100.0,mirror
2003,870332,Automóveis de passageiros,620,Portugal,80678,100.0,mirror
2003,880330,880330,620,Portugal,2107,81.477,mirror
2003,880330,880330,608,Filipinas,479,18.523,mirror
2003,903300,"Machines and appliances, instruments or apparatus of chapter 90; parts and accessories n.e.c. in chapter 90",764,Tailândia,102,100.0,mirror
2003,999999,Commodities not specified according to kind,458,Malásia,11748,25.168,mirror
2003,999999,Commodities not specified according to kind,826,Reino Unido,9562,20.484,mirror
2003,999999,Commodities not specified according to kind,380,Itália,7539,16.151,mirror
2003,999999,Commodities not specified according to kind,124,Canadá,6695,14.343,mirror
2003,999999,Commodities not specified according to kind,699,Índia,5014,10.741,mirror
2003,999999,Commodities not specified according to kind,392,Japão,4123,8.833,mirror
2003,999999,Commodities not specified according to kind,490,Taiwan (Prov. China),1700,3.642,mirror
2003,999999,Commodities not specified according to kind,842,EUA,298,0.638,mirror
2004,080119,"Cocos, castanhas de caju e nozes",24,Angola,45513,54.334,direct
2004,080119,"Cocos, castanhas de caju e nozes",566,Nigéria,33655,40.178,direct
2004,080119,"Cocos, castanhas de caju e nozes",266,Gabão,4598,5.489,direct
2004,090411,"Spices; pepper (of the genus piper), neither crushed nor ground",724,Espanha,909,100.0,direct
2004,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",620,Portugal,28299,100.0,direct
2004,180100,Cacau,528,Países Baixos,1834384,57.464,direct
2004,180100,Cacau,620,Portugal,839902,26.311,direct
2004,180100,Cacau,56,Bélgica,322542,10.104,direct
2004,180100,Cacau,251,França,86317,2.704,direct
2004,180100,Cacau,724,Espanha,67783,2.123,direct
2004,180100,Cacau,328,Guyana,34950,1.095,direct
2004,180100,Cacau,380,Itália,6338,0.199,direct
2004,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,620,Portugal,6,100.0,direct
2004,630900,"Clothing; worn, and other worn articles",266,Gabão,1662,92.129,direct
2004,630900,"Clothing; worn, and other worn articles",566,Nigéria,141,7.816,direct
2004,720410,Ferrous waste and scrap; of cast iron,620,Portugal,3183,100.0,direct
2004,870323,Automóveis de passageiros,24,Angola,12588,100.0,direct
2004,080111,"Cocos, castanhas de caju e nozes",24,Angola,2843,97.031,mirror
2004,080111,"Cocos, castanhas de caju e nozes",620,Portugal,87,2.969,mirror
2004,080119,"Cocos, castanhas de caju e nozes",24,Angola,3385,100.0,mirror
2004,090411,"Spices; pepper (of the genus piper), neither crushed nor ground",724,Espanha,986,100.0,mirror
2004,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",620,Portugal,88512,100.0,mirror
2004,180100,Cacau,528,Países Baixos,2983963,58.902,mirror
2004,180100,Cacau,251,França,1256379,24.8,mirror
2004,180100,Cacau,56,Bélgica,782331,15.443,mirror
2004,180100,Cacau,124,Canadá,43341,0.856,mirror
2004,180610,"Cocoa; powder, containing added sugar or other sweetening matter",233,Estónia,2890,100.0,mirror
2004,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",620,Portugal,635,100.0,mirror
2004,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,380,Itália,22618,89.993,mirror
2004,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,233,Estónia,1571,6.251,mirror
2004,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,620,Portugal,944,3.756,mirror
2004,271000,Combustíveis refinados,214,República Dominicana,908,100.0,mirror
2004,630900,"Clothing; worn, and other worn articles",24,Angola,318,100.0,mirror
2004,870323,Automóveis de passageiros,214,República Dominicana,20901,47.193,mirror
2004,870323,Automóveis de passageiros,24,Angola,13442,30.352,mirror
2004,870323,Automóveis de passageiros,620,Portugal,9945,22.456,mirror
2004,870332,Automóveis de passageiros,203,Chéquia,10349,100.0,mirror
2004,870333,Automóveis de passageiros,620,Portugal,62157,41.337,mirror
2004,870333,Automóveis de passageiros,266,Gabão,50891,33.845,mirror
2004,870333,Automóveis de passageiros,251,França,37318,24.818,mirror
2004,999999,Commodities not specified according to kind,826,Reino Unido,11871,43.9,mirror
2004,999999,Commodities not specified according to kind,458,Malásia,11856,43.845,mirror
2004,999999,Commodities not specified according to kind,842,EUA,3104,11.479,mirror
2004,999999,Commodities not specified according to kind,490,Taiwan (Prov. China),210,0.777,mirror
2005,080111,"Cocos, castanhas de caju e nozes",566,Nigéria,7707,84.396,direct
2005,080111,"Cocos, castanhas de caju e nozes",24,Angola,1425,15.604,direct
2005,080119,"Cocos, castanhas de caju e nozes",24,Angola,67447,70.469,direct
2005,080119,"Cocos, castanhas de caju e nozes",566,Nigéria,25928,27.09,direct
2005,080119,"Cocos, castanhas de caju e nozes",266,Gabão,1482,1.548,direct
2005,080119,"Cocos, castanhas de caju e nozes",620,Portugal,855,0.893,direct
2005,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",620,Portugal,34222,100.0,direct
2005,180100,Cacau,528,Países Baixos,1315625,43.375,direct
2005,180100,Cacau,620,Portugal,1191672,39.288,direct
2005,180100,Cacau,56,Bélgica,369610,12.186,direct
2005,180100,Cacau,392,Japão,70494,2.324,direct
2005,180100,Cacau,251,França,63159,2.082,direct
2005,180100,Cacau,276,Alemanha,22578,0.744,direct
2005,180610,"Cocoa; powder, containing added sugar or other sweetening matter",620,Portugal,1392,100.0,direct
2005,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,620,Portugal,11593,100.0,direct
2005,630900,"Clothing; worn, and other worn articles",566,Nigéria,487,100.0,direct
2005,870323,Automóveis de passageiros,620,Portugal,1852,100.0,direct
2005,870332,Automóveis de passageiros,620,Portugal,7147,65.395,direct
2005,870332,Automóveis de passageiros,899,"Areas, nes",3782,34.605,direct
2005,870333,Automóveis de passageiros,24,Angola,54552,100.0,direct
2005,999999,Commodities not specified according to kind,24,Angola,1616,73.925,direct
2005,999999,Commodities not specified according to kind,566,Nigéria,570,26.075,direct
2005,080111,"Cocos, castanhas de caju e nozes",24,Angola,9003,100.0,mirror
2005,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",620,Portugal,111335,100.0,mirror
2005,180100,Cacau,528,Países Baixos,2079823,36.685,mirror
2005,180100,Cacau,56,Bélgica,1833563,32.341,mirror
2005,180100,Cacau,251,França,1399807,24.691,mirror
2005,180100,Cacau,724,Espanha,177725,3.135,mirror
2005,180100,Cacau,124,Canadá,67162,1.185,mirror
2005,180100,Cacau,392,Japão,50328,0.888,mirror
2005,180100,Cacau,620,Portugal,46784,0.825,mirror
2005,180100,Cacau,380,Itália,14209,0.251,mirror
2005,180610,"Cocoa; powder, containing added sugar or other sweetening matter",380,Itália,2500,100.0,mirror
2005,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",620,Portugal,28292,100.0,mirror
2005,870323,Automóveis de passageiros,231,Etiópia,44255,51.748,mirror
2005,870323,Automóveis de passageiros,214,República Dominicana,37562,43.921,mirror
2005,870323,Automóveis de passageiros,28,Antigua and Barbuda,3704,4.331,mirror
2005,870332,Automóveis de passageiros,276,Alemanha,29000,91.143,mirror
2005,870332,Automóveis de passageiros,24,Angola,2818,8.857,mirror
2005,999999,Commodities not specified according to kind,208,Dinamarca,259941,96.72,mirror
2005,999999,Commodities not specified according to kind,699,Índia,3804,1.415,mirror
2005,999999,Commodities not specified according to kind,458,Malásia,2019,0.751,mirror
2005,999999,Commodities not specified according to kind,490,Taiwan (Prov. China),1162,0.432,mirror
2005,999999,Commodities not specified according to kind,826,Reino Unido,1134,0.422,mirror
2005,999999,Commodities not specified according to kind,842,EUA,685,0.255,mirror
2005,999999,Commodities not specified according to kind,484,México,10,0.004,mirror
2006,080111,"Cocos, castanhas de caju e nozes",24,Angola,201,100.0,direct
2006,080119,"Cocos, castanhas de caju e nozes",566,Nigéria,20643,58.533,direct
2006,080119,"Cocos, castanhas de caju e nozes",24,Angola,13856,39.289,direct
2006,080119,"Cocos, castanhas de caju e nozes",120,Camarões,402,1.14,direct
2006,080119,"Cocos, castanhas de caju e nozes",266,Gabão,366,1.038,direct
2006,090420,090420,620,Portugal,217,100.0,direct
2006,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",620,Portugal,9650,100.0,direct
2006,180100,Cacau,620,Portugal,1096083,32.305,direct
2006,180100,Cacau,528,Países Baixos,1044054,30.772,direct
2006,180100,Cacau,56,Bélgica,551613,16.258,direct
2006,180100,Cacau,251,França,364512,10.743,direct
2006,180100,Cacau,899,"Areas, nes",319636,9.421,direct
2006,180100,Cacau,258,French Polynesia,16991,0.501,direct
2006,180100,Cacau,842,EUA,3,0.0,direct
2006,180610,"Cocoa; powder, containing added sugar or other sweetening matter",620,Portugal,11706,100.0,direct
2006,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,620,Portugal,17975,100.0,direct
2006,630900,"Clothing; worn, and other worn articles",566,Nigéria,354,100.0,direct
2006,870332,Automóveis de passageiros,24,Angola,17201,100.0,direct
2006,080111,"Cocos, castanhas de caju e nozes",736,Sudan (...2011),22401,88.822,mirror
